M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.33,1.07,1.05,0.97
128,1.00,1.29,1.05,1.04,1.00
256,1.00,1.20,1.01,1.02,0.98
512,1.00,1.19,1.02,1.00,0.96
