M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.15,0.98,1.00,0.97
128,1.00,1.15,1.01,0.99,0.97
256,1.00,1.10,1.00,1.00,0.97
512,1.00,1.06,0.99,0.98,0.96
