M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.18,1.02,1.03,0.93
128,1.00,1.17,1.06,1.05,0.97
256,1.00,1.11,1.04,1.03,0.97
512,1.00,1.08,1.02,0.99,0.95
