M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1136.835,1545.528,1233.050,1308.235,1226.155
128,1942.108,2688.691,2046.794,2165.048,2090.984
256,2553.215,3479.253,2702.922,2804.040,2771.429
512,2707.935,3462.610,2844.912,2904.301,2682.753
