function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
101,1,10,1,0.0,1.068613642e-09,cma,0.0,0.0017897998552809844,cma,cma
101,1,10,2,0.0,5.328161023e-09,cma,0.0,0.0017884652728412094,cma,cma
101,1,10,3,5.684341886e-14,4.266610176e-09,cma,0.0,0.0061372228030953805,cma,cma
101,1,10,4,0.0,1.58200919e-09,cma,0.02,0.006158024803386953,cma,cma
101,1,10,5,1.065814104e-14,2.537447585e-09,cma,0.02,0.028068027099064516,cma,cma
101,1,10,6,2.842170943e-14,5.084643817e-11,cma,0.02,0.002352537239839344,cma,cma
101,1,10,7,0.0,1.015791895e-09,cma,0.0,0.0004850128600844021,cma,cma
101,1,10,8,1.421085472e-14,1.122743924e-07,cma,0.0,0.01707227895266805,cma,cma
101,1,10,9,8.526512829e-14,4.608494919e-09,cma,0.02,0.020169082992357534,cma,cma
101,1,10,10,1.33226763e-15,1.679173689e-09,cma,0.0,0.012686519864365756,cma,cma
101,1,10,11,5.684341886e-14,2.665956345e-10,cma,0.0,0.001578454307569541,cma,cma
101,1,10,12,5.684341886e-14,2.927038167e-09,cma,0.0,0.0008645369997129809,cma,cma
101,1,10,13,8.526512829e-14,8.786287253e-10,cma,0.02,0.006649650909302381,cma,cma
101,1,10,14,1.278976924e-13,5.498890232e-10,cma,0.0,0.07218307894287349,cma,berw
101,1,10,15,1.705302566e-13,3.07156256e-09,cma,0.0,0.0026356014097153333,cma,cma
102,2,10,1,1.421085472e-14,1.360601232e-08,cma,0.0,0.006206008834626642,cma,cma
102,2,10,2,0.0,4.542309284e-07,cma,0.04,0.005226734422167936,cma,cma
102,2,10,3,1.705302566e-13,8.541576335e-10,cma,0.02,0.016158709365912703,cma,cma
102,2,10,4,2.842170943e-14,1.242850601e-06,cma,0.0,0.016036568383292295,cma,cma
102,2,10,5,6.394884622e-14,2.286629552e-09,cma,0.04,0.057074672013122496,cma,berw
102,2,10,6,0.0,4.83812812e-08,cma,0.06,0.010024889270612812,cma,cma
102,2,10,7,1.136868377e-13,9.770928955e-09,cma,0.06,0.001440099162849674,cma,cma
102,2,10,8,4.263256415e-14,5.018728402e-07,cma,0.0,0.10921401279421168,cma,berw
102,2,10,9,1.136868377e-13,1.965399292e-07,cma,0.08,0.08036145564099254,cma,berw
102,2,10,10,2.362554596e-13,1.384876018e-07,cma,0.02,0.024126752112942563,cma,cma
102,2,10,11,2.842170943e-14,3.080516819e-07,cma,0.06,0.007205265314804151,cma,cma
102,2,10,12,0.0,3.580510111e-08,cma,0.02,0.00384919189640976,cma,cma
102,2,10,13,1.421085472e-14,6.695908894e-08,cma,0.0,0.026919663754076752,cma,cma
102,2,10,14,4.263256415e-14,1.417565055e-05,cma,0.0,0.133886108541467,cma,berw
102,2,10,15,0.0,5.756248811e-10,cma,0.02,0.0060989122025511934,cma,cma
103,3,10,1,1.095656899e-11,3.070098842e-08,cma,0.0,0.0004686926600568735,cma,cma
103,3,10,2,3.981881491e-10,6.398603603e-06,cma,0.0,0.0,cma,cma
103,3,10,3,5.459526164e-10,2.610081538e-07,cma,0.0,1.7775668932891177e-16,cma,cma
103,3,10,4,5.48538992e-11,9.138972246e-09,cma,0.0,0.0,cma,cma
103,3,10,5,2.831157531e-11,6.098716554e-08,cma,0.0,0.00011900705511895747,cma,cma
103,3,10,6,1.847126896e-10,4.203840831e-08,cma,0.0,0.00024030988167306116,cma,cma
103,3,10,7,4.524736141e-11,2.371655228e-08,cma,0.0,0.0,cma,cma
103,3,10,8,1.341504685e-11,1.407521211e-08,cma,0.0,0.00033598239794925457,cma,cma
103,3,10,9,5.344418241e-10,6.425140953e-08,cma,0.0,1.470979983440078e-16,cma,cma
103,3,10,10,1.008571004e-11,9.529079143e-05,cma,0.0,0.00015439346520280982,cma,cma
103,3,10,11,3.126388037e-12,2.336808791e-07,cma,0.0,7.307200484439489e-06,cma,cma
103,3,10,12,1.234070623e-10,7.562908877e-08,cma,0.0,5.943056663455993e-06,cma,cma
103,3,10,13,4.084341754e-10,1.00065138e-06,cma,0.0,0.0,cma,cma
