"","F1","SE_F1"
"1",-0.313236046467219,0.162689466659807
"2",-0.247644585991131,0.175032427056702
"3",-0.0356941160959569,0.172350162585021
"4",-0.140196171147517,0.190345488006221
"5",-0.294030619951075,0.176437103556463
"6",-0.366010615809102,0.177145181277961
"7",-0.366010615809102,0.177145181277961
"8",-0.127007343280945,0.163940244795258
"9",0.00153051694334113,0.1702029781601
"10",-0.430091982596707,0.168133483689245
"11",-0.187564314324858,0.176859635896563
"12",-0.262107865209726,0.169462220166198
"13",-0.13277600439492,0.202231965847851
"14",-2.29127754705864,0.265250353950913
"15",1.1843666228805,0.17561521342627
"16",1.07587394916175,0.180016648946723
"17",1.10244427503525,0.176286582649906
"18",1.10244427503525,0.176286582649906
"19",0.969917846015895,0.187254720964984
"20",-1.18948256736614,0.220776883138253
"21",0.666084339904931,0.217788871304002
"22",-1.7359808184298,0.251726767662038
"23",-0.548652718996378,0.153718319982269
"24",-0.509461245131012,0.166912374298265
"25",-0.277734980390232,0.175235467565566
"26",-0.334039425785327,0.173897472910249
"27",-0.33919746736059,0.186497707498203
"28",-0.499687591666997,0.182650696641216
"29",-0.319649094781992,0.167989231291228
"30",-0.54497834221124,0.184631481682362
"31",-0.521693216876188,0.174645089108204
"32",-0.353549811583508,0.198667825069504
"33",-0.0996800505116057,0.208070770140771
"34",-0.201139493659186,0.192873002731996
"35",-0.35861647879787,0.186170137899215
"36",-1.28266956580632,0.228510158189903
"37",-1.58382611939343,0.209278805971512
"38",-1.7291230371477,0.217511257784432
"39",0.16689321183064,0.207130829421823
"40",-0.324722383530538,0.179285651481779
"41",-0.324722383530538,0.179285651481779
"42",-0.478835414883781,0.165616475824311
"43",-0.389916200279233,0.167129846765996
"44",-0.75998112347041,0.166228894756223
"45",-0.638273577411731,0.16481288877992
"46",-0.328493047369495,0.199868086133472
"47",-0.499022668000578,0.16149709852049
"48",-0.222962496562833,0.172976340100277
"49",-0.239875353711705,0.173704284190263
"50",-0.312611770540421,0.185542197059888
"51",-0.210442029658926,0.184685818136887
"52",-0.341203241892785,0.170002947435126
"53",-0.372875552553278,0.177485261899671
"54",-0.537091793944814,0.179248817424991
"55",-0.223619546004344,0.18612741435977
"56",-0.465249314647109,0.176741504486833
"57",-0.505418111465988,0.169109698251548
"58",-0.343992975117941,0.168273071149084
"59",-0.277110686144363,0.164546163128349
"60",-1.48579671782801,0.244689278495553
"61",-0.0990155839934529,0.196430244069467
"62",-0.594415079195389,0.217038207319236
"63",-0.624822048916551,0.215424152004308
"64",-1.42618973322451,0.213935798973301
"65",-0.598286510260595,0.221176826000981
"66",-1.1548317755296,0.203810083082386
"67",-0.580249786438472,0.190702031737303
"68",-0.343810761468906,0.182786246161224
"69",-0.6014421102463,0.177409355371925
"70",-1.13673018144173,0.208327647104756
"71",-1.16517807462022,0.209592260355225
"72",-0.969208817920153,0.19170013607185
"73",-0.134348487796621,0.172306094432435
"74",-1.29164121401485,0.220311261419989
"75",-0.777515050359636,0.175310689842103
"76",-0.261890853807754,0.178882241050342
"77",-0.144340590966504,0.177156436240879
"78",0.772254246077014,0.159483377728301
"79",0.0314881605099621,0.173297491401607
"80",0.665833263466812,0.214779736534351
"81",0.665833263466812,0.214779736534351
"82",0.199468750975091,0.20741230048726
"83",0.233074574972583,0.229003751976236
