M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.32,1.22,1.14,1.08
1024,1.00,1.35,1.17,1.09,1.04
2048,1.00,1.40,1.15,1.08,1.03
4096,1.00,1.38,1.16,1.09,1.03
8192,1.00,1.38,1.17,1.10,
16384,1.00,1.38,,,
32768,,,,,
65536,,,,,
