M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,12978.540,18406.624,15319.577,14251.612,13524.797
1024,13460.500,19856.124,16084.895,15015.216,14241.138
2048,13414.041,20328.222,16698.688,15285.900,14491.860
4096,13590.943,20011.360,16668.008,15193.380,14429.854
8192,13474.230,19876.067,16454.601,15051.590,14298.987
16384,13454.209,19776.566,16364.059,15010.072,14239.935
32768,,19745.127,,,
65536,,,,,
