M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,,,,,
1024,,,,,
2048,,,,,
4096,,,,,
8192,,,,,
16384,,,,,
32768,,,,,
65536,,,,,
