M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,0.97,0.99,0.93,1.00
1024,1.00,1.03,1.03,1.00,0.95
2048,1.00,1.33,1.14,1.09,1.04
4096,1.00,1.33,1.15,1.08,1.04
8192,1.00,1.33,1.14,1.07,1.04
16384,1.00,1.32,1.14,1.07,1.03
32768,1.00,1.32,1.14,1.07,1.03
65536,1.00,1.33,1.14,1.08,1.04
