angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.52495515,0.54831195,0.46659997
0.52495515,0.54888403,0.43859434
0.52495515,0.6772252,0.56695485
0.52495515,0.71321565,0.6004422
0.45248127,0.4716421,0.41277146
0.45248127,0.48266926,0.42165834
0.45248127,0.6415447,0.45109847
0.45248127,0.6057537,0.47632444
0.26546958,0.42848343,0.41849917
0.26546958,0.56432235,0.56301796
0.26546958,0.53914857,0.50621635
0.26546958,0.57245314,0.5434748
0.3261615,0.46501967,0.3971319
0.3261615,0.4395886,0.40173683
0.3261615,0.6439621,0.5634922
0.3261615,0.58717376,0.5225359
0.39631605,0.54831195,0.1933667
0.35145307,0.4716421,0.1933667
0.3276755,0.42848343,0.1933667
0.332272,0.46501967,0.1933667
0.5605513,0.54888403,0.4033488
0.43545777,0.48266926,0.4033488
0.46353137,0.56432235,0.4033488
0.43257546,0.4395886,0.4033488
0.6311914,0.6772252,0.490143
0.44847146,0.6415447,0.490143
0.41613644,0.53914857,0.490143
0.44192657,0.6439621,0.490143
0.46668655,0.71321565,0.3541792
0.43708628,0.6057537,0.3541792
0.38822085,0.57245314,0.3541792
0.36151683,0.58717376,0.3541792
0.23023117,0.50332665,0.37333155
0.23023117,0.44562393,0.26717567
0.23023117,0.26081765,0.02654668
0.23023117,0.32779163,0.2840789
0.18680876,0.39966875,0.51211125
0.18680876,0.44192624,0.38777298
0.18680876,0.3605136,0.29434574
0.18680876,0.49133575,0.5345126
0.30177426,0.5209849,0.3558936
0.30177426,0.3996181,0.254382
0.30177426,0.32681367,0.020470466
0.30177426,0.33810896,0.25801975
0.12867132,0.48962688,0.45069107
0.12867132,0.40134314,0.37120748
0.12867132,0.22998661,0.2269151
0.12867132,0.38398603,0.3687395
0.4657213,0.50332665,0.4532711
0.5027307,0.39966875,0.4532711
0.5966238,0.5209849,0.4532711
0.52591395,0.48962688,0.4532711
0.27014384,0.44562393,0.22067337
0.38494468,0.44192624,0.22067337
0.3342786,0.3996181,0.22067337
0.23224759,0.40134314,0.22067337
0.25429773,0.26081765,0.010530241
0.36089548,0.3605136,0.010530241
0.33351094,0.32681367,0.010530241
0.23576552,0.22998661,0.010530241
0.33550483,0.32779163,0.20486692
0.4811205,0.49133575,0.20486692
0.37803543,0.33810896,0.20486692
0.33202642,0.38398603,0.20486692
0.45139664,0.5152818,0.62624574
0.45139664,0.6856154,0.81260294
0.45139664,0.59209067,0.74354297
0.45139664,0.5913576,0.6312556
0.40398955,0.5252898,0.5737896
0.40398955,0.52009857,0.72930586
0.40398955,0.5629779,0.6031689
0.40398955,0.45741874,0.5547046
0.35435852,0.6144947,0.6916219
0.35435852,0.6809492,0.8148613
0.35435852,0.5807361,0.70029944
0.35435852,0.48729965,0.56658614
0.1395102,0.5832025,0.55626965
0.1395102,0.8040755,0.7975719
0.1395102,0.7298255,0.70509607
0.1395102,0.5902878,0.6263174
0.3900287,0.5152818,0.369884
0.31660482,0.5252898,0.369884
0.3938241,0.6144947,0.369884
0.3916701,0.5832025,0.369884
0.598915,0.6856154,0.47504574
0.4847843,0.52009857,0.47504574
0.49968112,0.6809492,0.47504574
0.53931266,0.8040755,0.47504574
0.41829845,0.59209067,0.48608428
0.36280107,0.5629779,0.48608428
0.3989761,0.5807361,0.48608428
0.44170588,0.7298255,0.48608428
0.6006912,0.5913576,0.51454675
0.44516894,0.45741874,0.51454675
0.46844783,0.48729965,0.51454675
0.44102013,0.5902878,0.51454675
0.48152268,0.58020735,0.479087
0.48152268,0.8412844,0.57557166
0.48152268,0.5584976,0.17410964
0.48152268,0.701023,0.533872
0.18059832,0.70954406,0.7015307
0.18059832,0.6998282,0.7610065
0.18059832,0.4978016,0.49592692
0.18059832,0.6587607,0.70912296
0.46621215,0.67953765,0.6979437
0.46621215,0.73791707,0.7944034
0.46621215,0.5297417,0.53517914
0.46621215,0.7121476,0.7167616
0.057664398,0.71289384,0.6887079
0.057664398,0.6788739,0.66641915
0.057664398,0.48339376,0.43088296
0.057664398,0.6310117,0.6271566
0.48887193,0.58020735,0.4498561
0.46743694,0.70954406,0.4498561
0.48910698,0.67953765,0.4498561
0.48032096,0.71289384,0.4498561
0.4342525,0.8412844,0.48581386
0.40809068,0.6998282,0.48581386
0.4157061,0.73791707,0.48581386
0.4166155,0.6788739,0.48581386
0.6184717,0.5584976,0.3594135
0.5890376,0.4978016,0.3594135
0.63828164,0.5297417,0.3594135
0.57504994,0.48339376,0.3594135
0.6937668,0.701023,0.2908016
0.67348266,0.6587607,0.2908016
0.67611444,0.7121476,0.2908016
0.647967,0.6310117,0.2908016
0.55191845,0.5789615,0.50286156
0.55191845,0.50975835,0.34788162
0.55191845,0.526508,0.42418468
0.55191845,0.5151294,0.3808863
0.23655924,0.6192946,0.54424655
0.23655924,0.37995642,0.4188182
0.23655924,0.45953083,0.5393882
0.23655924,0.47047484,0.4967603
0.26077062,0.63291407,0.6682278
0.26077062,0.4359693,0.54501253
0.26077062,0.5427815,0.6359285
0.26077062,0.49609843,0.5204288
