scene,dt,gt_block,pred_block,abs_err,rel_err_pct,num_blocks,r2
USAF_static_constant,30,806,803,3,0.2,1520,0.13
USAF_static_decrease,30,650,661,11,0.72,1520,0.14
USAF_static_increase,30,427,415,12,0.79,1520,0.26
USAF_static_minor,30,493,497,4,0.26,1520,0.17
USAF_dynamic_constant,30,466,470,4,0.26,1520,0.3
USAF_dynamic_decrease,30,750,757,7,0.46,1520,0.15
USAF_dynamic_increase,30,531,532,1,0.07,1520,0.14
USAF_dynamic_minor,30,661,655,6,0.39,1520,0.15
USAF_dynamic_significant,30,700,697,3,0.2,1520,0.15
Bottle_static_constant,200,138,139,1,0.25,400,0.3
Bottle_dynamic_constant,200,161,162,1,0.25,400,0.27
Lily_static_constant,40,362,367,5,0.56,890,0.19
Lily_dynamic_constant,40,350,349,1,0.11,890,0.15
Fan_static_constant,100,79,78,1,0.5,200,0.1
Fan_dynamic_constant,100,122,120,2,1.0,200,0.12
Bottle_MEAN,,,,1.0,0.25,,
Lily_MEAN,,,,3.0,0.34,,
Fan_MEAN,,,,1.5,0.75,,
USAF_MEAN,,,,5.67,0.37,,
MEAN,,,,4.13,0.4,,
