ARS,46.655,646.08,282099.98,61.74,1440.0,3.5,5976.0,6948.0,69.1236,484912.0,201.4,7314.9542,35.0945944,56.9933673,98.3980055
AUD,26.967,1728.06,2484289.0,79.87,-13885.0,0.2,36109.0,40333.0,45000.0,630700.0,3.3,139.1,220.6846667,1140.023333,2050.355333
BRL,216.28,2173.67,768272.32,129.65,-7307.0,0.44,23392.0607,28464.4134,5200.0,492333.0,5.86,6997.15,107.8244267,1062.096,1984.292667
CAD,40.784,2142.47,4286827.0,0.0,-3621.0,-0.4,65345.4,63989.0,27603.0,2882158.0,2.8,161.1,1210.003077,2003.111538,2884.088462
CNY,1409670.0,17794.78,24475.0,2264.32,1574.365,0.0,221780.0,303470.0,9010.0,1562000.0,3.3,103.8,1740.428571,8974.807714,44211.40343
EUR,348.5579,15780.69,16598961.31,506.52,50.65168539,-0.1,252419.3258,265989.2135,-50000.0,80750000.0,1.7,126.6,11667.68427,17303.11124,18588.69101
INR,124.3,4204.49,4575737.931,4575737.931,845.97,-0.3,64434.37241,62323.4,7466.206897,2872487.0,3.4,108.9,7531.630345,8632.446207,11058.44345
IDR,278.7,1371.17,428136.03,78.57,-2008.0,-0.12,18824.7,22055.5,14543.75,973333.0,2.57,105.93,167.0255,565.4999375,565.4999375
JPY,1386.18,3567.55,711800.0,853.63,-16674.0,0.6,64360.0,34580.0,5984.0,669573.0,9.24,194.2,548.3402529,720.8650588,744.2788235
MXN,129.74,1789.1144,600455.7,120.37,1103.87,0.05,50204.85,49625.911,3062.4,1459469.0,4.67,136.08,423.3764944,812.8766171,970.5924667
RUB,146.4,2021.42,309100.0,2335.85,7800.0,0.5,26770.0,38982.0,-2057.0,684200.0,9.2,263.5,209.9675,635.34875,1345.36875
SAR,33.7027,1067.58,108200.0,323.07,-8654.86,0.1,19553.6,23722.66667,-8654.86,1375833.0,0.82,0.82,444.6778667,697.1754667,784.9762667
ZAR,62.2,380.7,176314.0,125.44,-3090.0,0.1,8775.944444,9476.277778,-177777.7778,859361.0,4.7,100.0,156.2388889,243.9981111,298.253
KRW,51.713,1712.79,702682.9,104.45,10940.0,0.1,52100.0,58700.0,9847.08,1464300.0,1.85,114.65,887.7102143,2918.4485,3976.783
TRY,85.372,1118.25,525800.0,595.37,3063.0,2.97,27116.9324,21954.88,441.0,6054431.0,43.72,2526.16,263.4176176,717.1201268,787.876865
GBP,68.265,3380.85,7785238.0,310.29,-16650.66667,0.0,95629.33333,96109.33333,2329.333333,80750000000.0,1.9,134.2,2940.314667,4059.62,4732.22
