dataset_name,method,baseline,mse_mean,mse_std,mse_count,aug_mse_mean,aug_mse_std,aug_mse_count,delta_percent_mean,delta_percent_std,delta_percent_count,quality_score_mean,quality_score_std,quality_score_count,mse_se,aug_mse_se,delta_percent_se,quality_score_se
503_wind,tvae,xgboost,0.005317,0.000282,10,0.005572,0.000297,10,4.826845,2.802434,10,0.948153,0.003512,10,8.9e-05,9.4e-05,0.886207,0.001111
623_fri_c4_1000_10,ada,mlp,0.003671,0.000831,10,0.004222,0.000863,10,16.70084,20.380675,10,0.987728,0.000792,10,0.000263,0.000273,6.444935,0.00025
623_fri_c4_1000_10,ada,xgboost,0.001485,0.000218,10,0.001745,0.000221,10,18.288774,11.254453,10,0.987728,0.000792,10,6.9e-05,7e-05,3.558971,0.00025
623_fri_c4_1000_10,c_mixup,mlp,0.003671,0.000831,10,0.006273,0.001997,10,78.123983,60.582985,10,0.976339,0.008457,10,0.000263,0.000632,19.158022,0.002674
623_fri_c4_1000_10,c_mixup,xgboost,0.001485,0.000218,10,0.00351,0.001342,10,141.50844,100.489334,10,0.976339,0.008457,10,6.9e-05,0.000424,31.777518,0.002674
623_fri_c4_1000_10,crda,mlp,0.003671,0.000831,10,0.002406,0.0005,10,-33.277753,12.000014,10,0.991522,0.005567,10,0.000263,0.000158,3.794738,0.00176
623_fri_c4_1000_10,crda,xgboost,0.001485,0.000218,10,0.00151,0.00017,10,2.262607,5.719201,10,0.989547,0.004446,10,6.9e-05,5.4e-05,1.80857,0.001406
623_fri_c4_1000_10,ctgan,mlp,0.003671,0.000831,10,0.010604,0.002596,10,198.932602,85.952061,10,0.913777,0.010085,10,0.000263,0.000821,27.180428,0.003189
623_fri_c4_1000_10,ctgan,xgboost,0.001485,0.000218,10,0.0038,0.000843,10,164.111137,81.461659,10,0.913777,0.010085,10,6.9e-05,0.000267,25.760438,0.003189
623_fri_c4_1000_10,tabddpm,mlp,0.003671,0.000831,10,0.002908,0.000358,10,-19.186604,8.567804,10,0.983252,0.001926,10,0.000263,0.000113,2.709378,0.000609
623_fri_c4_1000_10,tabddpm,xgboost,0.001485,0.000218,10,0.001811,0.000175,10,25.048928,25.794957,10,0.983252,0.001926,10,6.9e-05,5.5e-05,8.157082,0.000609
623_fri_c4_1000_10,tvae,mlp,0.003671,0.000831,10,0.006286,0.002403,10,71.608414,48.576614,10,0.866705,0.011642,10,0.000263,0.00076,15.361274,0.003682
623_fri_c4_1000_10,tvae,xgboost,0.001485,0.000218,10,0.00317,0.000894,10,116.501313,63.760496,10,0.866705,0.011642,10,6.9e-05,0.000283,20.162839,0.003682
ConcreteCompressiveStrength,ada,mlp,0.004883,0.000664,10,0.004697,0.000646,10,-3.772237,4.658766,10,0.968219,0.001892,10,0.00021,0.000204,1.473231,0.000598
ConcreteCompressiveStrength,ada,xgboost,0.002625,0.000622,10,0.002621,0.000636,10,-0.139814,4.415735,10,0.968219,0.001892,10,0.000197,0.000201,1.396378,0.000598
ConcreteCompressiveStrength,c_mixup,mlp,0.004883,0.000664,10,0.004645,0.00073,10,-4.753079,9.063804,10,0.961238,0.004992,10,0.00021,0.000231,2.866226,0.001579
ConcreteCompressiveStrength,c_mixup,xgboost,0.002625,0.000622,10,0.002545,0.000592,10,-2.765518,5.339558,10,0.961238,0.004992,10,0.000197,0.000187,1.688516,0.001579
ConcreteCompressiveStrength,crda,mlp,0.004883,0.000664,10,0.004153,0.000773,10,-15.356977,7.166789,10,0.982922,0.008519,10,0.00021,0.000244,2.266338,0.002694
ConcreteCompressiveStrength,crda,xgboost,0.002625,0.000622,10,0.002582,0.000642,10,-1.733958,5.878459,10,0.982728,0.005405,10,0.000197,0.000203,1.858932,0.001709
ConcreteCompressiveStrength,ctgan,mlp,0.004883,0.000664,10,0.011694,0.00257,10,142.29471,55.501682,10,0.899236,0.009621,10,0.00021,0.000813,17.551173,0.003042
ConcreteCompressiveStrength,ctgan,xgboost,0.002625,0.000622,10,0.003276,0.000685,10,26.057794,13.602136,10,0.899236,0.009621,10,0.000197,0.000217,4.301373,0.003042
ConcreteCompressiveStrength,tabddpm,mlp,0.004883,0.000664,10,0.004567,0.000568,10,-5.923179,9.265428,10,0.934878,0.001745,10,0.00021,0.00018,2.929986,0.000552
ConcreteCompressiveStrength,tabddpm,xgboost,0.002625,0.000622,10,0.002595,0.000675,10,-1.12527,9.526345,10,0.934878,0.001745,10,0.000197,0.000213,3.012495,0.000552
ConcreteCompressiveStrength,tvae,mlp,0.004883,0.000664,10,0.006632,0.001321,10,36.798893,26.034759,10,0.865315,0.008446,10,0.00021,0.000418,8.232914,0.002671
ConcreteCompressiveStrength,tvae,xgboost,0.002625,0.000622,10,0.00285,0.000767,10,7.933784,8.49035,10,0.865315,0.008446,10,0.000197,0.000243,2.684884,0.002671
EnergyEfficiency,ada,mlp,0.001475,0.000323,10,0.001119,0.000225,10,-22.85846,13.061726,10,0.973573,0.001173,10,0.000102,7.1e-05,4.13048,0.000371
EnergyEfficiency,ada,xgboost,0.000928,0.000296,10,0.000721,0.000201,10,-20.656581,11.080619,10,0.973573,0.001173,10,9.4e-05,6.4e-05,3.503999,0.000371
EnergyEfficiency,c_mixup,mlp,0.001475,0.000323,10,0.001567,0.000524,10,11.94714,44.795171,10,0.955291,0.005668,10,0.000102,0.000166,14.165477,0.001792
EnergyEfficiency,c_mixup,xgboost,0.000928,0.000296,10,0.000707,0.000178,10,-17.97177,28.699507,10,0.955291,0.005668,10,9.4e-05,5.6e-05,9.075581,0.001792
EnergyEfficiency,crda,mlp,0.001475,0.000323,10,0.000974,0.000272,10,-32.491409,16.958468,10,0.984091,0.006976,10,0.000102,8.6e-05,5.362738,0.002206
EnergyEfficiency,crda,xgboost,0.000928,0.000296,10,0.000816,0.000234,10,-10.745223,11.875293,10,0.98151,0.009703,10,9.4e-05,7.4e-05,3.755297,0.003068
EnergyEfficiency,ctgan,mlp,0.001475,0.000323,10,0.006589,0.002301,10,360.153916,162.946871,10,0.894976,0.008125,10,0.000102,0.000728,51.528325,0.002569
EnergyEfficiency,ctgan,xgboost,0.000928,0.000296,10,0.000658,0.000129,10,-24.697346,19.55068,10,0.894976,0.008125,10,9.4e-05,4.1e-05,6.182468,0.002569
EnergyEfficiency,tabddpm,mlp,0.001475,0.000323,10,0.001561,0.000307,10,11.089014,35.003504,10,0.949577,0.002395,10,0.000102,9.7e-05,11.06908,0.000757
EnergyEfficiency,tabddpm,xgboost,0.000928,0.000296,10,0.000909,0.00018,10,3.441319,24.213015,10,0.949577,0.002395,10,9.4e-05,5.7e-05,7.656828,0.000757
EnergyEfficiency,tvae,mlp,0.001475,0.000323,10,0.003164,0.00112,10,127.724345,106.374696,10,0.887214,0.00915,10,0.000102,0.000354,33.638632,0.002893
EnergyEfficiency,tvae,xgboost,0.000928,0.000296,10,0.000714,0.000202,10,-19.444906,25.736669,10,0.887214,0.00915,10,9.4e-05,6.4e-05,8.138649,0.002893
HousePrice,ada,mlp,0.000763,0.000264,10,0.000332,8.4e-05,10,-52.5844,18.40047,10,0.974449,0.001001,10,8.3e-05,2.7e-05,5.81874,0.000317
HousePrice,ada,xgboost,0.000634,0.000215,10,0.000321,3.4e-05,10,-42.949099,23.440274,10,0.974449,0.001001,10,6.8e-05,1.1e-05,7.412465,0.000317
HousePrice,c_mixup,mlp,0.000763,0.000264,10,0.000357,0.00013,10,-51.017621,16.011064,10,0.963487,0.005285,10,8.3e-05,4.1e-05,5.063143,0.001671
HousePrice,c_mixup,xgboost,0.000634,0.000215,10,0.000483,4.9e-05,10,-12.813328,39.987637,10,0.963487,0.005285,10,6.8e-05,1.5e-05,12.645201,0.001671
HousePrice,crda,mlp,0.000763,0.000264,10,0.000421,0.000104,10,-42.291843,10.607049,10,0.989162,0.006226,10,8.3e-05,3.3e-05,3.354243,0.001969
HousePrice,crda,xgboost,0.000634,0.000215,10,0.000539,0.000147,10,-12.767845,11.306594,10,0.985789,0.006558,10,6.8e-05,4.6e-05,3.575459,0.002074
HousePrice,ctgan,mlp,0.000763,0.000264,10,0.021664,0.004091,10,3032.868261,1183.766699,10,0.926492,0.008504,10,8.3e-05,0.001294,374.339899,0.002689
HousePrice,ctgan,xgboost,0.000634,0.000215,10,0.005156,0.000695,10,824.054153,441.321563,10,0.926492,0.008504,10,6.8e-05,0.00022,139.558132,0.002689
HousePrice,tabddpm,mlp,0.000763,0.000264,10,0.000707,0.000446,10,-4.335736,50.820552,10,0.95646,0.001405,10,8.3e-05,0.000141,16.07087,0.000444
HousePrice,tabddpm,xgboost,0.000634,0.000215,10,0.000497,0.000194,10,-13.425268,40.903869,10,0.95646,0.001405,10,6.8e-05,6.1e-05,12.934939,0.000444
HousePrice,tvae,mlp,0.000763,0.000264,10,0.007951,0.005533,10,992.463704,833.970215,10,0.839516,0.02129,10,8.3e-05,0.00175,263.724538,0.006732
HousePrice,tvae,xgboost,0.000634,0.000215,10,0.002199,0.001222,10,298.565431,299.781034,10,0.839516,0.02129,10,6.8e-05,0.000386,94.799087,0.006732
ParkinsonsTelemonitoring,ada,mlp,0.000321,0.000107,10,0.000373,3.9e-05,10,28.748676,47.692298,10,0.990252,0.001048,10,3.4e-05,1.2e-05,15.081629,0.000331
ParkinsonsTelemonitoring,ada,xgboost,0.000112,2.2e-05,10,0.000207,2.1e-05,10,89.486072,35.238613,10,0.990252,0.001048,10,7e-06,7e-06,11.143428,0.000331
ParkinsonsTelemonitoring,c_mixup,mlp,0.000321,0.000107,10,0.000597,0.00017,10,116.144428,118.626655,10,0.978156,0.00726,10,3.4e-05,5.4e-05,37.513042,0.002296
ParkinsonsTelemonitoring,c_mixup,xgboost,0.000112,2.2e-05,10,0.000227,4.6e-05,10,105.109382,41.658449,10,0.978156,0.00726,10,7e-06,1.5e-05,13.173558,0.002296
ParkinsonsTelemonitoring,crda,mlp,0.000321,0.000107,10,0.000152,3.8e-05,10,-48.165142,19.104376,10,0.996979,0.001929,10,3.4e-05,1.2e-05,6.041334,0.00061
ParkinsonsTelemonitoring,crda,xgboost,0.000112,2.2e-05,10,0.000112,2e-05,10,-0.345447,5.955154,10,0.996407,0.002558,10,7e-06,6e-06,1.883185,0.000809
ParkinsonsTelemonitoring,ctgan,mlp,0.000321,0.000107,10,0.004419,0.001048,10,1454.237973,701.27082,10,0.890765,0.007853,10,3.4e-05,0.000331,221.761305,0.002483
ParkinsonsTelemonitoring,ctgan,xgboost,0.000112,2.2e-05,10,0.000723,0.000106,10,565.264882,156.016198,10,0.890765,0.007853,10,7e-06,3.4e-05,49.336654,0.002483
ParkinsonsTelemonitoring,tabddpm,mlp,0.000321,0.000107,10,0.000815,8.9e-05,10,184.868679,114.68193,10,0.948098,0.001502,10,3.4e-05,2.8e-05,36.265611,0.000475
ParkinsonsTelemonitoring,tabddpm,xgboost,0.000112,2.2e-05,10,0.00042,3.1e-05,10,286.712979,81.855015,10,0.948098,0.001502,10,7e-06,1e-05,25.884829,0.000475
