dataset_name,method,baseline,seed,mse,aug_mse,delta_percent,quality_score
HousePrice,c_mixup,xgboost,985772,0.0007095544948962084,0.00047682791037247205,-32.79897262264245,0.9608461009348246
HousePrice,ada,xgboost,985772,0.0007095544948962084,0.0003499960277349441,-50.673834039182495,0.9738293331276202
HousePrice,tabddpm,xgboost,985772,0.0007095544948962084,0.0003687344778518365,-48.032958637549896,0.9544816933269744
HousePrice,tvae,xgboost,985772,0.0007095544948962084,0.0015334323551720356,116.11199227148039,0.8424807161150525
HousePrice,ctgan,xgboost,985772,0.0007095544948962084,0.0038621637091749515,444.30825778080623,0.9258214988437202
HousePrice,crda,xgboost,985772,0.0007095544948962084,0.000531416339302333,-25.10563415145906,0.9787782357870671
HousePrice,c_mixup,xgboost,305711,0.0005821871230073789,0.0004970078939517242,-14.630902280292288,0.9698556872194005
HousePrice,ada,xgboost,305711,0.0005821871230073789,0.00029659493550645416,-49.05505055241577,0.974879370775654
HousePrice,tabddpm,xgboost,305711,0.0005821871230073789,0.0004105343547913583,-29.48412313369648,0.9569020803199533
HousePrice,tvae,xgboost,305711,0.0005821871230073789,0.0009583989720315181,64.62043459167525,0.8647881605210649
HousePrice,ctgan,xgboost,305711,0.0005821871230073789,0.005323134708940244,814.3339827653276,0.9400202362764323
HousePrice,crda,xgboost,305711,0.0005821871230073789,0.00045361033853393126,-22.085130260055234,0.9772907194896995
HousePrice,c_mixup,xgboost,435829,0.0010909889392556533,0.0004207996090266153,-61.42952564544666,0.9649101480814907
HousePrice,ada,xgboost,435829,0.0010909889392556533,0.00026821367521750257,-75.41554588074044,0.9743580519194599
HousePrice,tabddpm,xgboost,435829,0.0010909889392556533,0.00031212709565240444,-71.39044362215452,0.9552485273685238
HousePrice,tvae,xgboost,435829,0.0010909889392556533,0.002062834911387066,89.07936067568862,0.8564598991868699
HousePrice,ctgan,xgboost,435829,0.0010909889392556533,0.00542375150587409,397.14083348769253,0.9325513158855471
HousePrice,crda,xgboost,435829,0.0010909889392556533,0.0008459206551314405,-22.462948551193836,0.9777163005469164
HousePrice,c_mixup,xgboost,117952,0.0007090054323046516,0.00044111158214070066,-37.78445664275813,0.9609321989229653
HousePrice,ada,xgboost,117952,0.0007090054323046516,0.00034969380272388475,-50.678261859406284,0.9742221540108325
HousePrice,tabddpm,xgboost,117952,0.0007090054323046516,0.0004867408085490465,-31.348789956816645,0.9566151132366156
HousePrice,tvae,xgboost,117952,0.0007090054323046516,0.001133763951332943,59.90906411641957,0.8060176164153332
HousePrice,ctgan,xgboost,117952,0.0007090054323046516,0.004696646191846158,562.4273916462834,0.9208910850265919
HousePrice,crda,xgboost,117952,0.0007090054323046516,0.0006297648850703206,-11.176296206469992,0.9888720526019337
HousePrice,c_mixup,xgboost,963395,0.0007910327663470604,0.00045094712321960703,-42.992611380429594,0.9535831549185655
HousePrice,ada,xgboost,963395,0.0007910327663470604,0.00032163171311846815,-59.34027934092501,0.9723974664027744
HousePrice,tabddpm,xgboost,963395,0.0007910327663470604,0.0009562551646709539,20.88692217983336,0.9574422693527622
HousePrice,tvae,xgboost,963395,0.0007910327663470604,0.004635815357034924,486.04593314671763,0.8476264340599153
HousePrice,ctgan,xgboost,963395,0.0007910327663470604,0.005784852919662842,631.3038303554642,0.9267691650198462
HousePrice,crda,xgboost,963395,0.0007910327663470604,0.0006607888955639524,-16.465041187176862,0.9826018949919861
HousePrice,c_mixup,xgboost,152315,0.0005765025279111213,0.00047250210585625635,-18.039890029918233,0.9609718176506645
HousePrice,ada,xgboost,152315,0.0005765025279111213,0.0002755724897759511,-52.19925734333714,0.9746833482850454
HousePrice,tabddpm,xgboost,152315,0.0005765025279111213,0.0004462538760391701,-22.592902123758158,0.9568152783226684
HousePrice,tvae,xgboost,152315,0.0005765025279111213,0.0030532080108245335,429.60878105555213,0.8600606399572356
HousePrice,ctgan,xgboost,152315,0.0005765025279111213,0.005474795281139533,849.6567692385861,0.9356585813721335
HousePrice,crda,xgboost,152315,0.0005765025279111213,0.0005166632772107782,-10.379703089449148,0.9879907301904152
HousePrice,c_mixup,xgboost,882371,0.0005558694711238223,0.0005394054796701651,-2.961844877066435,0.9641862197513262
HousePrice,ada,xgboost,882371,0.0005558694711238223,0.00030588235668499024,-44.97226910724629,0.9757005441258377
HousePrice,tabddpm,xgboost,882371,0.0005558694711238223,0.0004764541159492197,-14.286691264775811,0.9584625859855072
HousePrice,tvae,xgboost,882371,0.0005558694711238223,0.0024916971981431275,348.2522116398242,0.8016072591299224
HousePrice,ctgan,xgboost,882371,0.0005558694711238223,0.005144957600259854,825.5693769003177,0.926888691492446
HousePrice,crda,xgboost,882371,0.0005558694711238223,0.00045838436074485163,-17.537410389147897,0.98810864493604
HousePrice,c_mixup,xgboost,359783,0.00039892758076699784,0.0005651928468324285,41.67805739221159,0.9724247115503875
HousePrice,ada,xgboost,359783,0.00039892758076699784,0.00036856628451649193,-7.610728792461978,0.9748525000574123
HousePrice,tabddpm,xgboost,359783,0.00039892758076699784,0.0007014820653205925,75.84195707197995,0.9568155043716187
HousePrice,tvae,xgboost,359783,0.00039892758076699784,0.0017898573499236267,348.66723591343543,0.8374197895328963
HousePrice,ctgan,xgboost,359783,0.00039892758076699784,0.00540335416120636,1254.469939335256,0.9105447010268228
HousePrice,crda,xgboost,359783,0.00039892758076699784,0.000451244803849415,13.114466285291549,0.9978320481083385
HousePrice,c_mixup,xgboost,304137,0.0006139978614678536,0.0004388915278165234,-28.519046179202046,0.9612883618706087
HousePrice,ada,xgboost,304137,0.0006139978614678536,0.0003517174053372242,-42.71683544688719,0.9758239738429584
HousePrice,tabddpm,xgboost,304137,0.0006139978614678536,0.00046461123198557775,-24.330154688999205,0.9576847205963352
HousePrice,tvae,xgboost,304137,0.0006139978614678536,0.0008625733948345124,40.484755561265615,0.8461796006128726
HousePrice,ctgan,xgboost,304137,0.0006139978614678536,0.004276951037246803,596.5742563047554,0.9270522759888955
HousePrice,crda,xgboost,304137,0.0006139978614678536,0.0005344311413864559,-12.958794333775298,0.9890058603342883
HousePrice,c_mixup,xgboost,122579,0.00031410242191919524,0.0005319195993774186,69.34590829556169,0.9658692354594554
