# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
16,2048,12288,NT_RR_Row,39.327744,20.477,3,1,3670208
16,2048,12288,TN_CC_Col,39.199100,20.544,3,1,3670208
16,2048,12288,TN_CC_Row,39.315460,20.483,3,-1,3670208
16,2048,12288,TT_CR_Col,39.317505,20.482,3,4,3670208
16,2048,12288,TT_CR_Row,39.321598,20.480,3,1,3670208
16,2048,13120,NN_RC_Col,41.831493,20.555,3,2,3670208
16,2048,13120,NN_RC_Row,41.868427,20.537,3,1,3670208
16,2048,13120,NT_RR_Col,41.673618,20.633,3,1,3670208
16,2048,13120,NT_RR_Row,41.820641,20.560,3,1,3670208
16,2048,13120,TN_CC_Col,41.811962,20.564,3,1,3670208
16,2048,13120,TN_CC_Row,41.851032,20.545,3,4,3670208
16,2048,13120,TT_CR_Col,41.798946,20.571,3,1,3670208
16,2048,13120,TT_CR_Row,41.827152,20.557,3,1,3670208
16,3072,2048,NN_RC_Col,19.710075,10.214,2,-1,0
16,3072,2048,NN_RC_Row,19.710075,10.214,2,2,0
16,3072,2048,NT_RR_Col,19.710075,10.214,2,2,0
16,3072,2048,NT_RR_Row,19.699791,10.220,2,2,0
16,3072,2048,TN_CC_Col,19.654657,10.243,2,8,0
16,3072,2048,TN_CC_Row,19.705959,10.217,2,4,0
16,3072,2048,TT_CR_Col,19.658752,10.241,2,-1,0
16,3072,2048,TT_CR_Row,19.705959,10.217,2,-1,0
16,3072,2752,NN_RC_Col,22.006447,12.293,2,2,0
16,3072,2752,NN_RC_Row,21.970228,12.314,2,1,0
16,3072,2752,NT_RR_Col,21.964520,12.317,2,1,0
16,3072,2752,NT_RR_Row,21.966423,12.316,2,2,0
16,3072,2752,TN_CC_Col,22.027473,12.282,2,-1,0
16,3072,2752,TN_CC_Row,22.012180,12.290,2,2,0
16,3072,2752,TT_CR_Col,22.025558,12.283,2,2,0
16,3072,2752,TT_CR_Row,22.016001,12.288,2,-1,0
16,3072,3072,NN_RC_Col,24.518534,12.317,2,-1,0
16,3072,3072,NN_RC_Row,24.438112,12.357,2,-1,0
16,3072,3072,NT_RR_Col,24.510044,12.321,2,-1,0
16,3072,3072,NT_RR_Row,24.431786,12.361,2,-1,0
16,3072,3072,TN_CC_Col,24.512165,12.320,2,4,0
16,3072,3072,TN_CC_Row,24.556818,12.298,2,1,0
16,3072,3072,TT_CR_Col,24.484608,12.334,2,-1,0
16,3072,3072,TT_CR_Row,24.488844,12.332,2,2,0
16,3072,3296,NN_RC_Col,22.616287,14.326,2,-1,0
16,3072,3296,NN_RC_Row,22.617971,14.325,2,2,0
16,3072,3296,NT_RR_Col,22.617971,14.325,2,1,0
16,3072,3296,NT_RR_Row,22.639887,14.311,2,1,0
16,3072,3296,TN_CC_Col,22.589378,14.343,2,1,0
16,3072,3296,TN_CC_Row,22.617971,14.325,2,1,0
16,3072,3296,TT_CR_Col,22.619656,14.324,2,4,0
16,3072,3296,TT_CR_Row,22.614603,14.327,2,1,0
16,16384,2048,NN_RC_Col,47.703205,22.509,2,2,0
16,16384,2048,NN_RC_Row,47.664803,22.527,2,1,0
16,16384,2048,NT_RR_Col,47.651264,22.533,2,4,0
16,16384,2048,NT_RR_Row,47.658035,22.530,2,1,0
16,16384,2048,TN_CC_Col,47.703205,22.509,2,-1,0
16,16384,2048,TN_CC_Row,47.678345,22.521,2,-1,0
16,16384,2048,TT_CR_Col,47.649010,22.534,2,1,0
16,16384,2048,TT_CR_Row,47.662540,22.528,2,1,0
16,16384,2752,NN_RC_Col,50.341015,28.661,2,1,0
16,16384,2752,NN_RC_Row,50.339138,28.662,2,2,0
16,16384,2752,NT_RR_Col,50.337269,28.663,2,-1,0
16,16384,2752,NT_RR_Row,50.335396,28.665,2,-1,0
16,16384,2752,TN_CC_Col,50.320412,28.673,2,-1,0
16,16384,2752,TN_CC_Row,50.333523,28.666,2,-1,0
16,16384,2752,TT_CR_Col,50.320412,28.673,2,1,0
16,16384,2752,TT_CR_Row,50.348511,28.657,2,1,0
16,16384,3072,NN_RC_Col,52.448830,30.708,2,2,0
16,16384,3072,NN_RC_Row,52.447010,30.709,2,2,0
16,16384,3072,NT_RR_Col,52.436085,30.716,2,1,0
16,16384,3072,NT_RR_Row,52.454300,30.705,2,1,0
16,16384,3072,TN_CC_Col,52.376057,30.751,2,-1,0
16,16384,3072,TN_CC_Row,52.450653,30.707,2,4,0
16,16384,3072,TT_CR_Col,52.423340,30.723,2,2,0
16,16384,3072,TT_CR_Row,52.436085,30.716,2,1,0
16,16384,3296,NN_RC_Col,52.619522,32.841,2,1,0
16,16384,3296,NN_RC_Row,52.628075,32.835,2,-1,0
16,16384,3296,NT_RR_Col,52.667423,32.811,2,1,0
16,16384,3296,NT_RR_Row,52.501858,32.914,2,1,0
16,16384,3296,TN_CC_Col,52.467854,32.935,2,-1,0
16,16384,3296,TN_CC_Row,52.575127,32.868,2,1,0
16,16384,3296,TT_CR_Col,52.471252,32.933,2,8,0
16,16384,3296,TT_CR_Row,52.634907,32.831,2,2,0
128,2048,2048,NN_RC_Col,104.792107,10.246,2,-1,0
128,2048,2048,NN_RC_Row,104.704903,10.255,3,-1,0
128,2048,2048,NT_RR_Col,104.857590,10.240,2,1,0
128,2048,2048,NT_RR_Row,104.879456,10.238,2,-1,0
128,2048,2048,TN_CC_Col,105.219284,10.205,2,1,0
128,2048,2048,TN_CC_Row,104.813942,10.244,2,-1,0
128,2048,2048,TT_CR_Col,104.683136,10.257,3,-1,0
128,2048,2048,TT_CR_Row,104.748489,10.251,3,2,0
128,2048,2752,NN_RC_Col,117.449249,12.285,2,1,0
128,2048,2752,NN_RC_Row,117.377907,12.292,2,1,0
128,2048,2752,NT_RR_Col,117.408470,12.289,2,2,0
128,2048,2752,NT_RR_Row,117.377907,12.292,2,1,0
128,2048,2752,TN_CC_Col,117.459450,12.284,2,1,0
128,2048,2752,TN_CC_Row,117.449249,12.285,2,2,0
128,2048,2752,TT_CR_Col,117.194862,12.311,2,1,0
128,2048,2752,TT_CR_Row,117.255806,12.305,2,-1,0
128,2048,3072,NN_RC_Col,130.607178,12.332,2,2,0
128,2048,3072,NN_RC_Row,130.776855,12.316,2,1,0
128,2048,3072,NT_RR_Col,130.528137,12.339,2,4,0
128,2048,3072,NT_RR_Row,130.539413,12.338,2,2,0
128,2048,3072,TN_CC_Col,130.516846,12.340,2,-1,0
128,2048,3072,TN_CC_Row,130.347855,12.356,2,1,0
128,2048,3072,TT_CR_Col,130.618469,12.331,2,2,0
128,2048,3072,TT_CR_Row,130.731552,12.320,2,1,0
128,2048,3296,NN_RC_Col,120.701080,14.317,2,4,0
128,2048,3296,NN_RC_Row,120.521492,14.338,2,2,0
128,2048,3296,NT_RR_Col,120.701080,14.317,2,1,0
128,2048,3296,NT_RR_Row,120.512527,14.339,2,1,0
128,2048,3296,TN_CC_Col,120.656143,14.322,2,-1,0
128,2048,3296,TN_CC_Row,120.530464,14.337,2,1,0
128,2048,3296,TT_CR_Col,120.719070,14.315,2,1,0
128,2048,3296,TT_CR_Row,120.719070,14.315,2,2,0
128,2048,8192,NN_RC_Col,188.835144,22.745,3,-1,1048896
128,2048,8192,NN_RC_Row,189.394714,22.677,3,2,1048896
128,2048,8192,NT_RR_Col,190.038330,22.601,3,-1,1048896
128,2048,8192,NT_RR_Row,189.519547,22.662,3,1,1048896
128,2048,8192,TN_CC_Col,189.653442,22.646,3,1,1048896
128,2048,8192,TN_CC_Row,188.870575,22.740,3,1,1048896
128,2048,8192,TT_CR_Col,189.510620,22.663,3,1,1048896
128,2048,8192,TT_CR_Row,189.474930,22.668,3,-1,1048896
128,2048,10944,NN_RC_Col,213.324677,26.897,3,2,1048896
128,2048,10944,NN_RC_Row,211.571091,27.120,3,-1,1048896
128,2048,10944,NT_RR_Col,211.871078,27.082,3,1,1048896
128,2048,10944,NT_RR_Row,211.854401,27.084,3,1,1048896
128,2048,10944,TN_CC_Col,214.003616,26.812,3,1,1048896
128,2048,10944,TN_CC_Row,212.902512,26.950,3,-1,1048896
128,2048,10944,TT_CR_Col,212.961517,26.943,3,1,1048896
128,2048,10944,TT_CR_Row,212.347809,27.021,3,1,1048896
128,2048,12288,NN_RC_Col,241.553268,26.671,3,2,1048896
128,2048,12288,NN_RC_Row,241.862793,26.637,3,4,1048896
128,2048,12288,NT_RR_Col,241.485657,26.678,3,-1,1048896
128,2048,12288,NT_RR_Row,240.686920,26.767,3,1,1048896
128,2048,12288,TN_CC_Col,241.891861,26.634,3,2,1048896
128,2048,12288,TN_CC_Row,241.572586,26.669,3,2,1048896
128,2048,12288,TT_CR_Col,241.495300,26.677,3,1,1048896
128,2048,12288,TT_CR_Row,241.476013,26.679,3,1,1048896
128,2048,13120,NN_RC_Col,235.372757,29.225,3,2,1048896
128,2048,13120,NN_RC_Row,234.961105,29.276,3,-1,1048896
128,2048,13120,NT_RR_Col,235.579117,29.199,3,1,1048896
128,2048,13120,NT_RR_Row,237.584000,28.953,3,-1,1048896
128,2048,13120,TN_CC_Col,234.849854,29.290,3,2,1048896
128,2048,13120,TN_CC_Row,236.572968,29.076,3,-1,1048896
128,2048,13120,TT_CR_Col,235.510284,29.207,3,1,1048896
128,2048,13120,TT_CR_Row,237.103546,29.011,3,8,1048896
128,3072,2048,NN_RC_Col,157.237259,10.243,2,4,0
128,3072,2048,NN_RC_Row,157.270020,10.241,2,2,0
128,3072,2048,NT_RR_Col,156.877869,10.267,2,1,0
128,3072,2048,NT_RR_Row,156.959396,10.261,2,2,0
128,3072,2048,TN_CC_Col,157.483246,10.227,2,1,0
128,3072,2048,TN_CC_Row,157.286392,10.240,2,-1,0
128,3072,2048,TT_CR_Col,157.253647,10.242,2,1,0
128,3072,2048,TT_CR_Row,157.024704,10.257,2,-1,0
128,3072,2752,NN_RC_Col,175.883713,12.305,2,-1,0
128,3072,2752,NN_RC_Row,176.173874,12.285,2,-1,0
128,3072,2752,NT_RR_Col,175.853226,12.307,2,1,0
128,3072,2752,NT_RR_Row,175.929474,12.302,2,-1,0
128,3072,2752,TN_CC_Col,175.914230,12.303,2,1,0
128,3072,2752,TN_CC_Row,175.914230,12.303,2,-1,0
128,3072,2752,TT_CR_Col,176.204468,12.283,2,-1,0
128,3072,2752,TT_CR_Row,176.189178,12.284,2,1,0
128,3072,3072,NN_RC_Col,185.073074,13.054,2,-1,0
128,3072,3072,NN_RC_Row,192.219666,12.569,2,2,0
128,3072,3072,NT_RR_Col,186.015457,12.988,2,2,0
128,3072,3072,NT_RR_Row,190.859039,12.658,2,-1,0
128,3072,3072,TN_CC_Col,189.962601,12.718,2,2,0
128,3072,3072,TN_CC_Row,194.949570,12.393,2,2,0
128,3072,3072,TT_CR_Col,186.474899,12.956,2,2,0
128,3072,3072,TT_CR_Row,193.071716,12.513,2,-1,0
128,3072,3296,NN_RC_Col,181.078598,14.315,2,-1,0
128,3072,3296,NN_RC_Row,180.500244,14.361,2,1,0
128,3072,3296,NT_RR_Col,180.795685,14.337,2,-1,0
128,3072,3296,NT_RR_Row,180.768799,14.339,2,4,0
128,3072,3296,TN_CC_Col,181.092087,14.314,2,1,0
128,3072,3296,TN_CC_Row,181.065125,14.316,2,2,0
128,3072,3296,TT_CR_Col,181.105591,14.313,2,2,0
128,3072,3296,TT_CR_Row,180.433243,14.366,2,1,0
128,16384,2048,NN_RC_Col,279.552307,30.727,2,-1,0
128,16384,2048,NN_RC_Row,279.474731,30.736,2,1,0
128,16384,2048,NT_RR_Col,279.688263,30.713,2,-1,0
128,16384,2048,NT_RR_Row,279.125977,30.774,2,1,0
128,16384,2048,TN_CC_Col,279.494110,30.734,2,1,0
128,16384,2048,TN_CC_Row,279.552307,30.727,2,-1,0
128,16384,2048,TT_CR_Col,279.620270,30.720,2,2,0
128,16384,2048,TT_CR_Row,279.474731,30.736,2,-1,0
128,16384,2752,NN_RC_Col,282.865540,40.806,0,4,0
128,16384,2752,NN_RC_Row,281.959015,40.938,0,1,0
128,16384,2752,NT_RR_Col,282.400482,40.874,0,1,0
128,16384,2752,NT_RR_Row,282.415253,40.871,0,-1,0
128,16384,2752,TN_CC_Col,282.858154,40.807,0,4,0
128,16384,2752,TN_CC_Row,281.929596,40.942,2,-1,0
128,16384,2752,TT_CR_Col,282.858154,40.807,0,1,0
128,16384,2752,TT_CR_Row,281.995728,40.932,0,-1,0
128,16384,3072,NN_RC_Col,293.243866,43.939,2,1,0
128,16384,3072,NN_RC_Row,291.488983,44.204,2,1,0
128,16384,3072,NT_RR_Col,292.703857,44.020,2,-1,0
128,16384,3072,NT_RR_Row,293.350708,43.923,2,2,0
128,16384,3072,TN_CC_Col,293.258118,43.937,2,4,0
128,16384,3072,TN_CC_Row,292.278931,44.084,2,1,0
128,16384,3072,TT_CR_Col,290.864349,44.299,2,2,0
128,16384,3072,TT_CR_Row,293.536041,43.895,2,16,0
128,16384,3296,NN_RC_Col,293.600342,47.086,0,1,0
128,16384,3296,NN_RC_Row,293.234985,47.145,0,2,0
128,16384,3296,NT_RR_Col,293.507263,47.101,0,1,0
128,16384,3296,NT_RR_Row,293.540497,47.095,0,2,0
128,16384,3296,TN_CC_Col,293.640228,47.079,0,8,0
128,16384,3296,TN_CC_Row,293.547119,47.094,0,2,0
128,16384,3296,TT_CR_Col,293.487305,47.104,0,-1,0
128,16384,3296,TT_CR_Row,293.700104,47.070,0,-1,0
1024,2048,2048,NN_RC_Col,279.668823,30.715,2,2,0
1024,2048,2048,NN_RC_Row,279.532898,30.730,2,4,0
1024,2048,2048,NT_RR_Col,279.659119,30.716,2,2,0
1024,2048,2048,NT_RR_Row,279.116272,30.775,2,-1,0
1024,2048,2048,TN_CC_Col,279.387451,30.746,2,-1,0
1024,2048,2048,TN_CC_Row,279.494110,30.734,2,2,0
1024,2048,2048,TT_CR_Col,279.164673,30.770,2,-1,0
1024,2048,2048,TT_CR_Row,279.503815,30.733,2,-1,0
1024,2048,2752,NN_RC_Col,281.592133,40.991,0,1,0
1024,2048,2752,NN_RC_Row,281.672791,40.979,0,-1,0
1024,2048,2752,NT_RR_Col,281.973694,40.935,0,4,0
1024,2048,2752,NT_RR_Row,281.680084,40.978,0,1,0
1024,2048,2752,TN_CC_Col,281.702087,40.975,0,-1,0
1024,2048,2752,TN_CC_Row,281.753418,40.967,0,2,0
1024,2048,2752,TT_CR_Col,281.892883,40.947,0,4,0
1024,2048,2752,TT_CR_Row,281.959015,40.938,0,2,0
1024,2048,3072,NN_RC_Col,297.952637,43.245,2,1,0
1024,2048,3072,NN_RC_Row,295.048859,43.670,2,1,0
1024,2048,3072,NT_RR_Col,297.666321,43.286,2,1,0
1024,2048,3072,NT_RR_Row,294.674591,43.726,2,1,0
