# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: int8, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
16,2048,2048,NN_RC_Col,21.590446,6.217,1,1,524288
16,2048,2048,NN_RC_Row,21.627558,6.206,0,1,524288
16,2048,2048,NT_RR_Col,21.546082,6.229,1,1,524288
16,2048,2048,NT_RR_Row,21.523970,6.236,0,1,524288
16,2048,2048,TN_CC_Col,21.370436,6.281,1,1,524288
16,2048,2048,TN_CC_Row,21.512930,6.239,0,1,524288
16,2048,2048,TT_CR_Col,21.549772,6.228,1,1,524288
16,2048,2048,TT_CR_Row,21.520287,6.237,0,1,524288
16,2048,2752,NN_RC_Col,21.760988,8.288,1,1,720896
16,2048,2752,NN_RC_Row,21.808702,8.270,0,1,720896
16,2048,2752,NT_RR_Col,21.596994,8.351,1,1,720896
16,2048,2752,NT_RR_Row,21.938873,8.221,0,1,720896
16,2048,2752,TN_CC_Col,21.674513,8.321,1,1,720896
16,2048,2752,TN_CC_Row,21.805891,8.271,0,1,720896
16,2048,2752,TT_CR_Col,21.763790,8.287,1,1,720896
16,2048,2752,TT_CR_Row,21.800268,8.273,0,1,720896
16,2048,3072,NN_RC_Col,24.332045,8.274,1,1,786432
16,2048,3072,NN_RC_Row,24.391792,8.254,0,1,786432
16,2048,3072,NT_RR_Col,24.363453,8.263,1,1,786432
16,2048,3072,NT_RR_Row,24.300720,8.285,0,1,786432
16,2048,3072,TN_CC_Col,24.170019,8.330,1,1,786432
16,2048,3072,TN_CC_Row,24.288212,8.289,0,1,786432
16,2048,3072,TT_CR_Col,24.335184,8.273,1,1,786432
16,2048,3072,TT_CR_Row,24.297590,8.286,0,1,786432
16,2048,3296,NN_RC_Col,21.050545,10.261,1,1,851968
16,2048,3296,NN_RC_Row,20.969891,10.301,0,1,851968
16,2048,3296,NT_RR_Col,20.982927,10.294,1,1,851968
16,2048,3296,NT_RR_Row,21.048355,10.262,0,1,851968
16,2048,3296,TN_CC_Col,21.000336,10.286,1,1,851968
16,2048,3296,TN_CC_Row,21.039610,10.267,0,1,851968
16,2048,3296,TT_CR_Col,21.043983,10.265,1,1,851968
16,2048,3296,TT_CR_Row,21.043983,10.265,0,1,851968
16,2048,8192,NN_RC_Col,28.996225,18.515,1,1,2097152
16,2048,8192,NN_RC_Row,32.593998,16.471,0,1,2097152
16,2048,8192,NT_RR_Col,29.001236,18.512,1,1,2097152
16,2048,8192,NT_RR_Row,32.596107,16.470,0,1,2097152
16,2048,8192,TN_CC_Col,28.952856,18.543,1,1,2097152
16,2048,8192,TN_CC_Row,32.602444,16.467,0,1,2097152
16,2048,8192,TT_CR_Col,29.039722,18.487,1,1,2097152
16,2048,8192,TT_CR_Row,32.608776,16.464,0,1,2097152
16,2048,10944,NN_RC_Col,29.094343,24.652,1,1,2818048
16,2048,10944,NN_RC_Row,31.748398,22.591,0,1,2818048
16,2048,10944,NT_RR_Col,29.069187,24.673,1,1,2818048
16,2048,10944,NT_RR_Row,31.794937,22.558,0,1,2818048
16,2048,10944,TN_CC_Col,29.096863,24.650,1,1,2818048
16,2048,10944,TN_CC_Row,31.748398,22.591,0,1,2818048
16,2048,10944,TT_CR_Col,29.142260,24.611,1,1,2818048
16,2048,10944,TT_CR_Row,31.736412,22.599,0,1,2818048
16,2048,12288,NN_RC_Col,30.153154,26.707,1,1,3145728
16,2048,12288,NN_RC_Row,32.760891,24.581,0,1,3145728
16,2048,12288,NT_RR_Col,30.148340,26.711,1,1,3145728
16,2048,12288,NT_RR_Row,32.682888,24.640,0,1,3145728
16,2048,12288,TN_CC_Col,30.067892,26.783,1,1,3145728
16,2048,12288,TN_CC_Row,32.758045,24.583,0,1,3145728
16,2048,12288,TT_CR_Col,30.141117,26.718,1,1,3145728
16,2048,12288,TT_CR_Row,32.762314,24.580,0,1,3145728
