"Model_Name","Theta_WLE","SE"
"Mihaiii/Pallas-0.5-LASER-0.3",-0.651828450642602,0.142462791952468
"amazingvince/Not-WizardLM-2-7B",0.297546868197823,0.116170259081905
"shanchen/llama3-8B-slerp-med-262k",-1.20494549920427,0.175321465633457
"nisten/shqiponja-59b-v1",-0.134544801962849,0.139171777079018
"Weyaxi/Helion-4x34B",0.0252245473443415,0.154003418567996
"Azazelle/Bianca-7b",0.664604301006729,0.107051594979617
"Josephgflowers/Cinder-Phi-2-Test-1",-1.4272433034212,0.217358233006035
"andrijdavid/Meta-Llama-3-13B-Instruct",-1.51815615740783,0.240462258581888
"gmonsoon/MiaAffogato-Indo-Mistral-7b",0.265966823312565,0.131501571224021
"mncai/agiin-13.6B-v0.0",0.519120475653701,0.14468258431129
"vikash06/doctorLLM5k",-1.76669477548893,0.198104681254801
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701",-0.172707778351281,0.177055760711543
"YKM11/Mistral-7B-adaptv0.9",1.4389271450039,0.143599437158304
"l3utterfly/mistral-7b-v0.1-layla-v2",-0.870998001307979,0.170278525378349
"lcw99/llama-3-8b-it-kor-extented-chang",-0.981685466297748,0.16678202282538
"Cartinoe5930/SOLAR-DUS-implement",-0.459914962238254,0.151972804549749
"Mihaiii/Pallas-0.5-LASER-0.6",-0.875784275977078,0.182704307673663
"Gille/StrangeMerges_27-7B-dare_ties",1.4389271450039,0.143599437158304
"giraffe176/Open_Neural_Monarch_Maidv0.2",-0.15870037292845,0.145136337235976
"Sao10K/Ana-v1-m7",0.670987379342934,0.11298413269139
"mncai/agiin-13.6B-v0.1",0.555345154619894,0.156948216412226
"macadeliccc/laser-dolphin-mixtral-4x7b-dpo",0.0726544726288336,0.157106598258581
"DenisTheDev/Blitz-AI-MOE-v0.7",0.250577762550936,0.11270267319649
"jan-ai/Pandora-10.7B-v1",0.879031083302503,0.109520028855822
"moondriller/llama2-13B-eugeneparkthebest",-1.90390075965756,0.234382747772251
"shadowml/DareBeagle-7B",0.981300590330837,0.0848293651666691
"silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e2",1.4389271450039,0.143599437158304
"ShenaoZhang/0.001_idpo_noreplacerej_iter_2",0.0920251275897568,0.145230969290952
"macadeliccc/WestLake-7B-v2-laser-truthy-dpo",1.4050612965358,0.134990550070181
"PulsarAI/MetaMath-OpenHermes-2.5-neural-chat-v3-3-Slerp",0.130212371929451,0.141703463041928
"zhengr/MixTAO-7Bx2-MoE-Instruct-v4.0",1.26545694899233,0.112664831673647
"icefog72/IceCoffeeTest3",0.592186554348976,0.0969248577514241
"perlthoughts/Falkor-8x7B-MoE",0.221355054207601,0.119465874108968
"pansophic/m16",-0.91467615195971,0.172731075029077
"PetroGPT/Severus-7B-DPO",0.894022409039802,0.105008374826724
"cloudyu/Yi-34Bx3-MoE-90B",0.0862194887572929,0.147067073599398
"MaziyarPanahi/Calme-4x7B-MoE-v0.1",1.44250824806506,0.149529527558423
"DeepKarkhanis/NeuralPipe-7B-slerp",0.512254388436067,0.105768393880713
"haoranxu/ALMA-13B",-0.966725387855583,0.162240997567147
"andysalerno/rainbowfish-v6",-0.222356841786451,0.137608604265295
"johnsnowlabs/JSL-MedLlama-3-8B-v2.0",-0.683088223845133,0.153871180080741
"meta-llama/Meta-Llama-3-70B-Instruct",-0.38125338713432,0.180259967450951
"paloalma/ECE-TW3-JRGL-V1",0.295505920999992,0.130667976973524
"FelixChao/Voldemort-10B",0.132555112394616,0.152341277073252
"cookinai/Llama-3-SOLAR-v0.2",-1.03216632347005,0.183546783783542
"leveldevai/MBA-7B",0.679072187991254,0.102871339622548
"aloobun/bun_mistral_7b_v2",-0.555567858226196,0.13987477410216
"silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e1",1.4389271450039,0.143599437158304
"nbeerbower/flammen11X-mistral-7B",0.992685015518158,0.0866012165563345
"NovoCode/Metabird-7b-DPO",0.46703528033015,0.106010079074709
"FelixChao/NarutoDolphin-10B",-0.0972719153271653,0.170012131933614
"yihan6324/llama2-7b-instructmining-orca-40k",-1.23565361107424,0.185441808940743
"AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3",-1.07229003045702,0.162617205824026
"cookinai/LlamaReflect-8B-CoT-safetensors",-1.23378452928799,0.168176566808339
"ajibawa-2023/SlimOrca-Llama-3-8B",-1.92266425034892,0.198399750727775
"splm/zephyr-7b-sft-full-spin-peft-iter2",-0.644269156527241,0.156802315430742
"Kquant03/Buttercup-V2-bf16",1.4389271450039,0.143599437158304
"migtissera/SynthIA-70B-v1.5",-0.0337785240891283,0.158567821794074
"Joseph717171/BigOrca-2-XB",-0.998733115204936,0.178693970745507
"lemon-mint/gemma-7b-openhermes-v0.80",-1.24214544090282,0.171589397316359
"Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp",-0.233412007283196,0.154957404124998
"yunconglong/DARE_TIES_13B",1.79130098183092,0.31810491755165
"perlthoughts/Chupacabra-7B-v2.02",0.262360238429238,0.143577689827919
"jpquiroga/Mistral_7B_slerp_merge_instruct_open_orca",-0.282602416227854,0.147748507688079
"0ai/0ai-7B-v4",0.191204058751665,0.215750030505294
"MaziyarPanahi/Llama-3-8B-Instruct-v0.2",-0.950039619487363,0.165069843628369
"moreh/MoMo-70B-lora-1.8.5-DPO",-0.381668194237537,0.163753440245694
"Changgil/K2S3-Mistral-7bx2-48layers_v1.2",-1.2525351384186,0.174125032864584
"abhishek/autotrain-cei9g-ag3pe",-0.779703163596965,0.168645028591158
"JunchengXie/zephyr-7b-beta-gpt-4-80k",-0.521066105799558,0.160705887285836
"chargoddard/internlm2-20b-llama",-0.693331450183302,0.161202101268496
"hon9kon9ize/CantoneseLLM-6B-preview202402",-1.47391335911163,0.230650450458064
"allknowingroger/NeuralWestSeverus-7B-slerp",1.04056416286642,0.0957985088771791
"LeroyDyer/Mixtral_ThoughtsProcess_1",-0.0885943323314443,0.148051491245618
"INSAIT-Institute/BgGPT-7B-Instruct-v0.1",-0.735506212951269,0.172400520468511
"nlpguy/Starling-low-tune",-0.412136092472598,0.141287496298323
"macadeliccc/SOLAR-10.7b-Instruct-dpo",0.682807945547593,0.123289061245613
"feeltheAGI/mistral-maths7B",-1.5798942458597,0.196700443434542
"Locutusque/NeuralHyperion-Medium-Preview",-0.34022812125984,0.133288599223672
"Eric111/Mathral",0.32180773261722,0.111300400284156
"Yuma42/KangalKhan-RawRuby-7B",0.386599528101187,0.0987069026760217
"152334H/miqu-1-70b-sf",0.230381058636549,0.131926467927226
"NeuralNovel/Gecko-7B-v0.1",-0.505118783621217,0.148785760381334
"Weyaxi/Bagel-Hermes-34B-Slerp",0.15073943767133,0.13111078341754
"mistral-community/Mixtral-8x22B-v0.1",-0.423574672890885,0.144986370481478
"xxx777xxxASD/L3_SnowStorm_4x8B",-0.80771284645465,0.151347233575652
"allknowingroger/LimmyAutomerge-7B-slerp",1.97097762067916,0.420115973720776
"Epiculous/Mika-7B",-0.281213769223536,0.180590221076546
"Weyaxi/MetaMath-una-cybertron-v2-bf16-Ties",0.102166695959172,0.146690388768108
"shyamieee/Maverick-v3.0",0.544187055601588,0.170198217186334
"Gryphe/Tiamat-8b-1.2-Llama-3-DPO",-0.654197341219358,0.14501240119679
"kwchoi/DPO_mistral_v01_7b_ultra_0130_1k",-1.06950506244106,0.216427715377518
"YeungNLP/firefly-qwen1.5-en-7b-dpo-v0.1",-1.91419117086675,0.254816831785025
"cookinai/Blitz-v0.2",-0.499188688484682,0.150574880353978
"chatty123/mistral_rank16_dpo",-0.312026598642036,0.150595776838431
"saltlux/luxia-21.4b-alignment-v0.4",0.493553119778208,0.14615016167381
"louisbrulenaudet/Maxine-34B-stock",0.244261262144981,0.14940929096025
"wang7776/Llama-2-7b-chat-hf-20-attention-sparsity",-1.94008532891316,0.233163828741708
"allknowingroger/Multimerge-12B-MoE",1.97097762067916,0.420115973720776
"argilla/distilabeled-Marcoro14-7B-slerp-full",0.781550767026585,0.0749014613028477
"weezywitasneezy/BenchmarkEngineering-7B-slerp",1.97097762067916,0.420115973720776
"nbeerbower/SuperFlammen-4x7B",1.28665419387294,0.117643681274785
"vilm/Quyen-Plus-v0.1",-1.24541961859107,0.182343288150199
"AA051611/whattest",-0.37914874128145,0.144989431276037
"migtissera/Tess-M-v1.3",-0.585423998284382,0.149927029063158
"jisukim8873/mistralai-case-1-0",-0.356724819715651,0.133761331095754
"nbeerbower/flammen15-gutenberg-DPO-v1-7B",1.18213904891733,0.103624868775076
"kevin009/Llamafia",-0.277092992901136,0.154062872378121
"aboros98/merlin1",-0.862254106709818,0.179786359526181
"jeonsworld/CarbonVillain-en-10.7B-v4",0.467572113539917,0.119358988377611
"Unbabel/TowerBase-7B-v0.1",-1.87740595847524,0.207570349586396
"Korabbit/Llama-2-7b-chat-hf-afr-441step-flan-v2",-2.15291446401288,0.26519386273629
"abhinand/tamil-llama-13b-instruct-v0.1",-1.52569341034173,0.181187399902847
"chatty123/mistral_rank32_sft",-1.22226774010754,0.203312774695386
"decapoda-research/Adrastea-7b-v1.0-dpo",-0.594538979451419,0.174749858590527
"Gille/StrangeMerges_3-7B-slerp",0.937339488631519,0.101667875013154
"migtissera/Tess-2.0-Yi-34B-200K",-0.551806809984878,0.153347543974592
"rufjdk5480/WestLake-dpo-train-sft-v1",0.366307162149085,0.130607102064192
"CultriX/AlphaCeption-7B-v1",1.97097762067916,0.420115973720776
"Ichsan2895/Merak-7B-v5-PROTOTYPE1",-0.0938909878526896,0.18640753409039
"khoantap/wizard-limarp",-1.00864741865288,0.196835135462931
"Danielbrdz/Barcenas-10.7b",-0.252738877974751,0.1573003060594
"huseyinatahaninan/phi-2-dpo",-0.878451894706198,0.18270839177494
"azarafrooz/mistral-v2-7b-selfplay-v0-test",-0.305554651488251,0.149944674683455
"mlabonne/OmniBeagle-7B",1.4389271450039,0.143599437158304
"abideen/MonarchCoder-MoE-2x7B",1.19130191424164,0.101878268255022
"OpenBuddy/openbuddy-mistral-7b-v17.1-32k",-1.09984031742527,0.181640370285806
"yhyu13/LMCocktail-10.7B-v1",0.410996603580898,0.119067486137134
