"Dataset","Models","Subset_Size","Full_Size","Reduction","MAE","RMSE","Correlation","R_squared"
"arc",417,99,864,0.114583333333333,0.0378873726859322,0.0432562123331109,0.960525978442675,0.922610155263258
"gsm8k",420,100,1306,0.0765696784073507,0.0291703605423486,0.0368239225140442,0.983435567562642,0.967145515547256
"hellaswag",386,97,5624,0.0172475106685633,0.0239426987103223,0.031583178547453,0.953791834385371,0.909718863340211
"truthfulqa",516,97,652,0.148773006134969,0.114555623152112,0.127566640590659,0.975106856988488,0.950833382545968
"winogrande",521,100,1059,0.0944287063267233,0.0432271646142276,0.0500849932690262,0.86285183093555,0.744513282148832
