"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"Kukedlc/NeuralSynthesis-7B-v0.3",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"migtissera/Tess-72B-v1.5b",0.577521797026597,0.107209971996131,100,844,0.75,0.554339242863506
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.585183836784259,0.114232665363473,100,844,0.81,0.554966610545584
"weezywitasneezy/OxytocinErosEngineeringF1-7B-slerp",0.602085007635246,0.349744874864242,100,844,0.79,0.576827616188371
"saishf/Merge-Mayhem-L3-V2.1",0.496076737207292,-0.808287470766725,100,844,0.63,0.478076298659885
"rwitz2/pee",0.639072146085049,0.693622491168733,100,844,0.86,0.609377542064222
"icefog72/IceLatteRP-7b",0.64974805015934,0.792357048510004,100,844,0.88,0.618800207438821
"ALBADDAWI/DeepCode-7B-Aurora",0.38692844171918,-2.17020775875165,100,844,0.39,0.386515597864231
"zhengr/MixTAO-7Bx2-MoE-DPO",0.649376770694261,0.773507555607075,100,844,0.89,0.617034938798329
"liminerity/M7-7b",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"uukuguy/zephyr-7b-alpha-dare-0.85",0.537125137894877,-0.295915437714532,100,844,0.66,0.520609699439888
"ABX-AI/Silver-Sun-11B",0.597395840881605,0.279193048700709,100,844,0.8,0.570164099064616
"kyujinpy/PlatYi-34B-Llama",0.540800808254444,-0.343621729143156,100,844,0.72,0.516714895385417
"migtissera/Tess-XS-v1.0",0.545459327187919,-0.21313412981161,100,844,0.68,0.527375903422854
"openlynn/Llama-3-Soliloquy-Max-70B-v1",0.50019231144221,-0.800529867868803,100,844,0.66,0.478712783410249
"BFauber/lora_llama2-13b_10e5_r32_a16",0.468729354482494,-1.07692525839024,100,844,0.56,0.456461794601109
"vicgalle/franken-SOLAR-18B-v1.0",0.547799025247792,-0.246402146732603,100,844,0.72,0.524653732942388
"SUSTech/SUS-Chat-72B",0.509755516071869,-0.637438864855704,100,844,0.64,0.492249537049271
"Eric111/Yarn-Mistral-7b-128k-DPO",0.535368570548902,-0.320328367481513,100,844,0.66,0.518617034332356
"ewqr2130/llama_sft_longer",0.407836317208121,-1.87587616413215,100,844,0.45,0.402169155542546
"jan-hq/komodo-7b-chat",0.388716505898408,-2.12967127350762,100,844,0.39,0.388543993250345
"shanchen/llama3-slerp-med",0.47404792676574,-1.00066449925394,100,844,0.56,0.462495228750382
"nbeerbower/slerp-bophades-truthy-math-mistral-7B",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"nbeerbower/flammen16-mistral-7B",0.693789227274099,1.28665419387294,100,844,0.96,0.658008209434596
"budecosystem/code-millenials-34b",0.402674832049663,-1.98127993266119,100,844,0.45,0.396313922378919
"tyson0420/stack_llama_fil_ai",0.405034409471748,-1.90835961077756,100,844,0.44,0.400334733325478
"Kabster/BioMistral-Zephyr-Beta-SLERP",0.529165733705901,-0.422610792421158,100,844,0.67,0.510236396838414
"amu/spin-phi2-2",0.500618011438026,-0.745719022153502,100,844,0.63,0.483227959211955
"fhai50032/RP-Coder-SM3",0.578197712562158,0.130745125862975,100,844,0.74,0.556450093282878
"bardsai/jaskier-7b-dpo-v3.3",0.709679231343297,1.5850651847689,100,844,0.96,0.676033966738901
"andysalerno/mistral-sft-v3",0.525505039019935,-0.440339730544923,100,844,0.65,0.508771845339819
"PulsarAI/Draco-8x7B",0.576387084172046,0.107847440362452,100,844,0.74,0.554396100861837
"freecs/Zero-7B-test-1",0.548353547288419,-0.205870707709011,100,844,0.7,0.527970959558368
"netcat420/MFANN3bv0.4",0.495009140582351,-0.823068960417743,100,844,0.63,0.476865207864925
"xDAN2099/xDAN-L2-moe-2x-v1",0.544123340718296,-0.264532082212093,100,844,0.7,0.523172176836347
"NECOUDBFM/Jellyfish",0.479631853026086,-1.00550463711025,100,844,0.61,0.462109252626366
"FelixChao/Patronum-7B",0.683089310106325,1.1771481797927,100,844,0.93,0.649902389421691
"karakuri-ai/karakuri-lm-70b-chat-v0.1",0.525156606437911,-0.50963057209997,100,844,0.69,0.503000236335479
"nbeerbower/flammen17-mistral-7B",0.693789227274099,1.28665419387294,100,844,0.96,0.658008209434596
"Lazycuber/L2-7b-Guanaco-Random-Test",0.39937272861479,-1.97600565222393,100,844,0.42,0.396600245901724
"TeeZee/NEBULA-23B-v1.0",0.555060641756517,-0.145955545007154,100,844,0.72,0.532891373175404
"Charlie911/llama2-MultiLoRA-sharegpt-mmlu-drop-ffn-1.0general",0.411133433841633,-1.81107343114116,100,844,0.45,0.405909433013896
"Ba2han/BruinsV2-OpHermesNeu-11B",0.631288700587479,0.61510456817528,100,844,0.85,0.601892020558914
"nlpguy/Hermes-low-tune",0.580269029898154,0.141868715088638,100,844,0.75,0.55745572746511
"CallComply/zephyr-7b-beta-128k",0.481732247788114,-0.958955042219579,100,844,0.6,0.465836044533829
"Sao10K/14B-Glacier-Stack",0.627917038340085,0.574230239740871,100,844,0.85,0.598067177901925
"01-ai/Yi-34B-Chat",0.545013851801622,-0.268619661248065,100,844,0.71,0.522838294248076
"Azazelle/Mocha-Dare-7b-ex",0.546407933533159,-0.282172491117536,100,844,0.73,0.521731580513422
"NLUHOPOE/test-case-0",0.478046204061255,-1.01121255649251,100,844,0.6,0.461654564822176
"jisukim8873/mistralai-case-0-1",0.527759286544874,-0.392992451623422,100,844,0.64,0.512673169144991
"Nitral-AI/Lelanta-lake-7b",0.695565497394869,1.35230800469739,100,844,0.94,0.662711397582352
"Muhammad2003/Myriad-7B-Slerp",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"openagi-project/OpenAGI-7B-v0.2",0.612357879789035,0.415593009159831,100,844,0.83,0.5831049066424
"cstr/llama3-8b-spaetzle-v13",0.553040656493115,-0.255875300356226,100,844,0.77,0.523879454408856
"meraGPT/mera-mix-4x7B",0.704139216241137,1.4389271450039,100,844,0.97,0.668405239929461
"KingNish/KingNish-Llama3-8b",0.558712486961687,-0.17731056891332,100,844,0.77,0.530313627682344
"ALBADDAWI/DeepCode-7B-Aurora-v2",0.420132786058481,-1.75228340678165,100,844,0.5,0.409397945474943
"Artples/L-MChat-Small",0.473643297978179,-1.07439931949153,100,844,0.6,0.456659870287074
"abideen/PhigRange-2.7B-slerp",0.478252176888506,-1.02518126285913,100,844,0.61,0.460544136147714
"NLUHOPOE/test-case-5",0.447670398482593,-1.37814912601097,100,844,0.55,0.433916419784017
"abacusai/Llama-3-Smaug-8B",0.465014994375931,-1.11371127976377,100,844,0.55,0.453592278566245
"cookinai/titanbagel",0.554884721615178,-0.115765235554267,100,844,0.7,0.535379979896788
"decruz07/kellemar-DPO-7B-v1.01",0.607547648885319,0.386599528101187,100,844,0.81,0.580336311369905
"pansophic/new_model_test3",0.406487117197441,-2.00076409635152,100,844,0.49,0.395262267358387
"Undi95/Llama-3-8B-Instruct-OAS",0.482599045126092,-0.913446814870406,100,844,0.58,0.469507518933362
"Weyaxi/Platypus-Nebula-v2-7B",0.44978378612498,-1.34458446331857,100,844,0.55,0.43631386490522
"Nitral-AI/Nyanade_Stunna-Maid-7B",0.594856684478495,0.291445132059558,100,844,0.77,0.571315916263239
"Q-bert/MetaMath-Cybertron",0.595711748395525,0.28746849363681,100,844,0.78,0.570941822104601
"MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2",0.574916436488434,0.0272353233499681,100,844,0.78,0.547351441392794
"Gille/StrangeMerges_22-7B-slerp",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"Azure99/blossom-v4-yi-34b",0.540672622490208,-0.296012969716149,100,844,0.69,0.520601738416312
"Weyaxi/Einstein-v4-Qwen-1.5-32B",0.509231656530982,-0.628508839240903,100,844,0.63,0.492999352301275
"sr5434/CodegebraGPT-10b",0.495550530380396,-0.782827365168546,100,844,0.61,0.480167537151955
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",0.476087219423427,-1.00536418243229,100,844,0.58,0.462120447840554
"Alsebay/L3-krai-test",0.477273514719682,-0.971728256848624,100,844,0.57,0.464810277450823
"AA051610/FT",0.523782981862216,-0.480038458878573,100,844,0.66,0.505474242865202
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.58820015104758,0.225110540511974,100,844,0.76,0.565108773500211
"SC99/Mistral-7B-privatemix-ia3",0.704139216241137,1.4389271450039,100,844,0.97,0.668405239929461
"VAGOsolutions/SauerkrautLM-14b-MoE-LaserChat",0.591660450168714,0.238396834455323,100,844,0.78,0.566345994546229
"nlpguy/Hermes-low-tune-3.1",0.594244147513467,0.269739646206403,100,844,0.78,0.569276963039471
"leejaymin/etri-ones-solar",0.550506107323385,-0.192479960175786,100,844,0.71,0.529068756157174
"Weyaxi/Stellaris-internlm2-20b-r512",0.49189942896517,-0.915945905504092,100,844,0.66,0.469305266191672
"frankenmerger/delta-4B-super",0.447689113606988,-1.34024831365301,100,844,0.53,0.436625822425131
"YeungNLP/firefly-zephyr-6x7b-lora",0.519386273415792,-0.507547915244084,100,844,0.64,0.503174751025442
"leveldevai/BeagleMist-7B",0.664285770552864,0.935657451111474,100,844,0.91,0.631259664444379
"eren23/slerp-test-turdus-beagle",0.696330803215584,1.32651247433693,100,844,0.96,0.660891395045636
"Changgil/K2S3-Llama2-13b-v1.0",0.407689847126499,-1.83197515202488,100,844,0.43,0.404691170665007
"Gille/StrangeMerges_4-7B-slerp",0.626474032390051,0.58549721831154,100,844,0.83,0.599118391582262
"uukuguy/speechless-llama2-13b",0.481778510767261,-0.958302268708952,100,844,0.6,0.465888525655333
"chlee10/T3Q-platypus-SOLAR-10.7B-v1.0",0.531220131249671,-0.394286643294941,100,844,0.67,0.512566923084304
"fzzhang/mistralv1_gsm8k_merged_s",0.531494176512671,-0.374103011888172,100,844,0.66,0.514221888409535
"allknowingroger/JaskierMistral-7B-slerp",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"upaya07/Birbal-7B-V1",0.561277336045555,-0.0445564152304299,100,844,0.71,0.541287730675333
"P0x0/IceMerge-7b-32k",0.577260948251722,0.118929724178397,100,844,0.74,0.555387419790932
"EleutherAI/llemma_34b",0.430807922559485,-1.5802109624372,100,844,0.51,0.420163826129309
"Xenon1/MetaModel_moex8",0.617910998678959,0.467572113539917,100,844,0.84,0.588060326458389
"Antonio88/TaliML-7B-V.1-ENG",0.524508322781756,-0.486286026444147,100,844,0.67,0.504952989822314
"YeungNLP/firefly-qwen1.5-en-7b",0.419737687111367,-1.69347239922573,100,844,0.47,0.412981999895152
"snorkelai/Snorkel-Mistral-PairRM-DPO",0.589763677735865,0.200754753968424,100,844,0.79,0.562850193560578
"Mihaiii/Metis-0.5",0.565335001241936,-0.0377272817668801,100,844,0.74,0.541858522914239
"DreadPoor/NewtoccineLake-slerp-7B",0.604420357981419,0.363474247529722,100,844,0.8,0.578132771688599
"ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3",0.570433825325234,0.0462440813688905,100,844,0.73,0.54898675883669
"sarahlintang/mistral-indo-7b",0.531105419812848,-0.37948626766367,100,844,0.66,0.513780879465112
"OmnicromsBrain/NeuralStar_AlphaWriter_4x7b",0.678965261248448,1.11430323115338,100,844,0.93,0.645224032921626
"Muhammad2003/Llama3-8B-OpenHermes-DPO",0.468888044583095,-1.07462951170824,100,844,0.56,0.456641814016307
"ajibawa-2023/Uncensored-Jordan-13B",0.471162808207018,-1.04186548426384,100,844,0.56,0.459222325439144
"YeungNLP/firefly-qwen1.5-en-7b-unsloth",0.420499231339625,-1.63671351751426,100,844,0.45,0.416534074261618
"kaitchup/Mayonnaise-4in1-022",0.693789227274099,1.28665419387294,100,844,0.96,0.658008209434596
"Sao10K/Venomia-1.1-m7",0.526053223140315,-0.432818956068306,100,844,0.65,0.50939371012154
"abideen/Mistral-v2-orpo",0.531327643076752,-0.359988356323753,100,844,0.65,0.515377057468788
"nbeerbower/Flammen-Trismegistus-7B",0.545740427198862,-0.258530071026628,100,844,0.71,0.523662527628817
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",0.503597919809975,-0.704950990516295,100,844,0.63,0.486608392902714
"uukuguy/speechless-mistral-7B-v0.2-mixed-1",0.518676763585745,-0.468898825135593,100,844,0.61,0.506402135035442
"beberik/Nyxene-11B",0.619723598096152,0.503542285768126,100,844,0.83,0.591460640851011
"Gille/StrangeMerges_36-7B-slerp",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"NLUHOPOE/Mistral-7B-length-100000",0.417390620684306,-1.71492349244789,100,844,0.46,0.411663553571981
"cognitivecomputations/dolphin-2.6-mistral-7b",0.55636139834656,-0.0954964852549193,100,844,0.7,0.537055134683463
"Delcos/Velara-11B-V2",0.561560999240136,-0.089189334247164,100,844,0.74,0.537577262578864
"paulml/DPOB-NMTOB-7B",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"Deci/DeciLM-7B",0.47707072315086,-1.00823036388315,100,844,0.59,0.461892056907696
"xriminact/TarsChattyBasev0.0",0.566503067720761,-0.0219223499147187,100,844,0.74,0.543183587575702
"automerger/OgnoExperiment27-7B",0.717372248088365,1.79130098183092,100,844,0.97,0.683416905089489
