class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,968,0.968,0.1098928924575448
1,automobile,2913,1000,988,0.988,0.05172143522650004
2,bird,1886,1000,885,0.885,0.4961877937316895
3,cat,1221,1000,805,0.805,0.8804910740852356
4,deer,790,1000,862,0.862,0.7003120412826538
5,dog,511,1000,672,0.672,1.5926016101837157
6,frog,331,1000,802,0.802,1.01489888381958
7,horse,214,1000,674,0.674,1.7086628646850586
8,ship,138,1000,686,0.686,1.7927450714111328
9,truck,90,1000,599,0.599,2.2835917930603027
