n_agents,mse,relative_mse
15,0.0018870263593271375,145.61916677589235
20,0.001462180633097887,112.83442036468591
30,0.0012958639999851584,100.0
40,0.0011965237790718675,92.33405504632981
50,0.001035980531014502,79.94515867609311
60,0.0009535503340885043,73.58413646026321
70,0.0009376684902235866,72.35855693454913
80,0.0009161492926068604,70.69795075851734
90,0.0009328645537607372,71.9878439227744
100,0.0015188807155936956,117.2098858839424
120,0.002694343216717243,207.9186717701936
140,0.004282820038497448,330.4991911609937
160,0.01292593777179718,997.4764151134085
180,0.00434899190440774,335.6055808678649
200,0.012442340143024921,960.1578671193446
