algorithm,avg_rank,hit_rate,win_count,total_problems
CMA-ES,2.251,0.000,150,450
ProbeSwitch-MR(t=0.12),2.036,0.000,197,450
UH-CMA-ES,3.296,0.000,61,450
UH-CMA-ES(maxevals=10),3.451,0.000,38,450
UH-CMA-ES(maxevals=30),3.967,0.000,4,450

algorithm,budget,avg_rank,hit_rate,win_count,total_budget_problems
CMA-ES,500,2.251,0.000,150,450
ProbeSwitch-MR(t=0.12),500,2.036,0.000,197,450
UH-CMA-ES,500,3.296,0.000,61,450
UH-CMA-ES(maxevals=10),500,3.451,0.000,38,450
UH-CMA-ES(maxevals=30),500,3.967,0.000,4,450
