algorithm,avg_rank,hit_rate,win_count,total_problems
CMA-ES,2.093,0.000,163,450
ProbeSwitch-MR(t=0.12),1.856,0.000,220,450
UH-CMA-ES,3.511,0.000,32,450
UH-CMA-ES(maxevals=10),3.378,0.000,35,450
UH-CMA-ES(maxevals=30),4.162,0.000,0,450

algorithm,budget,avg_rank,hit_rate,win_count,total_budget_problems
CMA-ES,200,2.093,0.000,163,450
ProbeSwitch-MR(t=0.12),200,1.856,0.000,220,450
UH-CMA-ES,200,3.511,0.000,32,450
UH-CMA-ES(maxevals=10),200,3.378,0.000,35,450
UH-CMA-ES(maxevals=30),200,4.162,0.000,0,450
