init_top20,ori_top20
-11.399999618530272,-11.5
-11.399999618530272,-11.3
-11.199999809265137,-11.2
-10.699999809265137,-10.9
-10.699999809265137,-10.5
-10.600000381469728,-10.4
-10.5,-10.4
-10.399999618530272,-10.3
-10.300000190734863,-10.2
-10.300000190734863,-10.1
-10.300000190734863,-10.1
-10.199999809265137,-10.1
-10.100000381469728,-10.1
-10.100000381469728,-10.0
-10.100000381469728,-9.8
-10.0,-9.8
-9.899999618530272,-9.8
-9.899999618530272,-9.7
-9.800000190734863,-9.6
-9.699999809265137,-9.6
