class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,970,0.97,0.10310301867127418
1,automobile,2913,1000,982,0.982,0.06159474765509367
2,bird,1886,1000,845,0.845,0.5768669195175171
3,cat,1221,1000,789,0.789,0.8973157806396485
4,deer,790,1000,848,0.848,0.7128369989395141
5,dog,511,1000,672,0.672,1.342056921005249
6,frog,331,1000,738,0.738,1.3044622459411621
7,horse,214,1000,662,0.662,1.5373304634094238
8,ship,138,1000,625,0.625,2.1069951667785642
9,truck,90,1000,541,0.541,2.466537105560303
