n_agents,enstrophy,effort,relative_mse
36,35.085515327905256,256.88424318195666,199.80275809234948
64,17.56007557798007,242.05443027424388,100.0
81,11.363482477440437,238.6715976220692,64.71203627215581
100,7.49533584327083,229.12546710812677,42.683961182204754
121,5.708490330167257,214.30118606178888,32.50834715840046
144,3.7846341457932176,202.49538745178398,21.552493490056854
196,4.946742348730082,230.57809197245578,28.17039326945257
256,6.39450179909278,336.14121891765734,36.41500157955663
324,5.007605221993508,591.0838570006063,28.516991283755804
400,5.499111530228309,739.153579343932,31.315990103847096
