n_agents,model,enstrophy,effort,relative_error
36,Ours,35.318040307827324,321.63576744719546,211.09773948272243
36,MAPPO,37.724905264394614,447.06305413922047,204.70833416820176
36,MATD3,38.80346916224604,611.4346529944548,203.85825613640742
64,Ours,16.730657748572423,306.5175629546368,100.0
64,MAPPO,18.428612307204535,404.5397805671324,100.0
64,MATD3,19.034534042261953,547.6024775394792,100.0
81,Ours,10.787376962532887,310.7740866357097,64.47670572577066
81,MAPPO,13.003677513347423,409.09853342131674,70.56243463466714
81,MATD3,12.949623344974304,508.30688238468537,68.03225819041613
100,Ours,6.850017496029852,363.31147805395324,40.94290612462229
100,MAPPO,8.114790728817868,413.79421340868265,44.03365046453035
100,MATD3,8.616778037241,458.47074242669225,45.269182939332055
121,Ours,5.00566896055623,560.0297422759843,29.919140273988027
121,MAPPO,5.639459170210923,432.24557250643704,30.60164854630002
121,MATD3,6.280486973830595,413.34232415913993,32.99522310284123
144,Ours,3.0691424775976595,836.7841214369755,18.344422100556926
144,MAPPO,3.0729829839984193,448.9546052106725,16.675064474589107
144,MATD3,4.244721324281779,369.38101481316943,22.30010629552223
196,Ours,2.465683544491085,1070.7538132654213,14.737517087165772
196,MAPPO,1.66718183780387,820.1657893803956,9.046703083292371
196,MATD3,3.2522682054647163,288.40567074080604,17.086145624808978
256,Ours,2.774058246593543,1163.0290519335979,16.580688507779946
256,MAPPO,1.9347761091379403,2193.889486710426,10.498761799777801
256,MATD3,2.673555060876982,237.14103046927153,14.04581302038152
324,Ours,2.9997442401531917,1261.9884147049845,17.929625273753217
324,MAPPO,3.316401247875736,2848.709252189926,17.995935844714754
324,MATD3,2.7484657361657883,547.7929075591204,14.439364420812357
400,Ours,3.648640345245564,1343.8208660129762,21.808110595991913
400,MAPPO,5.227897063541479,3301.4351266900167,28.36837075083331
400,MATD3,2.7126152704194997,947.7579480113048,14.25102009009908
