class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,967,0.967,0.11104190570116043
1,automobile,2913,1000,974,0.974,0.08502043834328651
2,bird,1886,1000,861,0.861,0.4544466323852539
3,cat,1221,1000,793,0.793,0.7879468088150025
4,deer,790,1000,866,0.866,0.5186885566711426
5,dog,511,1000,714,0.714,1.2188539695739746
6,frog,331,1000,806,0.806,0.8322271347045899
7,horse,214,1000,709,0.709,1.2567245903015136
8,ship,138,1000,672,0.672,1.3866603622436524
9,truck,90,1000,651,0.651,1.524727741241455
