dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
EnergyEfficiency_sample_612,985772,0.0026208986858818257,0.0025977417174126577,-0.8835506917497132,0.34765625,False,[8]
EnergyEfficiency_sample_612,305711,0.00248340945683688,0.00247363668613908,-0.3935223275765315,0.5,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,435829,0.002942505208767742,0.002933292759469539,-0.31308183485122804,0.5771484375,False,"[8, 4, 3, 1]"
EnergyEfficiency_sample_612,117952,0.002309629970226003,0.0023369168149394524,1.1814379387698775,0.5390625,False,[8]
EnergyEfficiency_sample_612,963395,0.002946849450914769,0.00299412552862758,1.604292261965917,0.5771484375,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,152315,0.0017589608125666196,0.0017945315168043285,2.022256777045832,0.4228515625,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,882371,0.002597483348913523,0.0026027920388020974,0.20437820672825682,0.1875,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,359783,0.0029728992716263657,0.0029257669980657206,-1.585397595218918,0.5771484375,False,[8]
EnergyEfficiency_sample_612,304137,0.0027138898727398905,0.002722154461485356,0.3045292599556304,0.384765625,False,[8]
EnergyEfficiency_sample_612,122579,0.0023736514410713605,0.0023705200160897477,-0.13192438145844262,0.2158203125,False,[8]
EnergyEfficiency_sample_612,610581,0.00261132139053133,0.0026890749856917943,2.977557471186781,0.6875,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,448242,0.0022996635422300503,0.002287493583266397,-0.5292060660252916,0.384765625,False,"[8, 4, 3]"
EnergyEfficiency_sample_612,374564,0.002917571254814714,0.002911569508636568,-0.20571035474255006,0.384765625,False,"[8, 4]"
EnergyEfficiency_sample_612,735831,0.0028869980255273177,0.0028837135842316106,-0.11376666234841624,0.5,False,"[8, 4, 3, 1, 0]"
EnergyEfficiency_sample_612,736326,0.0027920816311189827,0.002797771462953926,0.20378458034778835,0.5,False,"[8, 4, 3]"
