filename,mae,sd,se,n,n_subset_items,n_all_items,benchmark
baseline_compare/pirt_random_100_winogrande.csv,0.16669479898954495,0.16259647053179607,0.007123480708731669,521,100.0,1045.0,winogrande
baseline_compare/pirt_tinywinogrande.csv,0.2035296194115863,0.187290071399409,0.008205327004867364,521,100.0,1059.0,winogrande
baseline_compare/pirt_metabench_winogrande_primary.csv,0.15235476952827637,0.16336240488216788,0.0071570369018715526,521,133.0,1045.0,winogrande
baseline_compare/pirt_metabench_winogrande_secondary.csv,0.19483605546069824,0.21528272581563618,0.009431707461146657,521,106.0,1045.0,winogrande
winogrande/pirt_accuracy_se_0.1.csv,0.1548819083781801,0.26582887535529265,0.011646174478596444,521,70.44337811900192,1045.0,winogrande
winogrande/pirt_accuracy_se_0.2.csv,0.1662977457677198,0.23734530388892514,0.010398286555858473,521,37.25911708253359,1045.0,winogrande
winogrande/pirt_accuracy_se_0.3.csv,0.17916972780850407,0.2585572116874374,0.011327597109180408,521,31.81957773512476,1045.0,winogrande
baseline_compare/pirt_random_100_truthfulqa.csv,0.10299691659543907,0.08918328474922985,0.00392607519432778,516,100.0,644.0,truthfulqa
baseline_compare/pirt_tinytruthfulqa.csv,0.14543188461327486,0.1623441705014858,0.007146803602735739,516,97.0,652.0,truthfulqa
baseline_compare/pirt_metabench_truthfulqa_primary.csv,0.08438519642790511,0.1017228607279958,0.004478099246099956,516,154.0,644.0,truthfulqa
baseline_compare/pirt_metabench_truthfulqa_secondary.csv,0.07154765065410204,0.07375515614515561,0.003246889703709508,516,136.0,644.0,truthfulqa
truthfulqa/pirt_accuracy_se_0.1.csv,0.06378752016448969,0.056528360746032055,0.002488522322597287,516,48.486434108527135,627.0,truthfulqa
truthfulqa/pirt_accuracy_se_0.2.csv,0.07252431571655588,0.07373947021573075,0.003246199169170574,516,30.0,627.0,truthfulqa
truthfulqa/pirt_accuracy_se_0.3.csv,0.07064549151475859,0.07038796469930798,0.0030986573656960866,516,30.0,627.0,truthfulqa
baseline_compare/pirt_random_100_hellaswag.csv,0.24037731776569046,0.19478192793268242,0.009914139095927633,386,100.0,5711.0,hellaswag
baseline_compare/pirt_tinyhellaswag.csv,0.19758268659118813,0.1743252999249749,0.00887292414516406,386,97.0,5624.0,hellaswag
baseline_compare/pirt_metabench_hellaswag_primary.csv,0.51427294194444,0.3080179777699869,0.01567770228002559,386,93.0,5711.0,hellaswag
baseline_compare/pirt_metabench_hellaswag_secondary.csv,1.5700403683169841,1.0807431198627666,0.0550083764495302,386,58.0,5711.0,hellaswag
hellaswag/pirt_accuracy_se_0.1.csv,0.156546527285894,0.20003835685078247,0.010181684283486874,386,40.862694300518136,5600.0,hellaswag
hellaswag/pirt_accuracy_se_0.2.csv,0.16272045136255692,0.18205845251144742,0.009266531248276921,386,30.015544041450777,5600.0,hellaswag
hellaswag/pirt_accuracy_se_0.3.csv,0.16463395014491305,0.19257916136419206,0.00980202122961603,386,30.0,5600.0,hellaswag
baseline_compare/pirt_random_100_gsm8k.csv,0.1503797896076983,0.2782457270693911,0.013577001267231822,420,100.0,1306.0,gsm8k
baseline_compare/pirt_tinygsm8k.csv,0.16381887706943812,0.2864040839244027,0.013975088319729122,420,100.0,1306.0,gsm8k
baseline_compare/pirt_metabench_gsm8k_primary.csv,0.10328619918621217,0.26537845166813084,0.012949142517094885,420,237.0,1306.0,gsm8k
baseline_compare/pirt_metabench_gsm8k_secondary.csv,0.09631148801640768,0.24967518690844018,0.012182901655869272,420,249.0,1306.0,gsm8k
gsm8k/pirt_accuracy_se_0.1.csv,0.14985306896767392,0.2335860226701673,0.011397830828178699,420,70.3404761904762,1306.0,gsm8k
gsm8k/pirt_accuracy_se_0.2.csv,0.17746400744905605,0.2485311954717078,0.012127080589541291,420,36.27857142857143,1306.0,gsm8k
gsm8k/pirt_accuracy_se_0.3.csv,0.1734403288915042,0.25357234853586724,0.012373063671694186,420,31.45,1306.0,gsm8k
baseline_compare/pirt_random_100_arc.csv,0.18306180619550183,0.15101653601438741,0.007395311585911797,417,100.0,844.0,arc
baseline_compare/pirt_tinyarc.csv,0.1722844898926192,0.15211309446253146,0.007449010284148503,417,99.0,864.0,arc
baseline_compare/pirt_metabench_arc_primary.csv,0.13401942036759376,0.11160939438336696,0.005465535557650971,417,145.0,844.0,arc
baseline_compare/pirt_metabench_arc_secondary.csv,0.13449142250208757,0.12857650045284838,0.006296418316629603,417,100.0,844.0,arc
arc/pirt_accuracy_se_0.1.csv,0.08414166746055506,0.11877210051100248,0.005816294785813494,417,88.54196642685851,839.0,arc
arc/pirt_accuracy_se_0.2.csv,0.12036947216201672,0.15423780993714906,0.007553058048591389,417,35.35011990407674,839.0,arc
arc/pirt_accuracy_se_0.3.csv,0.11742398234098599,0.15258847623485167,0.007472289829695992,417,30.023980815347723,839.0,arc
