class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,0,0.0,103.089623046875
1,automobile,2913,1000,973,0.973,0.2765138714432542
2,bird,1886,1000,0,0.0,77.78877856445312
3,cat,1221,1000,0,0.0,83.68502465820312
4,deer,790,1000,62,0.062,28.30261199951172
5,dog,511,1000,0,0.0,110.03234375
6,frog,331,1000,0,0.0,126.26384204101562
7,horse,214,1000,0,0.0,130.13924609375
8,ship,138,1000,0,0.0,96.61497802734375
9,truck,90,1000,0,0.0,107.69154467773437
