GPU,Model,M,cuBLASLt Throughput (token/s),2:4,2:6,2:8,2:10
A100,Llama3.2-1B,512,1.19e+04,0.88,0.89,0.84,0.88
A100,Llama3.2-1B,1024,2.46e+04,0.85,0.71,0.84,0.84
A100,Llama3.2-1B,2048,4.79e+04,0.86,0.81,0.85,0.88
A100,Llama3.2-1B,4096,9.03e+04,0.88,0.83,0.88,0.87
A100,Llama3.2-1B,8192,1.03e+05,1.37,1.21,1.23,1.11
A100,Llama3.2-1B,16384,1.06e+05,1.48,1.28,1.24,1.12
A100,Llama3.2-1B,32768,1.07e+05,1.50,1.29,1.24,1.12
A100,BitNet-2B,512,9.24e+03,1.02,1.05,1.08,1.09
A100,BitNet-2B,1024,1.83e+04,1.03,1.06,1.13,1.11
A100,BitNet-2B,2048,3.73e+04,1.03,1.08,1.09,1.09
A100,BitNet-2B,4096,5.09e+04,1.48,1.26,1.26,1.21
A100,BitNet-2B,8192,5.33e+04,1.52,1.26,1.26,1.21
A100,BitNet-2B,16384,5.43e+04,1.53,1.26,1.26,1.21
A100,BitNet-2B,32768,5.46e+04,1.54,1.27,1.26,1.21
A100,Llama3.2-3B,512,9.71e+03,1.09,1.10,1.09,1.06
A100,Llama3.2-3B,1024,2.03e+04,1.04,1.04,1.05,1.02
A100,Llama3.2-3B,2048,3.77e+04,1.13,1.15,1.13,1.14
A100,Llama3.2-3B,4096,4.09e+04,1.59,1.36,1.28,1.20
A100,Llama3.2-3B,8192,4.21e+04,1.59,1.36,1.27,1.19
A100,Llama3.2-3B,16384,4.27e+04,1.61,1.37,1.29,1.20
A100,Llama3.2-3B,32768,4.28e+04,1.62,1.37,1.29,1.20
A100,Qwen2.5-7B,512,1.02e+04,1.05,1.10,1.12,1.09
A100,Qwen2.5-7B,1024,1.80e+04,1.24,1.25,1.18,1.14
A100,Qwen2.5-7B,2048,1.98e+04,1.63,1.34,1.26,1.20
A100,Qwen2.5-7B,4096,2.06e+04,1.69,1.37,1.30,1.24
A100,Qwen2.5-7B,8192,2.08e+04,1.72,1.40,1.32,1.26
A100,Qwen2.5-7B,16384,2.09e+04,1.75,1.41,1.34,1.27
A100,Qwen2.5-7B,32768,2.08e+04,1.75,1.41,1.34,1.26
A100,Qwen2.5-14B,512,6.42e+03,1.03,1.04,1.01,1.06
A100,Qwen2.5-14B,1024,9.68e+03,1.38,1.31,1.27,1.19
A100,Qwen2.5-14B,2048,1.03e+04,1.73,1.42,1.33,1.28
A100,Qwen2.5-14B,4096,1.05e+04,1.75,1.43,1.34,1.28
A100,Qwen2.5-14B,8192,1.06e+04,1.77,1.43,1.33,1.27
