GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
H100,Llama3.2-1B,256,5.12e+01,0.91,0.73,0.69,0.64,0.60,0.60,0.61,0.55
H100,Llama3.2-1B,512,8.43e+01,1.04,0.79,0.79,0.67,0.65,0.68,0.69,0.64
H100,Llama3.2-1B,1024,1.51e+02,1.17,0.95,0.86,0.83,0.75,0.77,0.78,0.71
H100,Llama3.2-1B,2048,2.88e+02,1.24,0.98,0.95,0.83,0.80,0.78,0.80,0.72
H100,Llama3.2-1B,4096,5.83e+02,1.37,1.06,0.98,0.86,0.87,0.87,0.84,0.78
H100,Llama3.2-1B,8192,1.13e+03,1.42,1.07,0.94,0.85,0.83,0.85,0.82,0.72
H100,Llama3.2-1B,16384,2.53e+03,1.54,1.14,1.02,0.96,0.91,0.87,0.90,0.81
H100,BitNet-2B,64,4.52e+01,1.18,0.95,0.99,0.95,0.91,0.87,0.89,0.69
H100,BitNet-2B,128,4.62e+01,1.10,0.87,0.91,0.88,0.81,0.77,0.76,0.65
H100,BitNet-2B,256,5.63e+01,1.04,0.85,0.81,0.76,0.74,0.67,0.69,0.62
H100,BitNet-2B,512,8.86e+01,1.10,0.87,0.84,0.77,0.74,0.70,0.71,0.65
H100,BitNet-2B,1024,1.67e+02,1.25,0.93,0.90,0.85,0.81,0.80,0.78,0.69
H100,BitNet-2B,2048,3.19e+02,1.30,1.00,0.95,0.85,0.86,0.79,0.82,0.72
H100,BitNet-2B,4096,6.87e+02,1.48,1.12,1.05,0.99,0.93,0.89,0.90,0.82
H100,BitNet-2B,8192,1.36e+03,1.50,1.11,1.04,0.98,0.94,0.90,0.88,0.78
H100,BitNet-2B,16384,2.88e+03,1.57,1.11,1.05,0.99,0.92,0.88,0.92,0.80
H100,Llama3.2-3B,64,6.69e+01,1.46,1.11,0.97,0.92,0.88,0.85,0.88,0.82
H100,Llama3.2-3B,128,6.64e+01,1.27,0.96,0.88,0.81,0.80,0.75,0.79,0.71
H100,Llama3.2-3B,256,7.85e+01,1.07,0.87,0.77,0.72,0.71,0.67,0.67,0.61
H100,Llama3.2-3B,512,1.29e+02,1.20,0.93,0.86,0.81,0.77,0.70,0.75,0.66
H100,Llama3.2-3B,1024,2.47e+02,1.39,1.07,0.97,0.91,0.90,0.85,0.84,0.75
