GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
A100,Llama3.2-1B,64,1.23e+02,1.31,1.05,0.97,0.91,0.89,0.89,0.89,0.83
A100,Llama3.2-1B,128,1.55e+02,1.47,1.20,1.12,1.06,1.03,1.03,1.01,0.94
A100,Llama3.2-1B,256,1.88e+02,1.23,0.99,0.91,0.84,0.80,0.82,0.79,0.70
A100,Llama3.2-1B,512,3.03e+02,1.33,1.05,0.96,0.89,0.85,0.84,0.83,0.75
A100,Llama3.2-1B,1024,5.82e+02,1.49,1.09,1.01,0.93,0.90,0.88,0.87,0.79
A100,Llama3.2-1B,2048,1.13e+03,1.38,1.02,0.96,0.87,0.83,0.82,0.79,0.72
A100,Llama3.2-1B,4096,2.19e+03,1.49,1.02,0.90,0.83,0.81,0.78,0.78,0.69
A100,Llama3.2-1B,8192,4.33e+03,1.45,1.05,0.98,0.85,0.81,0.81,0.79,0.69
A100,Llama3.2-1B,16384,8.64e+03,1.47,1.02,0.92,0.85,0.81,0.82,0.79,0.69
A100,BitNet-2B,64,1.29e+02,1.35,1.10,1.03,1.00,0.98,0.96,0.94,0.86
A100,BitNet-2B,128,1.63e+02,1.47,1.17,1.08,1.04,1.01,1.00,0.98,0.87
A100,BitNet-2B,256,2.27e+02,1.61,1.25,1.15,1.11,1.04,1.03,1.01,0.90
A100,BitNet-2B,512,3.37e+02,1.43,1.11,1.00,0.96,0.90,0.88,0.89,0.78
A100,BitNet-2B,1024,6.48e+02,1.53,1.17,1.03,0.99,0.91,0.89,0.88,0.76
A100,BitNet-2B,2048,1.29e+03,1.55,1.17,1.05,0.97,0.90,0.91,0.89,0.78
A100,BitNet-2B,4096,2.42e+03,1.55,1.10,0.98,0.93,0.89,0.86,0.84,0.74
A100,BitNet-2B,8192,4.86e+03,1.49,1.07,0.97,0.91,0.85,0.84,0.83,0.73
A100,BitNet-2B,16384,9.73e+03,1.47,1.09,0.96,0.90,0.86,0.85,0.84,0.73
A100,Llama3.2-3B,64,1.78e+02,1.39,1.19,1.04,1.02,0.95,0.93,0.91,0.80
A100,Llama3.2-3B,128,2.21e+02,1.57,1.27,1.12,1.09,1.03,1.01,0.99,0.88
A100,Llama3.2-3B,256,3.29e+02,1.54,1.14,1.04,0.99,0.93,0.91,0.92,0.81
A100,Llama3.2-3B,512,4.89e+02,1.47,1.14,1.01,0.95,0.90,0.86,0.88,0.77
A100,Llama3.2-3B,1024,9.54e+02,1.62,1.21,1.07,0.95,0.95,0.91,0.91,0.77
A100,Llama3.2-3B,2048,1.86e+03,1.54,1.18,0.99,0.93,0.92,0.86,0.86,0.74
A100,Llama3.2-3B,4096,3.72e+03,1.47,1.10,0.97,0.90,0.88,0.83,0.83,0.73
A100,Llama3.2-3B,8192,7.53e+03,1.44,1.11,0.97,0.91,0.88,0.84,0.84,0.73
A100,Llama3.2-3B,16384,1.47e+04,1.41,1.07,0.96,0.90,0.86,0.82,0.82,0.72
A100,Qwen2.5-7B,64,3.50e+02,1.48,1.16,1.04,0.97,0.93,0.93,0.92,0.81
A100,Qwen2.5-7B,128,4.13e+02,1.49,1.17,1.05,1.00,0.96,0.95,0.95,0.83
A100,Qwen2.5-7B,256,6.11e+02,1.40,1.06,0.97,0.89,0.88,0.84,0.85,0.75
A100,Qwen2.5-7B,512,1.17e+03,1.39,1.06,0.96,0.90,0.86,0.84,0.84,0.70
A100,Qwen2.5-7B,1024,2.22e+03,1.30,1.00,0.89,0.82,0.78,0.78,0.76,0.64
A100,Qwen2.5-7B,2048,4.36e+03,1.35,1.03,0.90,0.83,0.79,0.77,0.76,0.66
A100,Qwen2.5-7B,4096,8.64e+03,1.38,1.03,0.92,0.87,0.81,0.80,0.78,0.66
A100,Qwen2.5-7B,8192,1.69e+04,1.37,1.01,0.90,0.86,0.80,0.80,0.79,0.63
A100,Qwen2.5-7B,16384,3.35e+04,1.36,1.01,0.91,0.85,0.81,0.79,0.78,0.61
A100,Qwen2.5-14B,64,4.19e+02,1.58,1.23,1.11,1.07,1.02,0.99,0.98,0.86
A100,Qwen2.5-14B,128,4.74e+02,1.55,1.24,1.13,1.07,1.03,0.99,0.98,0.88
A100,Qwen2.5-14B,256,6.91e+02,1.36,1.06,0.94,0.90,0.85,0.82,0.83,0.73
A100,Qwen2.5-14B,512,1.29e+03,1.43,1.06,0.95,0.90,0.86,0.82,0.82,0.72
A100,Qwen2.5-14B,1024,2.65e+03,1.47,1.10,0.97,0.91,0.87,0.81,0.83,0.72
A100,Qwen2.5-14B,2048,4.92e+03,1.41,1.05,0.93,0.86,0.84,0.80,0.80,0.70
A100,Qwen2.5-14B,4096,9.90e+03,1.40,1.05,0.94,0.87,0.84,0.81,0.81,0.70
A100,Qwen2.5-14B,8192,1.97e+04,1.39,1.02,0.91,0.86,0.83,0.80,0.80,0.69
A100,Qwen2.5-14B,16384,3.92e+04,1.37,1.02,0.91,0.84,0.82,0.78,0.79,0.69
RTX4090,Llama3.2-1B,64,8.90e+01,1.18,0.93,0.88,0.88,0.94,0.84,0.94,0.77
RTX4090,Llama3.2-1B,128,1.27e+02,1.31,1.07,0.98,0.98,0.95,0.95,0.94,0.77
RTX4090,Llama3.2-1B,256,2.25e+02,1.68,1.33,1.21,1.13,1.07,1.01,0.90,0.92
RTX4090,Llama3.2-1B,512,4.04e+02,1.73,1.35,1.21,1.13,1.06,1.04,0.94,0.88
RTX4090,Llama3.2-1B,1024,7.69e+02,1.71,1.36,1.23,1.15,1.10,1.04,1.05,0.90
RTX4090,Llama3.2-1B,2048,1.52e+03,1.83,1.41,1.27,1.18,1.13,1.06,1.08,0.93
RTX4090,Llama3.2-1B,4096,3.02e+03,1.85,1.43,1.28,1.19,1.11,1.05,1.08,0.93
RTX4090,Llama3.2-1B,8192,6.05e+03,1.86,1.42,1.28,1.19,1.15,1.11,1.08,0.94
RTX4090,Llama3.2-1B,16384,1.21e+04,1.86,1.42,1.28,1.18,1.14,1.12,1.10,0.95
RTX4090,Llama3.2-3B,64,1.88e+02,1.94,1.66,1.15,1.12,1.03,0.97,0.99,0.76
RTX4090,Llama3.2-3B,128,2.36e+02,1.74,1.33,1.07,1.03,0.87,0.79,0.79,0.75
RTX4090,Llama3.2-3B,256,3.88e+02,1.82,1.42,1.27,1.22,1.00,0.97,1.07,0.68
RTX4090,Llama3.2-3B,512,6.82e+02,1.76,1.34,1.20,1.15,1.00,1.02,1.04,0.92
RTX4090,Llama3.2-3B,1024,1.30e+03,1.81,1.37,1.21,1.15,1.09,1.07,1.05,0.93
RTX4090,Llama3.2-3B,2048,2.57e+03,1.89,1.41,1.23,1.18,1.11,1.09,1.08,0.94
RTX4090,Llama3.2-3B,4096,5.15e+03,1.98,1.46,1.28,1.22,1.16,1.14,1.13,0.98
RTX4090,Llama3.2-3B,8192,1.02e+04,1.96,1.45,1.26,1.22,1.10,1.13,1.09,0.97
RTX4090,Llama3.2-3B,16384,2.05e+04,1.97,1.45,1.27,1.20,1.14,1.12,1.11,0.97
RTX4090,Qwen2.5-7B,64,5.25e+02,1.80,1.27,1.18,1.09,1.04,0.91,1.00,0.85
RTX4090,Qwen2.5-7B,128,5.66e+02,1.55,1.15,0.99,0.92,0.85,0.77,0.74,0.67
RTX4090,Qwen2.5-7B,256,8.71e+02,1.30,1.06,0.96,0.90,0.84,0.74,0.81,0.66
RTX4090,Qwen2.5-7B,512,1.59e+03,1.41,1.09,0.98,0.90,0.87,0.84,0.82,0.61
RTX4090,Qwen2.5-7B,1024,3.07e+03,1.39,1.05,0.95,0.88,0.84,0.82,0.80,0.70
RTX4090,Qwen2.5-7B,2048,5.96e+03,1.39,1.05,0.95,0.88,0.84,0.82,0.79,0.70
RTX4090,Qwen2.5-7B,4096,1.18e+04,1.40,1.06,0.96,0.88,0.85,0.81,0.81,0.71
RTX4090,Qwen2.5-7B,8192,2.40e+04,1.46,1.10,1.00,0.92,0.89,0.86,0.84,0.73
RTX4090,Qwen2.5-7B,16384,4.83e+04,1.46,1.11,1.00,0.92,0.89,0.86,0.84,0.73
RTX4090,Qwen2.5-14B,64,5.85e+02,1.90,1.36,1.20,1.12,0.99,1.03,1.02,0.81
RTX4090,Qwen2.5-14B,128,6.59e+02,1.76,1.33,1.17,1.10,1.05,1.02,0.98,0.85
RTX4090,Qwen2.5-14B,256,1.00e+03,1.51,1.21,1.05,0.97,0.95,0.95,0.87,0.77
RTX4090,Qwen2.5-14B,512,1.87e+03,1.51,1.19,1.04,0.96,0.95,0.92,0.87,0.78
RTX4090,Qwen2.5-14B,1024,3.59e+03,1.52,1.18,1.02,0.95,0.95,0.91,0.71,0.77
RTX4090,Qwen2.5-14B,2048,7.15e+03,1.55,1.20,1.05,0.97,0.97,0.94,0.88,0.79
RTX4090,Qwen2.5-14B,4096,1.42e+04,1.62,1.24,1.09,1.01,0.99,0.95,0.92,0.81
RTX4090,Qwen2.5-14B,8192,2.84e+04,1.62,1.25,1.09,1.02,0.98,0.98,0.92,0.82
RTX4090,Qwen2.5-14B,16384,5.69e+04,1.62,1.25,1.09,1.03,1.00,0.97,0.92,0.82
H100,Llama3.2-1B,64,7.65e+01,,,,,,,,
