GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
A100,Llama3.2-1B,64,1.19e+02,1.25,0.98,0.92,0.88,0.84,0.86,0.85,0.80
A100,Llama3.2-1B,128,1.41e+02,1.33,1.08,1.01,0.97,0.94,0.94,0.92,0.85
A100,Llama3.2-1B,256,1.88e+02,1.22,0.95,0.89,0.84,0.80,0.81,0.77,0.70
A100,Llama3.2-1B,512,3.20e+02,1.40,1.09,1.01,0.93,0.89,0.88,0.88,0.78
A100,Llama3.2-1B,1024,5.90e+02,1.46,1.10,1.03,0.94,0.89,0.90,0.89,0.79
A100,Llama3.2-1B,2048,1.14e+03,1.39,1.02,0.95,0.87,0.82,0.81,0.80,0.71
A100,Llama3.2-1B,4096,2.27e+03,1.48,1.05,0.93,0.85,0.82,0.80,0.79,0.71
A100,Llama3.2-1B,8192,4.42e+03,1.46,1.05,0.94,0.86,0.82,0.82,0.79,0.71
A100,Llama3.2-1B,16384,8.85e+03,1.43,1.03,0.93,0.86,0.81,0.82,0.79,0.70
A100,BitNet-2B,64,1.28e+02,1.34,1.10,1.03,1.00,0.96,0.95,0.94,0.85
A100,BitNet-2B,128,1.50e+02,1.35,1.07,1.00,0.95,0.91,0.90,0.90,0.80
A100,BitNet-2B,256,1.95e+02,1.37,1.06,0.98,0.94,0.90,0.87,0.86,0.77
A100,BitNet-2B,512,3.59e+02,1.50,1.16,1.07,1.02,0.95,0.93,0.93,0.82
A100,BitNet-2B,1024,6.52e+02,1.52,1.17,1.05,0.98,0.91,0.89,0.90,0.77
A100,BitNet-2B,2048,1.26e+03,1.50,1.12,0.98,0.94,0.86,0.86,0.83,0.72
A100,BitNet-2B,4096,2.47e+03,1.52,1.14,0.98,0.94,0.90,0.86,0.86,0.75
A100,BitNet-2B,8192,4.93e+03,1.50,1.10,0.97,0.91,0.87,0.84,0.83,0.74
A100,BitNet-2B,16384,9.82e+03,1.46,1.10,0.96,0.90,0.86,0.83,0.82,0.72
A100,Llama3.2-3B,64,1.73e+02,1.35,1.14,1.01,0.98,0.93,0.90,0.88,0.79
A100,Llama3.2-3B,128,2.02e+02,1.44,1.16,1.03,1.00,0.95,0.92,0.92,0.80
A100,Llama3.2-3B,256,2.92e+02,1.34,1.03,0.91,0.87,0.84,0.81,0.79,0.70
A100,Llama3.2-3B,512,5.01e+02,1.49,1.15,1.02,0.98,0.93,0.90,0.88,0.76
A100,Llama3.2-3B,1024,9.60e+02,1.63,1.22,1.06,1.00,0.93,0.90,0.89,0.76
A100,Llama3.2-3B,2048,1.92e+03,1.57,1.18,1.02,0.96,0.93,0.87,0.89,0.76
A100,Llama3.2-3B,4096,3.78e+03,1.48,1.11,0.98,0.91,0.88,0.84,0.84,0.74
A100,Llama3.2-3B,8192,7.54e+03,1.42,1.09,0.96,0.90,0.87,0.83,0.84,0.73
A100,Llama3.2-3B,16384,1.49e+04,1.40,1.08,0.96,0.90,0.87,0.82,0.83,0.72
A100,Qwen2.5-7B,64,3.50e+02,1.49,1.16,1.03,0.98,0.93,0.93,0.92,0.81
