n_agents,mse,relative_mse
15,2.372534390815417e-06,99.65530369753871
20,2.437866123727872e-06,102.3994804351579
25,2.365800264669815e-06,99.37244525351554
30,2.3807407160347794e-06,100.0
40,2.4366945126530483e-06,102.35026839510108
50,2.4947217298176836e-06,104.78762819551153
60,2.5714024104672718e-06,108.0085031162086
90,2.717250254136161e-06,114.13465716089621
100,0.00033136579440906644,13918.600718559963
120,0.002991964761167765,125673.69226796793
150,0.009858430363237858,414090.8876317063
180,0.011101781576871871,466316.281403476
