algorithm,dimension,n_runs,mean_evals_per_candidate,median_evals_per_candidate,std_evals_per_candidate,min_evals_per_candidate,max_evals_per_candidate,mean_generations,median_generations,mean_depth_at_budget
UH-CMA-ES(maxevals=10),40,225,7.1365,7.2000,0.1772,6.0697,7.3088,38.4,38.0,37.4
UH-CMA-ES(maxevals=30),40,225,15.4650,15.8902,0.9100,11.8348,16.1961,17.8,17.0,17.3
