n_agents,mse,u_effort
10,0.0002098384138662368,850.5784912109375
11,4.1302741010440513e-05,842.1834716796875
12,8.860614616423845e-05,841.3321533203125
13,8.438259101239964e-05,878.933837890625
14,9.861744911177084e-05,847.860107421875
15,4.114579860470258e-05,848.5778198242188
16,2.0687701180577278e-05,846.0665283203125
17,3.963271956308745e-05,837.7831420898438
18,1.5186699783953372e-05,858.4819946289062
19,3.940438909921795e-05,844.6638793945312
20,1.6980529835564084e-05,851.7457275390625
25,8.979716767498758e-06,851.29345703125
30,5.549924935621675e-06,855.1989135742188
35,4.485460522118956e-06,857.1697998046875
40,4.564265509543475e-06,859.7750244140625
45,4.569729298964376e-06,860.4705200195312
50,4.926011570205446e-06,859.4515380859375
55,5.218294063524809e-06,861.4923095703125
60,5.765900368714938e-06,855.9166870117188
