seed,batch_size,instance,best_f_cma,best_f_berw,label,dim,in_dim,hidden_dim,dataset,n_samples,teacher_scale,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd,pred_noise_probe_switch
1,16,1,0.203420291767,0.335099413025,cma,265,64,4,digits0,256,2.0,1.0,0.305,0.355,3.4364902777157167,0.4020619538002973,hetero
1,256,1,0.00262564512338,0.00262564512338,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
1,4,1,1.28720865743,0.436716441192,berw,265,64,4,digits0,256,2.0,1.0,0.3,0.27,8.171991942851037,0.578438814932474,robust
10,16,10,0.178659644905,0.334683580066,cma,265,64,4,digits0,256,2.0,1.0,0.22000000000000003,0.225,2.8216125497111966,0.3638482104829765,hetero
10,256,10,0.0015085673224,0.0015085673224,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
10,4,10,0.777567996329,0.466150564352,berw,265,64,4,digits0,256,2.0,1.0,0.265,0.175,5.936678285341644,0.3686039862430967,robust
11,16,11,0.478741931293,0.175051883006,berw,265,64,4,digits0,256,2.0,1.0,0.32,0.27,4.626071754552605,0.29685497922876075,robust
11,256,11,0.0025070560644,0.00270483961687,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
11,4,11,0.79101135205,0.377490120997,berw,265,64,4,digits0,256,2.0,1.0,0.2,0.27999999999999997,2.86553204467401,0.5294808917081157,hetero
12,16,12,0.62867908916,0.3989485014,berw,265,64,4,digits0,256,2.0,1.0,0.18,0.185,5.252064258487659,0.2666350519755537,robust
12,256,12,0.00255156733239,0.00255156733239,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
12,4,12,1.18375780554,0.383770710873,berw,265,64,4,digits0,256,2.0,1.0,0.175,0.26,3.199872214623042,0.8264142353644016,hetero
13,16,13,0.186549731075,0.242485147098,cma,265,64,4,digits0,256,2.0,1.0,0.3,0.185,3.7444182115345637,0.40698772374308145,hetero
13,256,13,0.00396692260688,0.00397958195109,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
13,4,13,1.36341477992,0.527113130519,berw,265,64,4,digits0,256,2.0,1.0,0.375,0.325,2.2818015641089904,0.5482895031585547,hetero
14,16,14,0.213107945839,0.162807144982,berw,265,64,4,digits0,256,2.0,1.0,0.16999999999999998,0.27,2.4308267830029053,0.29484663725910437,hetero
14,256,14,0.00423207130395,0.00423207130395,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
14,4,14,0.622815334586,1.36063831847,cma,265,64,4,digits0,256,2.0,1.0,0.24500000000000002,0.23500000000000001,3.72192693232155,0.5563659719528956,hetero
15,16,15,0.215684385682,0.366054624225,cma,265,64,4,digits0,256,2.0,1.0,0.19,0.205,4.884607611198866,0.23182795702661446,robust
15,256,15,0.00127723278599,0.00127723278599,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
15,4,15,0.94306302182,0.365310917532,berw,265,64,4,digits0,256,2.0,1.0,0.16,0.28500000000000003,7.235794318695687,0.7670729576422423,robust
16,16,16,0.491977105624,0.459306449009,berw,265,64,4,digits0,256,2.0,1.0,0.24500000000000002,0.29500000000000004,4.1513761343223035,0.3541769907020256,robust
16,256,16,0.00211149359908,0.00211149359908,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
16,4,16,0.883163201429,0.622110057677,berw,265,64,4,digits0,256,2.0,1.0,0.3,0.255,4.34095921125253,0.676959643278853,robust
17,16,17,0.691451556758,0.190367698255,berw,265,64,4,digits0,256,2.0,1.0,0.13,0.27999999999999997,2.9138387771446106,0.31529837977595,hetero
17,256,17,0.00224654527978,0.00224654527978,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
17,4,17,1.52238307558,0.660781143961,berw,265,64,4,digits0,256,2.0,1.0,0.26,0.375,5.762143368627601,0.8663362639492539,robust
18,16,18,0.21367361912,0.378224329971,cma,265,64,4,digits0,256,2.0,1.0,0.225,0.225,5.978364029051166,0.3103007918648002,robust
18,256,18,0.00680300917077,0.00680300917077,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
18,4,18,0.908974573947,0.343920362674,berw,265,64,4,digits0,256,2.0,1.0,0.315,0.24500000000000002,7.326086720518294,0.5561846844099051,robust
19,16,19,0.605350469296,0.214855848179,berw,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.16499999999999998,3.8405474926594914,0.22480202761101342,hetero
19,256,19,0.00249937718499,0.0026587577046,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
19,4,19,2.11632620666,2.2009409142,cma,265,64,4,digits0,256,2.0,1.0,0.275,0.25,7.470461507492409,0.4291210866270483,robust
2,16,2,0.639412933939,0.206266105894,berw,265,64,4,digits0,256,2.0,1.0,0.16499999999999998,0.22000000000000003,2.54561602222993,0.3785137158126045,hetero
2,256,2,0.0034857074746,0.0034857074746,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
2,4,2,0.956241759159,0.931776676235,berw,265,64,4,digits0,256,2.0,1.0,0.215,0.36,2.5057179935628784,0.4740723302982185,hetero
20,16,20,0.340687033701,0.120572878396,berw,265,64,4,digits0,256,2.0,1.0,0.2,0.275,4.7408475973773045,0.3170779205814121,robust
20,256,20,0.00344996871139,0.00344996871139,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
20,4,20,1.05183796286,2.77140524259,cma,265,64,4,digits0,256,2.0,1.0,0.205,0.28500000000000003,3.756363589029116,0.46082554713925294,hetero
21,16,21,0.286519947846,0.541977160602,cma,265,64,4,digits0,256,2.0,1.0,0.24500000000000002,0.205,2.748313241774002,0.31758722039503234,hetero
21,256,21,0.00347287244365,0.00347287244365,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
21,4,21,1.14506339843,1.22706319522,cma,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.175,3.2774011966256684,0.5089821975065494,hetero
22,16,22,0.452496957855,0.176781852537,berw,265,64,4,digits0,256,2.0,1.0,0.25,0.25,2.0081141668558953,0.3129403410426871,hetero
22,256,22,0.00313099955001,0.00315284223238,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
22,4,22,1.59772519291,1.98139288888,cma,265,64,4,digits0,256,2.0,1.0,0.205,0.3,3.3828549335723133,0.6990045796042034,hetero
23,16,23,0.292420617417,0.341745915747,cma,265,64,4,digits0,256,2.0,1.0,0.24,0.24,2.8920246106719927,0.34355325132967146,hetero
23,256,23,0.00326610568278,0.00326610568278,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
23,4,23,0.98705585292,1.24339508681,cma,265,64,4,digits0,256,2.0,1.0,0.21000000000000002,0.33999999999999997,2.8656684251690763,0.5270923894375655,hetero
24,16,24,0.562480027406,0.127227276663,berw,265,64,4,digits0,256,2.0,1.0,0.16,0.27,3.2567448328812607,0.20071886160468397,hetero
24,256,24,0.00393580271719,0.00393580271719,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
24,4,24,0.915674604817,1.02587382063,cma,265,64,4,digits0,256,2.0,1.0,0.215,0.27999999999999997,6.928401464147479,0.7107674462956566,robust
25,16,25,0.326182533506,0.357640839641,cma,265,64,4,digits0,256,2.0,1.0,0.265,0.22999999999999998,3.9894915033368012,0.31265703388778143,hetero
25,256,25,0.00474021336974,0.00495504098957,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
