seed,batch_size,instance,best_f_cma,best_f_berw,label,dim,in_dim,hidden_dim,dataset,n_samples,teacher_scale,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd,pred_noise_probe_switch
25,4,25,0.616570738684,1.11816128323,cma,265,64,4,digits0,256,2.0,1.0,0.29500000000000004,0.305,2.64022923498662,0.5036397108935009,hetero
26,16,26,0.7516033066,0.168355193455,berw,265,64,4,digits0,256,2.0,1.0,0.26,0.22000000000000003,3.7256468017757083,0.1843155244394678,hetero
26,256,26,0.00288967084514,0.00288967084514,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
26,4,26,0.943248037721,1.93580491905,cma,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.39,5.121833613527562,0.4851388974648662,robust
27,16,27,0.301005428855,0.161925823094,berw,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.16499999999999998,3.0615994484157096,0.5528070259378043,hetero
27,256,27,0.00283818235117,0.00283818235117,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
27,4,27,1.36334626508,1.65501217668,cma,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.33999999999999997,2.625465184673964,0.4924943407671816,hetero
28,16,28,0.359730602346,0.490730842342,cma,265,64,4,digits0,256,2.0,1.0,0.26,0.225,2.2297321080408428,0.28394994979495775,hetero
28,256,28,0.00247639963602,0.00247639963602,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
28,4,28,1.77757083654,1.18154920834,berw,265,64,4,digits0,256,2.0,1.0,0.25,0.195,3.2368086132906377,0.29926847552413,hetero
29,16,29,0.331804242252,0.141754339161,berw,265,64,4,digits0,256,2.0,1.0,0.215,0.265,2.5896422836513526,0.19095956026653146,hetero
29,256,29,0.00427006721092,0.00427006721092,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
29,4,29,1.0789970607,2.12833564221,cma,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.28500000000000003,4.397027756478774,0.4023494047898143,robust
3,16,3,0.246857179193,0.355807559897,cma,265,64,4,digits0,256,2.0,1.0,0.22000000000000003,0.16499999999999998,5.316287832821059,0.2427729101792475,robust
3,256,3,0.00087110261031,0.00087110261031,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
3,4,3,0.896954920489,0.503521953574,berw,265,64,4,digits0,256,2.0,1.0,0.355,0.29500000000000004,7.836571220478947,0.7645341144988295,robust
30,16,30,0.382644584399,0.417165114278,cma,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.18,4.280143087025425,0.2908494260358741,robust
30,256,30,0.00768625980694,0.00768625980694,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
30,4,30,1.20334548874,0.604528613387,berw,265,64,4,digits0,256,2.0,1.0,0.31,0.255,3.969253518834692,0.403288365988078,hetero
31,16,31,0.333719356882,0.407840657599,cma,265,64,4,digits0,256,2.0,1.0,0.175,0.2,3.7061992251293496,0.26525758815931233,hetero
31,256,31,0.0038229842909,0.0038229842909,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
31,4,31,0.904414097356,1.21329641044,cma,265,64,4,digits0,256,2.0,1.0,0.32999999999999996,0.255,6.151723298357681,0.7562747157464154,robust
32,16,32,0.639009207322,0.65422199989,cma,265,64,4,digits0,256,2.0,1.0,0.2,0.16499999999999998,5.954107249937152,0.32416805968681534,robust
32,256,32,0.00323415652571,0.00323415652571,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
32,4,32,0.961245966442,1.63844263346,cma,265,64,4,digits0,256,2.0,1.0,0.29,0.225,6.371791738863352,0.48249011882918774,robust
33,16,33,0.275311352214,0.283626067923,cma,265,64,4,digits0,256,2.0,1.0,0.28500000000000003,0.15,2.084312018313902,0.2566211281258303,hetero
33,256,33,0.00285352207427,0.00285352207427,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
33,4,33,1.1612887238,1.27521839533,cma,265,64,4,digits0,256,2.0,1.0,0.35,0.265,4.813335142520456,0.5880780194314599,robust
34,16,34,0.184284877317,0.972768558803,cma,265,64,4,digits0,256,2.0,1.0,0.33999999999999997,0.22999999999999998,4.687555765487489,0.2597437920856375,robust
34,256,34,0.00418820293548,0.00419205984245,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
34,4,34,1.23683105353,0.720131592076,berw,265,64,4,digits0,256,2.0,1.0,0.195,0.185,4.0779474056556735,0.21463650159752254,robust
35,16,35,0.458397414197,0.232967182643,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.31,3.4357862242130626,0.19341028872532018,hetero
35,256,35,0.0025230013847,0.0025230013847,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
35,4,35,0.527172474857,0.740355202844,cma,265,64,4,digits0,256,2.0,1.0,0.27,0.29500000000000004,3.972793248102926,0.4016585223861699,hetero
36,16,36,0.89592125505,0.296075637668,berw,265,64,4,digits0,256,2.0,1.0,0.26,0.205,3.0901393818615674,0.3251800153925215,hetero
36,256,36,0.00328142882094,0.0032918246672,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
36,4,36,0.691008762034,1.42202851147,cma,265,64,4,digits0,256,2.0,1.0,0.355,0.37,2.796917195523128,0.8773104733175658,hetero
37,16,37,0.169625429848,0.145055231927,berw,265,64,4,digits0,256,2.0,1.0,0.175,0.26,5.924638141400834,0.36023771070814486,robust
37,256,37,0.00196081335114,0.00196081335114,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
37,4,37,1.72630002574,0.572756173439,berw,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.195,3.152636938872843,0.4268605093408662,hetero
38,16,38,0.54643012878,0.146418101454,berw,265,64,4,digits0,256,2.0,1.0,0.195,0.275,5.2547749033864495,0.5009586283375503,robust
38,256,38,0.00299801375987,0.00299801375987,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
38,4,38,1.43563707387,1.17823482924,berw,265,64,4,digits0,256,2.0,1.0,0.24,0.26,1.9551291350631579,0.7720711652778564,hetero
39,16,39,0.903454166105,0.0901617616602,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.24500000000000002,3.4936010877883263,0.24668298280007647,hetero
39,256,39,0.00330028028361,0.00330028028361,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
39,4,39,0.74590345625,0.65679626178,berw,265,64,4,digits0,256,2.0,1.0,0.205,0.325,3.541907465824771,0.7734405279306521,hetero
4,16,4,0.609210350347,0.305138290195,berw,265,64,4,digits0,256,2.0,1.0,0.18,0.265,2.125758213844677,0.3499440192822554,hetero
4,256,4,0.00360139538899,0.00360431741866,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
4,4,4,2.39302469411,1.24611339493,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.27999999999999997,2.5619390191257563,0.5578631331762194,hetero
40,16,40,0.47718272262,0.104055851547,berw,265,64,4,digits0,256,2.0,1.0,0.27,0.23500000000000001,1.813812964988205,0.29628291245259064,hetero
40,256,40,0.00275793167978,0.00275793167978,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
40,4,40,0.731379112493,0.645224658449,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.24,3.819434188290198,0.7296402074959967,hetero
41,16,41,0.421579628327,0.145430809576,berw,265,64,4,digits0,256,2.0,1.0,0.185,0.21000000000000002,3.168658939347159,0.3262850716463433,hetero
41,256,41,0.00333138244708,0.00333138244708,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
41,4,41,1.67846773058,0.830076634357,berw,265,64,4,digits0,256,2.0,1.0,0.2,0.305,3.5338362281141458,0.6124886247366657,hetero
42,16,42,0.753140359735,0.172973109531,berw,265,64,4,digits0,256,2.0,1.0,0.29,0.255,3.802411214870837,0.3285927033531577,hetero
42,256,42,0.00266332674527,0.00266332674527,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
42,4,42,1.44360752326,2.73683032311,cma,265,64,4,digits0,256,2.0,1.0,0.355,0.27,3.3224396615209884,0.3851849765002969,hetero
43,16,43,0.592506117573,0.37068853163,berw,265,64,4,digits0,256,2.0,1.0,0.24,0.18,2.571077188466974,0.2805728088269645,hetero
43,256,43,0.00230748399767,0.00233821315799,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
43,4,43,1.34425234492,1.51129100733,cma,265,64,4,digits0,256,2.0,1.0,0.28500000000000003,0.29500000000000004,3.6180686208663357,0.3140905846979921,hetero
44,16,44,0.263421331291,0.215805704115,berw,265,64,4,digits0,256,2.0,1.0,0.21000000000000002,0.12,7.906372200985329,0.30323554144384757,robust
44,256,44,0.00181399049854,0.00181399049854,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
44,4,44,0.629984335446,1.3608529466,cma,265,64,4,digits0,256,2.0,1.0,0.27,0.375,5.4294224455437945,0.4312654794008372,robust
45,16,45,0.284913347944,0.19327769134,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.26,3.243822654827542,0.23098609825130936,hetero
45,256,45,0.00213732892205,0.00213732892205,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
45,4,45,0.606278593232,0.706416619521,cma,265,64,4,digits0,256,2.0,1.0,0.31,0.32999999999999996,3.802773090706611,0.4368617554758259,hetero
46,16,46,0.301736126023,0.270436283278,berw,265,64,4,digits0,256,2.0,1.0,0.205,0.225,3.747779706296211,0.4674759374139929,hetero
46,256,46,0.00167913953306,0.00167913953306,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
46,4,46,0.565692764639,0.419431174589,berw,265,64,4,digits0,256,2.0,1.0,0.225,0.29,4.007907588913397,0.41714819083143667,robust
47,16,47,0.430101289255,0.411020540659,berw,265,64,4,digits0,256,2.0,1.0,0.305,0.145,3.2890007622747266,0.20952975764208057,hetero
47,256,47,0.00318724902714,0.00318724902714,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
47,4,47,1.00528028011,2.10106573393,cma,265,64,4,digits0,256,2.0,1.0,0.31,0.265,2.433309207635174,0.24726318167066322,hetero
48,16,48,0.585490936149,0.14090884922,berw,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.23500000000000001,2.2389912336455664,0.22579420951523718,hetero
48,256,48,0.00383661426524,0.00385887786068,cma,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
48,4,48,0.83266168384,0.692826253504,berw,265,64,4,digits0,256,2.0,1.0,0.29,0.275,4.540654916664467,0.3509743560778444,robust
49,16,49,0.131822895548,0.496374205737,cma,265,64,4,digits0,256,2.0,1.0,0.15,0.25,2.6295306802939336,0.27196326922291275,hetero
49,256,49,0.00422761479696,0.00422761479696,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
49,4,49,1.19398300055,1.07755361714,berw,265,64,4,digits0,256,2.0,1.0,0.29500000000000004,0.19,6.338484579511718,0.8360084703464942,robust
5,16,5,0.230511891031,0.19683757038,berw,265,64,4,digits0,256,2.0,1.0,0.225,0.23500000000000001,3.056667227127491,0.30411119908563106,hetero
5,256,5,0.00182394145779,0.00182394145779,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
5,4,5,1.65509591711,1.02011035045,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.32,2.5002138658054642,0.466936878123831,hetero
50,16,50,0.353137274684,0.258836651023,berw,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.215,4.150201396657482,0.23627658431841478,robust
50,256,50,0.0031864567737,0.0031864567737,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
50,4,50,0.986807456579,1.25970935207,cma,265,64,4,digits0,256,2.0,1.0,0.315,0.32999999999999996,3.3801225603931,0.6464723277472942,hetero
6,16,6,0.340414118161,0.11004350619,berw,265,64,4,digits0,256,2.0,1.0,0.15,0.2,4.605845530788172,0.3319727802044298,robust
6,256,6,0.00320799704813,0.00320799704813,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
6,4,6,0.95912278834,0.532344855496,berw,265,64,4,digits0,256,2.0,1.0,0.175,0.26,2.742378719482103,0.5472334923823927,hetero
7,16,7,0.227891069274,0.155806747134,berw,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.24,3.766920076622064,0.33901293856669956,hetero
7,256,7,0.00131991750219,0.00131991750219,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
7,4,7,1.72863560304,0.461954838478,berw,265,64,4,digits0,256,2.0,1.0,0.25,0.29,3.2020035351662512,0.3097443114567558,hetero
8,16,8,0.4016314782,0.81661242156,cma,265,64,4,digits0,256,2.0,1.0,0.28500000000000003,0.24,3.9023168372677257,0.2918880471493144,hetero
8,256,8,0.00293119710645,0.00293119710645,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
8,4,8,1.3231901683,0.178967627439,berw,265,64,4,digits0,256,2.0,1.0,0.275,0.275,3.1818672914128747,0.37986145981200037,hetero
9,16,9,0.36708031137,0.206392795778,berw,265,64,4,digits0,256,2.0,1.0,0.19,0.255,1.8593779526562921,0.16943315294549638,hetero
9,256,9,0.00163618327687,0.00163618327687,tie,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
9,4,9,1.09456111624,3.48666148018,cma,265,64,4,digits0,256,2.0,1.0,0.27,0.19,3.425440223242176,0.5394330178720865,hetero
