seed,instance,best_f_cma,best_f_berw,label,dataset,n_samples,train_steps,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,1,0.024281940426434154,0.024592371327001795,cma,digits0,256,50,1.0,0.03125,0.09375,2.230418729929683,0.1052636720225153
10,10,0.07257499154494049,0.06435313602237795,berw,digits0,256,50,1.0,0.125,0.125,3.0678459117625567,0.05919246902782828
11,11,0.03927270828163219,0.061903663504889406,cma,digits0,256,50,1.0,0.125,0.03125,8.851140167796828,0.10650894685949201
12,12,0.01009493333388909,0.014576714794600085,cma,digits0,256,50,1.0,0.0,0.125,11.874138630869993,0.08442082138593199
13,13,0.14852124459909133,0.1398610743046611,berw,digits0,256,50,1.0,0.09375,0.03125,2.7639726672631686,0.09553387703924636
14,14,0.03392558134727419,0.00876485848254369,berw,digits0,256,50,1.0,0.03125,0.0625,3.650455499882123,0.09241299481849842
15,15,0.027028427038874744,0.028233054428525646,cma,digits0,256,50,1.0,0.0625,0.03125,16.10779597694818,0.08003931743264459
16,16,0.03477374315524161,0.03735071945197835,cma,digits0,256,50,1.0,0.0,0.09375,2.7487683807498238,0.11838457369047528
17,17,0.17112100459010432,0.17135343199301845,cma,digits0,256,50,1.0,0.125,0.03125,18.299431435825372,0.02886420306252905
18,18,0.009538728595708758,0.015184159181084476,cma,digits0,256,50,1.0,0.125,0.125,6.8208692538779445,0.0515941309795818
19,19,0.09404168808106189,0.10158897460595313,cma,digits0,256,50,1.0,0.125,0.09375,5.076262681039416,0.06031269971347293
2,2,0.03741087816394356,0.05769956884802638,cma,digits0,256,50,1.0,0.21875,0.0625,11.56762831389591,0.08964674258084991
20,20,0.05409392157014224,0.056372076372565416,cma,digits0,256,50,1.0,0.09375,0.09375,1.7135062984203246,0.07895284233955761
21,21,0.005677085737765016,0.007995338565939172,cma,digits0,256,50,1.0,0.0625,0.125,7.41612356131655,0.09057221439103909
22,22,0.0520704416891346,0.0554645118889311,cma,digits0,256,50,1.0,0.03125,0.03125,2.3603056468524937,0.08283735905873678
23,23,0.12368903551624374,0.12245087100856236,berw,digits0,256,50,1.0,0.125,0.09375,1.5499998730257467,0.08302162514399163
24,24,0.07361317547062735,0.04885485369195124,berw,digits0,256,50,1.0,0.0,0.03125,1.7790804051412203,0.09803072170162283
25,25,0.015065555184639916,0.03325735550799059,cma,digits0,256,50,1.0,0.0625,0.15625,3.6015647897115763,0.06881903522165922
26,26,0.053392561685150886,0.06030298595413951,cma,digits0,256,50,1.0,0.0,0.25,5.9976329080858095,0.11554667678418702
27,27,0.047034123545588724,0.03866716750581857,berw,digits0,256,50,1.0,0.09375,0.03125,4.664905701460906,0.09008762969778104
28,28,0.024639198131532473,0.018993554495602638,berw,digits0,256,50,1.0,0.03125,0.0625,2.437103254409782,0.07888631072663922
29,29,0.09657308648814819,0.11291113873276104,cma,digits0,256,50,1.0,0.09375,0.0625,16.592918988232537,0.10197857309667069
3,3,0.15236057164557779,0.15784034927652052,cma,digits0,256,50,1.0,0.03125,0.09375,14.600018529981096,0.04838033158553699
30,30,0.022010049553869936,0.022315556629211156,cma,digits0,256,50,1.0,0.0625,0.03125,10.804833435173151,0.11167398790597757
31,31,0.1766724823847907,0.15804683294260713,berw,digits0,256,50,1.0,0.0625,0.125,5.22530836555319,0.0903298448106941
32,32,0.07689279976008187,0.03957654903867002,berw,digits0,256,50,1.0,0.125,0.03125,5.67391103258087,0.0943574595296675
33,33,0.04238684478263728,0.036269043855176396,berw,digits0,256,50,1.0,0.125,0.125,6.048492409375826,0.08714764731903714
34,34,0.0371528818816625,0.056876807584339384,cma,digits0,256,50,1.0,0.15625,0.0,8.212475107354438,0.07853763444510585
35,35,0.0164754778222158,0.01618233235370781,berw,digits0,256,50,1.0,0.0625,0.0625,8.911579284280073,0.11847466613816666
36,36,0.056293079023948256,0.07248138044439278,cma,digits0,256,50,1.0,0.0625,0.0625,9.165262293684217,0.10376423216142866
37,37,0.0920656163147455,0.1271464201887769,cma,digits0,256,50,1.0,0.125,0.28125,8.029840095056766,0.09048191384240477
38,38,0.03292322164221673,0.03630171813578572,cma,digits0,256,50,1.0,0.125,0.0,7.772235466111483,0.06106211546534263
39,39,0.010388818917665386,0.015211319408425687,cma,digits0,256,50,1.0,0.0,0.0625,11.337434320167622,0.07811427170577957
4,4,0.01589324903152216,0.016718411166345933,cma,digits0,256,50,1.0,0.0,0.03125,9.34198178940793,0.09836148212341718
40,40,0.08264622059677032,0.08328511718679159,cma,digits0,256,50,1.0,0.125,0.15625,5.17170395108311,0.12759946334021927
41,41,0.024338162897456585,0.03060407631158072,cma,digits0,256,50,1.0,0.21875,0.0625,2.5598581647563283,0.0966980749564307
42,42,0.1850626713123364,0.18673625736774296,cma,digits0,256,50,1.0,0.15625,0.09375,11.512028794887378,0.08131965620997006
43,43,0.09002681460298784,0.08032108356881713,berw,digits0,256,50,1.0,0.0625,0.0625,17.730138188213488,0.07557316188637
44,44,0.12613530046013416,0.1326474069270625,cma,digits0,256,50,1.0,0.09375,0.125,5.0519243317324705,0.07205410693070997
45,45,0.060493317324933994,0.08865439002591419,cma,digits0,256,50,1.0,0.0625,0.09375,6.887552123823137,0.06858728555360045
46,46,0.048772555887048714,0.04854045380953735,berw,digits0,256,50,1.0,0.09375,0.125,6.507441411370705,0.10079965051452978
47,47,0.0440816380844184,0.02062212494183941,berw,digits0,256,50,1.0,0.03125,0.03125,5.2085654329210325,0.09009808746349565
48,48,0.07629063827458386,0.05771757219653298,berw,digits0,256,50,1.0,0.125,0.125,10.635475208840493,0.06912253464478159
49,49,0.0901817326902846,0.1103556055375565,cma,digits0,256,50,1.0,0.25,0.125,17.16004511078096,0.06994683780869207
5,5,0.0065836861989274215,0.011664637551861277,cma,digits0,256,50,1.0,0.09375,0.0,45.22592103874336,0.08622514628641605
50,50,0.038371646683090885,0.04113390495101926,cma,digits0,256,50,1.0,0.03125,0.0625,5.065229660091196,0.0945194744047146
6,6,0.018465323775172283,0.0494103859222511,cma,digits0,256,50,1.0,0.03125,0.09375,2.6688848764978266,0.13543637712716491
7,7,0.021444294495929665,0.017002645215038817,berw,digits0,256,50,1.0,0.125,0.0,12.202896238686407,0.0702127422745861
8,8,0.04629574676028761,0.050309187010843984,cma,digits0,256,50,1.0,0.03125,0.09375,5.568061975007834,0.08057433993442283
9,9,0.007280314559387682,0.009428852385025359,cma,digits0,256,50,1.0,0.09375,0.0625,2.1263909615728784,0.08121351159090874
