M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,18489.054,19643.267,19992.575,19330.867,19349.987
1024,38624.775,40815.573,40776.042,40793.302,40740.679
2048,71213.009,74576.671,76860.175,75860.261,78427.489
4096,116802.317,139453.879,118454.634,113883.592,108168.945
8192,122799.076,151372.083,125105.078,122998.033,117687.266
16384,128688.348,160646.317,132904.880,127932.045,121403.369
32768,131489.562,166103.855,136582.370,130361.693,124476.101
65536,,,,,
