M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,20925.796,20832.835,22262.895,20312.698,21976.046
1024,41394.721,36728.931,41787.132,38426.887,42085.192
2048,81491.680,82259.062,85026.445,77057.032,79164.191
4096,172769.330,166262.996,164817.356,163312.064,165356.573
8192,322186.719,299104.104,307675.962,309996.487,310175.131
16384,471210.278,471899.464,472834.417,471368.338,447248.661
32768,483272.592,480542.788,478402.829,479616.976,472586.646
65536,481497.382,480920.827,482206.740,477670.729,486369.106
