M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.06,1.08,1.05,1.05
1024,1.00,1.06,1.06,1.06,1.05
2048,1.00,1.05,1.08,1.07,1.10
4096,1.00,1.19,1.01,0.98,0.93
8192,1.00,1.23,1.02,1.00,0.96
16384,1.00,1.25,1.03,0.99,0.94
32768,1.00,1.26,1.04,0.99,0.95
65536,,,,,
