M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.08,1.10,1.10,1.12
1024,1.00,1.02,1.06,1.06,1.05
2048,1.00,1.05,1.06,1.12,1.06
4096,1.00,1.09,1.09,1.09,1.08
8192,1.00,1.13,1.07,1.07,1.05
16384,1.00,1.20,1.04,1.04,1.01
32768,1.00,1.22,1.05,1.04,1.00
65536,,,,,
