init_top30,bo_top30
6.4,7.6
6.5,7.6
6.5,7.6
6.5,7.6
6.6,7.7
7.8,7.7
6.6,7.6
6.7,7.7
7.0,7.7
7.5,7.7
6.7,7.8
6.7,8.2
7.7,7.9
6.7,8.0
7.9,8.3
6.6,8.9
10.6,8.5
7.2,8.1
6.7,8.1
7.8,8.0
6.9,8.3
6.9,8.1
7.3,8.0
8.2,7.9
7.2,8.1
6.7,8.1
6.5,8.1
6.5,8.6
7.0,8.1
7.5,8.6
