algorithm,n_runs,median_post_true,median_post_return
BERW-HeteroRobust,50,145.31489433258727,-145.31489433258727
CMA-ES-sep,50,56.79738270811501,-56.79738270811501
ProbeSwitch-MR-Robust(t=0.12),50,99.34247079977652,-99.34247079977652
ProbeSwitch-MR-Robust(t=0.22),50,65.02537184778761,-65.02537184778761
