class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,949,0.949,0.18304182732105256
1,automobile,2913,1000,961,0.961,0.145083889067173
2,bird,1886,1000,711,0.711,1.0245619411468505
3,cat,1221,1000,638,0.638,1.3346577682495118
4,deer,790,1000,675,0.675,1.2997716732025146
5,dog,511,1000,559,0.559,1.5978548545837403
6,frog,331,1000,569,0.569,1.8119638671875
7,horse,214,1000,521,0.521,2.216739028930664
8,ship,138,1000,445,0.445,2.6785203475952146
9,truck,90,1000,345,0.345,3.0020032272338866
