class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,928,0.928,0.2247361524105072
1,automobile,2913,1000,945,0.945,0.16317178958654405
2,bird,1886,1000,713,0.713,1.0638549041748047
3,cat,1221,1000,658,0.658,1.1602548370361327
4,deer,790,1000,632,0.632,1.375804141998291
5,dog,511,1000,557,0.557,1.4223100700378417
6,frog,331,1000,597,0.597,1.5007633361816406
7,horse,214,1000,510,0.51,2.2552508392333985
8,ship,138,1000,387,0.387,3.248069709777832
9,truck,90,1000,405,0.405,2.8779147720336913
