seed,instance,best_f_cma,best_f_berw,label,dim,hidden_dim,max_steps,torque_noise_std,noise_df,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
23,23,855.1449037745722,991.5528569359187,cma,41,8,200,0.3,100.0,0.17777777777777776,0.24000000000000002,5.782164856782196,0.24874143344838756
24,24,1108.4994427636557,893.6913852248288,berw,41,8,200,0.3,100.0,0.1688888888888889,0.24000000000000002,2.182448838860782,0.27439918007625236
25,25,1124.3165864941536,947.6290163292286,berw,41,8,200,0.3,100.0,0.1511111111111111,0.17777777777777776,5.401585703074898,0.2602324486287529
26,26,1231.1254877608576,1008.7312109535177,berw,41,8,200,0.3,100.0,0.24888888888888888,0.09777777777777777,7.718519357006772,0.2501567220380669
27,27,1051.8754143933727,1205.3999636564681,cma,41,8,200,0.3,100.0,0.1511111111111111,0.20444444444444446,6.212904735684935,0.3301862013635886
28,28,1083.740240422854,822.4048409257173,berw,41,8,200,0.3,100.0,0.23111111111111113,0.18666666666666665,1.9290295348535522,0.2585668903459005
29,29,841.9389259006391,1052.3820867924387,cma,41,8,200,0.3,100.0,0.16,0.19555555555555554,2.7187441947955775,0.25714257066858276
3,3,1051.3046266076663,1015.1121833674058,berw,41,8,200,0.3,100.0,0.19555555555555554,0.13333333333333333,4.6334296878665135,0.44548628224326337
30,30,970.3632608861361,914.1349039591873,berw,41,8,200,0.3,100.0,0.16,0.24000000000000002,5.650455264262539,0.16697407780764578
31,31,1105.2759243630233,1023.6942360881651,berw,41,8,200,0.3,100.0,0.20444444444444446,0.22222222222222224,4.754035813446006,0.2777587903514458
32,32,1081.898789209124,931.0811353420717,berw,41,8,200,0.3,100.0,0.1688888888888889,0.36444444444444446,2.5914326642537846,0.14951391664971636
33,33,1095.9167747742104,1108.2538136230858,cma,41,8,200,0.3,100.0,0.28444444444444444,0.20444444444444446,3.28981595449467,0.18132623981494422
34,34,1130.0062994759937,1027.0936063031095,berw,41,8,200,0.3,100.0,0.1688888888888889,0.18666666666666665,2.4807331652280147,0.2996890149395852
35,35,1003.8002904214662,1015.2310015162859,cma,41,8,200,0.3,100.0,0.18666666666666665,0.2577777777777778,2.57322122598993,0.20039389934684815
36,36,811.0445276546046,923.9660014434317,cma,41,8,200,0.3,100.0,0.22222222222222224,0.18666666666666665,1.7664960010851984,0.25177652895414493
37,37,1202.0978289997372,1168.3411737863553,berw,41,8,200,0.3,100.0,0.12444444444444444,0.1688888888888889,2.2111240463022663,0.2008113678069898
38,38,913.4206104762264,1093.9524471386858,cma,41,8,200,0.3,100.0,0.24000000000000002,0.17777777777777776,4.898778046723161,0.238062480186889
39,39,801.2074799628426,1106.3023665104233,cma,41,8,200,0.3,100.0,0.16,0.12444444444444444,3.779671878926052,0.24079320971365403
4,4,988.8841766987758,933.8159539905027,berw,41,8,200,0.3,100.0,0.2577777777777778,0.19555555555555554,1.8789634966394777,0.19290978214934143
40,40,1015.759353808113,903.3690769683695,berw,41,8,200,0.3,100.0,0.17777777777777776,0.08888888888888888,2.556402979151208,0.23998822875014372
41,41,1020.5420450984404,1207.8156801479897,cma,41,8,200,0.3,100.0,0.3022222222222222,0.11555555555555556,2.776561869537534,0.18719941698664758
42,42,1008.2685734273884,1214.1275194937575,cma,41,8,200,0.3,100.0,0.22222222222222224,0.17777777777777776,3.724156178376365,0.23643843478772364
43,43,942.2779395534748,1094.2382504240645,cma,41,8,200,0.3,100.0,0.17777777777777776,0.08,4.479188129387052,0.19149000506810404
44,44,1136.2945421498362,1073.427699692701,berw,41,8,200,0.3,100.0,0.12444444444444444,0.23111111111111113,2.3430661338307157,0.2578399870748247
45,45,1049.7556525082584,1023.8911960900841,berw,41,8,200,0.3,100.0,0.12444444444444444,0.08,4.246168594555007,0.18160005544661417
46,46,1145.7829207212126,1057.2780627844377,berw,41,8,200,0.3,100.0,0.24000000000000002,0.1688888888888889,3.853082190369138,0.21189155850703562
47,47,824.2413744833314,1004.5877381137219,cma,41,8,200,0.3,100.0,0.29333333333333333,0.17777777777777776,4.061902915321451,0.2576073168224373
48,48,719.1338150379431,942.1595194440006,cma,41,8,200,0.3,100.0,0.13333333333333333,0.19555555555555554,3.577382896262328,0.2542763179716647
49,49,1072.3955111986324,919.8109256816688,berw,41,8,200,0.3,100.0,0.17777777777777776,0.24888888888888888,7.543580678795477,0.24129686751395615
5,5,1116.215064149705,1082.722620337326,berw,41,8,200,0.3,100.0,0.17777777777777776,0.24888888888888888,3.344281658823412,0.24366771696643552
50,50,1080.470414941637,972.171665009011,berw,41,8,200,0.3,100.0,0.20444444444444446,0.08888888888888888,1.9434323468637307,0.2707393920730459
6,6,1045.9963990625738,1002.2090913569759,berw,41,8,200,0.3,100.0,0.23111111111111113,0.14222222222222222,2.4254638371028694,0.21319412148561623
7,7,998.0415460290761,985.6667982106092,berw,41,8,200,0.3,100.0,0.19555555555555554,0.24000000000000002,9.771511707765002,0.18324029049546167
8,8,1025.0576753397454,1136.2245609593579,cma,41,8,200,0.3,100.0,0.20444444444444446,0.10666666666666667,2.8315984076951906,0.2161873839226024
9,9,698.8214170752709,1122.8216418815878,cma,41,8,200,0.3,100.0,0.3377777777777778,0.22222222222222224,5.425344657673552,0.355551047479012
