seed,instance,best_f_cma,best_f_berw,label,dim,hidden_dim,max_steps,torque_noise_std,noise_df,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,1,1141.0568896638715,927.9371901175468,berw,41,8,200,0.3,100.0,0.18666666666666665,0.16,2.132713710741579,0.2574657310025418
10,10,1270.7648585343427,1052.7566550220508,berw,41,8,200,0.3,100.0,0.3111111111111111,0.2577777777777778,4.080214318768058,0.2820107519798327
11,11,912.3304823105218,1210.9869977207693,cma,41,8,200,0.3,100.0,0.12444444444444444,0.20444444444444446,4.9084276516754795,0.2590071979384421
12,12,1019.2249767073481,1221.6165344002757,cma,41,8,200,0.3,100.0,0.16,0.16,3.044239991995412,0.236654843520477
13,13,1107.622136394159,1269.8891847381456,cma,41,8,200,0.3,100.0,0.13333333333333333,0.12444444444444444,4.544809109006122,0.23732165378154302
14,14,1117.3172190981431,1204.3080393722785,cma,41,8,200,0.3,100.0,0.1511111111111111,0.2577777777777778,4.7510282973532965,0.2486325545796308
15,15,1061.0896956122033,930.2407120311918,berw,41,8,200,0.3,100.0,0.22222222222222224,0.10666666666666667,1.8322067586312116,0.2836668851457136
16,16,984.7328409104628,1127.5412136176442,cma,41,8,200,0.3,100.0,0.22222222222222224,0.14222222222222222,5.238098600170443,0.2526719784764012
17,17,1098.2723791239448,1021.754819893292,berw,41,8,200,0.3,100.0,0.21333333333333335,0.23111111111111113,4.3536246705178785,0.22653919724574761
18,18,1119.6876797446869,833.9990629593528,berw,41,8,200,0.3,100.0,0.21333333333333335,0.2577777777777778,4.674071270622779,0.3436749857616058
19,19,782.4774539318082,947.6475611576785,cma,41,8,200,0.3,100.0,0.16,0.16,9.190618047808282,0.22221265325588493
2,2,1073.031353654154,736.5317784984624,berw,41,8,200,0.3,100.0,0.19555555555555554,0.18666666666666665,5.172989693793544,0.3385890329535164
20,20,1096.2310185612773,1076.3624200610757,berw,41,8,200,0.3,100.0,0.1688888888888889,0.22222222222222224,2.6305695214500133,0.2221657001427439
21,21,1027.5866353551796,1146.2563398571324,cma,41,8,200,0.3,100.0,0.1688888888888889,0.23111111111111113,1.9211534902470835,0.23049719521174833
22,22,1190.1507161081797,941.0288465528515,berw,41,8,200,0.3,100.0,0.20444444444444446,0.20444444444444446,2.5798291585522044,0.24167850120333126
