dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.35,241.25
10,ldecc,0.32,203.08
10,pc,0.14,478.44
10,CMB,0.18,1354.9
10,MBbyMB,0.15,1488.13
20,locpc,0.36,581.61
20,ldecc,0.38,646.9
20,pc,0.2,1415.78
20,CMB,0.41,2679.51
20,MBbyMB,0.16,2328.52
30,locpc,0.27,711.32
30,ldecc,0.17,957.11
30,pc,0.15,2464.23
30,CMB,0.27,3414.02
30,MBbyMB,0.15,3010.3
40,locpc,0.25,1100.19
40,ldecc,0.19,1605.2
40,pc,0.1,4029.98
40,CMB,0.32,4838.89
40,MBbyMB,0.11,3862.11
50,locpc,0.24,1520.87
50,ldecc,0.12,2403.89
50,pc,0.13,6026.11
50,CMB,0.33,5494.99
50,MBbyMB,0.08,3778.31
