dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,0.24,2115.68
100,ldecc,0.04,4234.3
100,pc,0.15,18981.41
100,CMB,0.19,9789.12
100,MBbyMB,0.07,7407.96
150,locpc,0.18,2660.79
150,ldecc,0.02,5951.27
150,pc,0.12,38309.89
150,CMB,0.22,13559.72
150,MBbyMB,0.07,12817.13
200,locpc,0.19,3388.43
200,ldecc,0.01,6280.14
200,pc,0.1,66997.17
200,CMB,0.15,21825.05
200,MBbyMB,0.01,12246.76
