experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_19,10,locpc,False,,"['0', '6']",230
10_19,10,ldecc,False,,"['0', '6']",196
10_19,10,pc,True,"['4', '3', '0', '6', '5']","['0', '6']",363
10_19,10,CMB,False,,"['0', '6']",1531
10_19,10,MBbyMB,True,"['0', '3', '6']","['0', '6']",1239
10_20,10,locpc,False,,"['5', '7']",140
10_20,10,ldecc,True,"['5', '7', '4']","['5', '7']",154
10_20,10,pc,True,"['5', '7']","['5', '7']",324
10_20,10,CMB,True,"['5', '4']","['5', '7']",1010
10_20,10,MBbyMB,True,"['3', '5', '7', '4']","['5', '7']",827
10_21,10,locpc,True,"['5', '0', '1', '2']","['0', '5']",503
10_21,10,ldecc,True,[],"['0', '5']",335
10_21,10,pc,True,"['1', '5', '2', '0']","['0', '5']",1062
10_21,10,CMB,True,['1'],"['0', '5']",1892
10_21,10,MBbyMB,True,"['4', '1']","['0', '5']",4343
10_22,10,locpc,True,['6'],"['0', '5', '6']",909
10_22,10,ldecc,True,"['6', '5', '0']","['0', '5', '6']",234
10_22,10,pc,True,['6'],"['0', '5', '6']",1191
10_22,10,CMB,True,['6'],"['0', '5', '6']",2086
10_22,10,MBbyMB,True,"['3', '6', '4', '5', '9', '0']","['0', '5', '6']",1824
10_23,10,locpc,False,,"['0', '5']",140
10_23,10,ldecc,True,[],"['0', '5']",151
10_23,10,pc,False,,"['0', '5']",240
10_23,10,CMB,False,,"['0', '5']",1182
10_23,10,MBbyMB,True,"['8', '5', '0']","['0', '5']",502
10_24,10,locpc,True,[],"['0', '8', '9']",50
10_24,10,ldecc,True,[],"['0', '8', '9']",371
10_24,10,pc,True,[],"['0', '8', '9']",408
10_24,10,CMB,True,['9'],"['0', '8', '9']",2314
10_24,10,MBbyMB,True,"['6', '7', '4', '3']","['0', '8', '9']",2450
10_25,10,locpc,True,"['2', '4']","['0', '2', '4']",106
10_25,10,ldecc,True,['4'],"['0', '2', '4']",54
10_25,10,pc,True,"['2', '4']","['0', '2', '4']",337
10_25,10,CMB,True,['2'],"['0', '2', '4']",682
10_25,10,MBbyMB,True,['4'],"['0', '2', '4']",569
10_26,10,locpc,True,"['4', '1', '9']","['1', '4', '9']",215
10_26,10,ldecc,True,"['9', '4']","['1', '4', '9']",131
10_26,10,pc,True,"['4', '1', '9']","['1', '4', '9']",420
10_26,10,CMB,True,"['1', '4', '6']","['1', '4', '9']",933
10_26,10,MBbyMB,True,"['1', '4', '9', '0']","['1', '4', '9']",2088
10_27,10,locpc,False,,"['1', '3']",267
10_27,10,ldecc,False,,"['1', '3']",310
10_27,10,pc,True,"['3', '1', '9']","['1', '3']",558
10_27,10,CMB,True,"['1', '3', '9']","['1', '3']",223
10_27,10,MBbyMB,True,"['1', '3']","['1', '3']",1198
10_28,10,locpc,True,[],"['4', '7']",131
10_28,10,ldecc,False,,"['4', '7']",172
10_28,10,pc,True,"['4', '7']","['4', '7']",319
10_28,10,CMB,True,['7'],"['4', '7']",231
10_28,10,MBbyMB,False,,"['4', '7']",1434
10_29,10,locpc,False,,"['4', '8']",104
10_29,10,ldecc,False,,"['4', '8']",170
10_29,10,pc,False,,"['4', '8']",198
10_29,10,CMB,True,['4'],"['4', '8']",1275
10_29,10,MBbyMB,False,,"['4', '8']",904
10_30,10,locpc,False,,"['4', '7', '9']",154
10_30,10,ldecc,False,,"['4', '7', '9']",231
10_30,10,pc,True,"['4', '9', '7']","['4', '7', '9']",376
10_30,10,CMB,False,,"['4', '7', '9']",2570
10_30,10,MBbyMB,True,"['0', '4', '7', '6']","['4', '7', '9']",1206
10_31,10,locpc,True,[],['7'],100
10_31,10,ldecc,False,,['7'],151
10_31,10,pc,True,[],['7'],197
10_31,10,CMB,False,,['7'],518
10_31,10,MBbyMB,True,[],['7'],463
10_32,10,locpc,False,,['3'],95
10_32,10,ldecc,True,[],['3'],135
10_32,10,pc,True,[],['3'],224
10_32,10,CMB,False,,['3'],786
10_32,10,MBbyMB,False,,['3'],912
10_33,10,locpc,False,,"['1', '2']",250
10_33,10,ldecc,True,[],"['1', '2']",254
10_33,10,pc,True,[],"['1', '2']",393
10_33,10,CMB,True,['7'],"['1', '2']",1403
10_33,10,MBbyMB,True,[],"['1', '2']",1173
10_34,10,locpc,True,"['4', '6', '8']","['3', '4', '6']",175
10_34,10,ldecc,True,[],"['3', '4', '6']",111
10_34,10,pc,True,"['4', '6']","['3', '4', '6']",325
10_34,10,CMB,True,"['4', '6', '8', '5']","['3', '4', '6']",304
10_34,10,MBbyMB,True,"['3', '5']","['3', '4', '6']",1623
10_35,10,locpc,False,,"['3', '9']",268
10_35,10,ldecc,False,,"['3', '9']",477
10_35,10,pc,True,"['3', '9']","['3', '9']",610
10_35,10,CMB,True,"['3', '8']","['3', '9']",1145
10_35,10,MBbyMB,True,['9'],"['3', '9']",3166
10_36,10,locpc,False,,"['5', '8']",86
10_36,10,ldecc,False,,"['5', '8']",129
10_36,10,pc,False,,"['5', '8']",200
10_36,10,CMB,True,"['5', '8', '4']","['5', '8']",453
10_36,10,MBbyMB,True,"['0', '5', '8']","['5', '8']",531
10_37,10,locpc,True,"['9', '4', '0', '6', '3']","['0', '6']",268
10_37,10,ldecc,False,,"['0', '6']",184
10_37,10,pc,True,"['9', '4', '0', '6', '3']","['0', '6']",386
10_37,10,CMB,True,['0'],"['0', '6']",862
10_37,10,MBbyMB,True,"['0', '6', '7']","['0', '6']",1135
10_38,10,locpc,True,"['7', '4']","['4', '7']",359
10_38,10,ldecc,True,"['6', '4', '7']","['4', '7']",155
10_38,10,pc,True,"['7', '4']","['4', '7']",515
10_38,10,CMB,True,"['4', '7', '6']","['4', '7']",431
10_38,10,MBbyMB,True,"['4', '7', '8', '6']","['4', '7']",1451
10_39,10,locpc,True,"['3', '8', '2']",['3'],351
10_39,10,ldecc,True,['3'],['3'],152
10_39,10,pc,True,"['3', '8', '2']",['3'],571
10_39,10,CMB,True,"['3', '8']",['3'],324
10_39,10,MBbyMB,True,"['3', '2', '8']",['3'],1729
10_40,10,locpc,True,"['6', '4', '2', '1']","['1', '2', '4']",304
10_40,10,ldecc,True,[],"['1', '2', '4']",328
10_40,10,pc,True,"['6', '2', '4', '1']","['1', '2', '4']",504
10_40,10,CMB,False,,"['1', '2', '4']",3858
10_40,10,MBbyMB,True,['6'],"['1', '2', '4']",1735
10_41,10,locpc,True,"['3', '8', '9', '4']",['4'],328
10_41,10,ldecc,True,"['3', '4']",['4'],53
10_41,10,pc,True,"['4', '3', '8', '9']",['4'],671
10_41,10,CMB,True,['4'],['4'],1933
10_41,10,MBbyMB,True,"['7', '4']",['4'],854
10_42,10,locpc,True,"['0', '6', '5', '8', '7']","['0', '6']",836
10_42,10,ldecc,True,"['6', '0']","['0', '6']",319
10_42,10,pc,True,"['8', '7', '6', '0']","['0', '6']",1063
10_42,10,CMB,True,"['0', '6', '7']","['0', '6']",444
10_42,10,MBbyMB,True,"['0', '6', '1', '5']","['0', '6']",2284
10_43,10,locpc,True,"['2', '3']","['2', '3']",127
10_43,10,ldecc,True,[],"['2', '3']",112
10_43,10,pc,True,"['3', '2']","['2', '3']",286
10_43,10,CMB,True,[],"['2', '3']",308
10_43,10,MBbyMB,True,[],"['2', '3']",1033
10_44,10,locpc,True,"['0', '7']","['0', '7', '9']",152
10_44,10,ldecc,False,,"['0', '7', '9']",218
10_44,10,pc,True,"['0', '7']","['0', '7', '9']",228
10_44,10,CMB,True,"['0', '7', '9']","['0', '7', '9']",314
10_44,10,MBbyMB,True,"['0', '7']","['0', '7', '9']",1016
10_45,10,locpc,True,"['3', '1', '5', '8', '7']","['3', '7', '8']",264
10_45,10,ldecc,True,"['8', '3', '7']","['3', '7', '8']",209
10_45,10,pc,True,"['3', '1', '5', '8', '7']","['3', '7', '8']",371
10_45,10,CMB,False,,"['3', '7', '8']",1304
10_45,10,MBbyMB,True,"['7', '8', '3', '5']","['3', '7', '8']",1807
10_46,10,locpc,True,[],"['2', '6']",33
10_46,10,ldecc,True,[],"['2', '6']",404
10_46,10,pc,True,[],"['2', '6']",715
10_46,10,CMB,True,"['2', '6']","['2', '6']",4746
10_46,10,MBbyMB,True,"['8', '6']","['2', '6']",1145
10_47,10,locpc,True,"['6', '7']","['1', '2', '6']",129
10_47,10,ldecc,True,['2'],"['1', '2', '6']",174
10_47,10,pc,True,"['6', '2', '7']","['1', '2', '6']",306
10_47,10,CMB,True,[],"['1', '2', '6']",220
10_47,10,MBbyMB,True,"['2', '1']","['1', '2', '6']",487
10_48,10,locpc,False,,"['1', '8', '9']",248
10_48,10,ldecc,True,[],"['1', '8', '9']",53
10_48,10,pc,False,,"['1', '8', '9']",369
10_48,10,CMB,True,['7'],"['1', '8', '9']",1902
10_48,10,MBbyMB,True,"['8', '9', '1', '6']","['1', '8', '9']",1367
10_49,10,locpc,True,"['1', '2']","['2', '4']",67
10_49,10,ldecc,True,[],"['2', '4']",150
10_49,10,pc,True,"['1', '2']","['2', '4']",197
10_49,10,CMB,True,"['2', '1']","['2', '4']",408
10_49,10,MBbyMB,True,"['2', '4']","['2', '4']",295
10_50,10,locpc,True,[],['9'],35
10_50,10,ldecc,True,['0'],['9'],71
10_50,10,pc,True,['0'],['9'],373
10_50,10,CMB,True,['0'],['9'],544
10_50,10,MBbyMB,True,[],['9'],663
10_51,10,locpc,False,,['4'],158
