dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,0.99,1161.38
100,ldecc,0.98,2782.65
100,pc,0.99,18052.36
100,CMB,0.98,2878.4
100,MBbyMB,1.0,3622.99
150,locpc,0.98,1409.74
150,ldecc,0.96,5630.76
150,pc,0.98,37169.46
150,CMB,1.0,2941.67
150,MBbyMB,1.0,4213.42
200,locpc,0.99,1918.49
200,ldecc,0.99,4999.2
200,pc,1.0,65509.58
200,CMB,1.0,3509.53
200,MBbyMB,1.0,5492.16
