dataset,baseline,sample_size,mse,mse_se,aug_mse,aug_mse_se,delta_mse,delta_mse_se,p_wilcoxon,p_wilcoxon_se,should_proceed,n_seeds
227_cpu_small,mlp,1638,0.0011238315156625934,7.064959077918204e-05,0.0008690400097661133,2.777503276077725e-05,-20.238697600542125,3.317926431398254,0.0016927083333333334,0.0005910819138926952,True,15
227_cpu_small,mlp,3276,0.0009958408158298267,2.4252452059497987e-05,0.0008534926658131732,1.9488929135007865e-05,-14.028475518261493,1.5630536830519097,0.12760416666666666,0.06129816226030415,True,15
227_cpu_small,mlp,4914,0.0009311601568521267,2.0814306530969052e-05,0.00082218073603442,1.1878461231200064e-05,-11.31154617336684,1.5950442465259578,0.04283854166666667,0.015934625978510596,True,15
227_cpu_small,mlp,6552,0.0008968359387488133,2.8268410784376933e-05,0.0007947417821245333,9.908727153213269e-06,-10.480211609031803,2.2460235261801054,0.107421875,0.043297452499005594,True,15
227_cpu_small,mlp,8190,0.0008693260445985201,1.3304528490068163e-05,0.0007798854414926934,1.2072775683370512e-05,-10.231426772787193,0.8295140201973095,0.05071614583333333,0.025385521083475186,True,15
227_cpu_small,xgboost,1638,0.0009684101593585799,4.604385433367991e-05,0.0008946523631606935,4.162373869059644e-05,-6.991906628032183,2.773838165597066,0.0083984375,0.004350442276944072,True,15
227_cpu_small,xgboost,3276,0.0008846375964691268,2.6817556110551256e-05,0.0007944688863579268,1.5967034415616222e-05,-9.471112188283737,2.3001951832926264,0.00234375,0.0008566650996777868,True,15
227_cpu_small,xgboost,4914,0.0007723207769187667,2.1492380113882827e-05,0.0007212465815578667,1.2419414368263073e-05,-6.195383049306917,1.2525514579592179,0.04088541666666667,0.035750580767591925,True,15
227_cpu_small,xgboost,6552,0.0007260400715554467,1.7743514608108618e-05,0.00069269069529806,9.623476043799155e-06,-4.13091369128757,1.6641568651069059,0.0333984375,0.030553886511109837,True,15
227_cpu_small,xgboost,8190,0.0007381136863381532,2.1104764770223698e-05,0.0006952542333104067,1.1730541604600115e-05,-5.18775393586392,1.9867293515701296,0.05703125,0.04808557408787861,True,15
294_satellite_image,mlp,1287,0.020308325226057734,0.001035549811092421,0.016285111290626333,0.0005909575775154885,-18.36357038783959,3.191853333962112,0.0011067708333333333,8.872202394130817e-05,True,15
294_satellite_image,mlp,2574,0.01746715947834838,0.0003861234944681304,0.014546802480405602,0.00040569515912296337,-16.69479677713541,1.5189676976028406,0.0013671875,0.00039062499999999986,True,15
294_satellite_image,mlp,3861,0.015848443932643265,0.0005441739701863463,0.01211493332557628,0.00036675128458164174,-23.14360701041935,1.8003923313226124,0.0009765625,0.0,True,15
294_satellite_image,mlp,5148,0.014153234458727966,0.00045072935705576183,0.010759874980579226,0.00030434162343998553,-23.718116066617025,1.276748647606186,0.0009765625,0.0,True,15
294_satellite_image,mlp,6435,0.01231836872710796,0.0003544098837760839,0.00988807469634192,0.0002890490555262655,-19.66399967188782,1.0804623476062958,0.0011067708333333333,0.00013020833333333333,True,15
294_satellite_image,xgboost,1287,0.017775053983032543,0.0004720622426195004,0.016973829149856914,0.0005321908416191991,-4.537309909161452,1.4652370810369941,0.0010416666666666667,6.510416666666667e-05,True,15
294_satellite_image,xgboost,2574,0.01636055846487997,0.0003669471762555408,0.015761969061262454,0.00041428873530344824,-3.727459478366657,0.8728960633003999,0.0009765625,0.0,True,15
294_satellite_image,xgboost,3861,0.014598748733945734,0.00035264102418415067,0.013898152270716047,0.00035392971190181805,-4.791781144062327,0.8295100480757328,0.0009765625,0.0,True,15
294_satellite_image,xgboost,5148,0.01366065337172178,0.0003312122353953913,0.0130038449003241,0.00031275227506676344,-4.730123727102315,1.0894574183741765,0.0009765625,0.0,True,15
294_satellite_image,xgboost,6435,0.012540173287151126,0.0002985292254506603,0.011862911305377246,0.00026995587126171783,-5.307266208367599,0.8481451683046651,0.0009765625,0.0,True,15
503_wind,mlp,1314,0.007524045917664406,0.0002529699731714371,0.00697037598279744,0.0002470919693127124,-7.220915919183994,1.5541652000352244,0.0010416666666666667,6.510416666666667e-05,True,15
503_wind,mlp,2628,0.006213559062541227,0.00016918361667611837,0.005619145727324954,0.00010962189315077999,-9.172482586287849,1.468096873574251,0.011848958333333333,0.00906271781304682,True,15
503_wind,mlp,3942,0.005930030891680833,7.591748936811614e-05,0.005394933837995221,8.420154007258709e-05,-9.033854241259283,0.730388462052734,0.008072916666666667,0.004279577716027291,True,15
503_wind,mlp,5256,0.005674505334314792,8.767796647584222e-05,0.005325649847023653,8.762557316470721e-05,-6.15292149225658,0.44491394323657585,0.04388020833333333,0.012250190320651149,True,15
503_wind,mlp,6570,0.005297548524946353,4.0913554403876376e-05,0.005002487430860147,4.342283334261873e-05,-5.563648193894996,0.48122739494898764,0.07825520833333334,0.029200278915662434,False,15
503_wind,xgboost,1314,0.0074243584217060805,0.0002893432101255694,0.007208291708966586,0.0002868489784640904,-2.8220220556641045,1.2105107637750323,0.0011067708333333333,8.872202394130817e-05,True,15
503_wind,xgboost,2628,0.006021584489045346,0.00011961021729200137,0.006034025709548146,0.00012765217646906914,0.20058039880597237,0.6467449494597719,0.0011067708333333333,0.00013020833333333333,True,15
503_wind,xgboost,3942,0.005862525898053787,8.125241500457411e-05,0.005784899325212313,8.433913127330797e-05,-1.3271485140895865,0.3740177024427362,0.0013671875,0.00039062499999999986,True,15
503_wind,xgboost,5256,0.005702198754956321,6.208368872054524e-05,0.0056237491971348665,7.208650797655439e-05,-1.3966173673267652,0.39658554893593384,0.0022786458333333335,0.0009024453395280032,True,15
503_wind,xgboost,6570,0.0052759587948774,5.055028621955323e-05,0.0052184711433320005,5.063962948372863e-05,-1.0835220619420278,0.3344992181168092,0.001171875,0.00010439892262204078,True,15
623_fri_c4_1000_10,mlp,200,0.019929156087533092,0.0017807807300373726,0.013873926518824973,0.0016250842301872685,-28.802800569091254,6.474181934293248,0.0009765625,0.0,True,15
623_fri_c4_1000_10,mlp,400,0.0061011590391022935,0.0003731766814431016,0.0038394591492058473,0.00031872664229616685,-36.92646298100091,3.090927317223997,0.0013020833333333333,0.0002638813422453703,True,15
623_fri_c4_1000_10,mlp,600,0.003212537759773947,0.0002679018488321373,0.0022752394522675937,0.00019329953798685642,-27.914398126149333,3.1280886281289524,0.00234375,0.0011664370356229763,True,15
623_fri_c4_1000_10,mlp,800,0.002225140716832333,0.00016649533661242135,0.0014020308707945732,8.226723195926879e-05,-34.11869269508449,4.142235607755382,0.0015625,0.0003906250000000001,True,15
623_fri_c4_1000_10,mlp,1000,0.002200380853640593,0.000137854135841648,0.0012309103698633398,7.119649074647975e-05,-42.333986195231226,3.2059030336723926,0.002734375,0.0009728351486127997,True,15
623_fri_c4_1000_10,xgboost,200,0.006520150019422719,0.0004400910514049463,0.005643429070273354,0.0003193308824094082,-11.997772468640376,3.8113927350795938,0.0039713541666666664,0.0017087296968682098,True,15
623_fri_c4_1000_10,xgboost,400,0.0032670490476974664,0.000273305785393984,0.0031241911545975398,0.00023163018758168364,-3.159645044902186,2.540547483915973,0.002018229166666667,0.0006210541675891574,True,15
