dataset,baseline,sample_size,mse,mse_se,aug_mse,aug_mse_se,delta_mse,delta_mse_se,p_wilcoxon,p_wilcoxon_se,should_proceed,n_seeds
227_cpu_small,linreg,1638,0.011094089240750567,0.0009008613736611875,0.011066176266935773,0.0008712054398112973,0.041814624569379996,0.5963910067273894,0.46139322916666664,0.03613505797934771,False,15
227_cpu_small,linreg,3276,0.010934584773510664,0.0005958183589769965,0.011011989770636391,0.000625478614292767,0.5832619461118994,0.42113459943901016,0.50625,0.039012570396591825,False,15
227_cpu_small,linreg,4914,0.009789338980895007,0.00030531188453890437,0.009784005077874965,0.0003059907532967754,-0.0471015939052888,0.23545769839983316,0.451953125,0.03914010613101807,False,15
227_cpu_small,linreg,6552,0.009833658382560147,0.00037246204215914954,0.009886920437631898,0.0003736275936767751,0.5498973778403464,0.18932563195237884,0.5147135416666667,0.030363678785126143,False,15
227_cpu_small,linreg,8190,0.009704714875576887,0.0003589894632680313,0.00970892726093186,0.00035826077590972845,0.04910804248617609,0.10216573189996292,0.4559244791666667,0.04191791893474234,False,15
294_satellite_image,linreg,1287,0.04211873997549399,0.0006764252416945853,0.04218490014413947,0.0006806722013816097,0.15669891533530403,0.14776803573789205,0.23958333333333334,0.03816510900094002,False,15
294_satellite_image,linreg,2574,0.041147728136895115,0.0005223378132976575,0.04113066572181382,0.0005213279898583053,-0.04044092722492303,0.06871870904209657,0.26419270833333336,0.033426526901535775,False,15
294_satellite_image,linreg,3861,0.04064624607280621,0.00040167091386822114,0.04066587435072363,0.000406783274142933,0.0466463671385436,0.05127438988152116,0.2745442708333333,0.025624542527614105,False,15
294_satellite_image,linreg,5148,0.04015390328934727,0.0003145809447841561,0.04018303915960716,0.0003062347661756363,0.07503430997997844,0.05139630435424005,0.39251302083333334,0.03792851157747151,False,15
294_satellite_image,linreg,6435,0.04049221266463462,0.0003009607860535793,0.04050931894717312,0.0002985151351325459,0.043009542489868116,0.04769689213842337,0.3465494791666667,0.03198835725758283,False,15
503_wind,linreg,1314,0.007335323304040174,0.00027069933072610444,0.007339159893245893,0.0002696560718519385,0.05909244079115449,0.10682147457671913,0.5007161458333333,0.04391589899685615,False,15
503_wind,linreg,2628,0.006362887902984328,0.0001342956952925603,0.006367773470141362,0.00013460149067620684,0.07564965132657012,0.05565461471168046,0.4680989583333333,0.028917224294961286,False,15
