algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_median,post_cvar20
BERW-HeteroRobust,1,200,200,0.00658013877727421,0.024592371327001795,0.017124675682795944,0.0573635709517495
BERW-HeteroRobust,2,200,200,0.011438896765654571,0.05769956884802638,0.044463333203197036,0.12731466574977082
BERW-HeteroRobust,3,200,200,0.0868252837362633,0.15784034927652052,0.15043819276281267,0.2255965171502605
BERW-HeteroRobust,4,200,200,0.00280111033046399,0.016718411166345933,0.013392991136664058,0.034555874803310696
BERW-HeteroRobust,5,200,200,0.0018296283430790973,0.011664637551861277,0.007232121832243307,0.032423326898042094
BERW-HeteroRobust,6,200,200,0.04004213831987727,0.0494103859222511,0.04966699237106375,0.06540159638366579
BERW-HeteroRobust,7,200,200,0.004019658609215867,0.017002645215038817,0.012065190973124383,0.037090681320594496
BERW-HeteroRobust,8,200,200,0.0230366872375649,0.050309187010843984,0.043609119554324144,0.08227125045585883
BERW-HeteroRobust,9,200,200,0.0009444437326356656,0.009428852385025359,0.0061923375184676265,0.024939536934368744
BERW-HeteroRobust,10,200,200,0.02714947168053643,0.06435313602237795,0.05914668391518023,0.0981365435727253
BERW-HeteroRobust,11,200,200,0.004900571480911584,0.061903663504889406,0.05266664167253324,0.11890624776636491
BERW-HeteroRobust,12,200,200,0.0024088504214967643,0.014576714794600085,0.011062757676323181,0.03192009753564263
BERW-HeteroRobust,13,200,200,0.057408509435252546,0.1398610743046611,0.13345317381978164,0.1905288348706426
BERW-HeteroRobust,14,200,200,0.0020664670520831414,0.00876485848254369,0.006311205687417816,0.02074342217654549
BERW-HeteroRobust,15,200,200,0.0027316768301774885,0.028233054428525646,0.02438897315263688,0.04706967668723149
BERW-HeteroRobust,16,200,200,0.012166695971246677,0.03735071945197835,0.029187899919399428,0.07310991215332788
BERW-HeteroRobust,17,200,200,0.12097772937235868,0.17135343199301845,0.16788908235957994,0.19586904231866262
BERW-HeteroRobust,18,200,200,0.005613641382507662,0.015184159181084476,0.012621056034770747,0.030373608115605386
BERW-HeteroRobust,19,200,200,0.006659611345356906,0.10158897460595313,0.09996275327131013,0.18089884170465842
BERW-HeteroRobust,20,200,200,0.03315535761292669,0.056372076372565416,0.05237133511751202,0.08199538818841269
BERW-HeteroRobust,21,200,200,0.001090246405931558,0.007995338565939172,0.005810786117224784,0.019259366354674477
BERW-HeteroRobust,22,200,200,0.02375616572430928,0.0554645118889311,0.049580352548438476,0.0839146060578744
BERW-HeteroRobust,23,200,200,0.04765420350502577,0.12245087100856236,0.1207021202350963,0.18601794392131213
BERW-HeteroRobust,24,200,200,0.015913916368951772,0.04885485369195124,0.03616631531471805,0.10003478855931809
BERW-HeteroRobust,25,200,200,0.007009398589426613,0.03325735550799059,0.020671161446758988,0.08414222999843164
BERW-HeteroRobust,26,200,200,0.02080010822902272,0.06030298595413951,0.05896770696082014,0.09274929948809525
BERW-HeteroRobust,27,200,200,0.004703118681722178,0.03866716750581857,0.037487159239384255,0.060793743767083616
BERW-HeteroRobust,28,200,200,0.0008833555374758192,0.018993554495602638,0.018654173320805136,0.03123601454295315
BERW-HeteroRobust,29,200,200,0.027866095915424043,0.11291113873276104,0.11322787766705185,0.16244310006300242
BERW-HeteroRobust,30,200,200,0.004285568667236301,0.022315556629211156,0.01441586881049964,0.05260780914410516
BERW-HeteroRobust,31,200,200,0.12540074882250546,0.15804683294260713,0.15673315715725694,0.2373389212708516
BERW-HeteroRobust,32,200,200,0.015016168561643286,0.03957654903867002,0.03099416613613831,0.08448275005847071
BERW-HeteroRobust,33,200,200,0.012940674612023945,0.036269043855176396,0.02961112948272599,0.06476208158688158
BERW-HeteroRobust,34,200,200,0.03154053095022126,0.056876807584339384,0.054953509604245235,0.07430562836026121
BERW-HeteroRobust,35,200,200,0.008024820202670035,0.01618233235370781,0.011720670691139808,0.03597520805300075
BERW-HeteroRobust,36,200,200,0.017177268321267248,0.07248138044439278,0.059434846921323226,0.134103186904922
BERW-HeteroRobust,37,200,200,0.06561563176608487,0.1271464201887769,0.10619763099083146,0.23100511204153795
BERW-HeteroRobust,38,200,200,0.005669883059889125,0.03630171813578572,0.030573980004641593,0.06601515749305013
BERW-HeteroRobust,39,200,200,0.001231097144670876,0.015211319408425687,0.006178756581062384,0.04740470506198922
BERW-HeteroRobust,40,200,200,0.02343408150851079,0.08328511718679159,0.061514508575740014,0.17297695612268113
BERW-HeteroRobust,41,200,200,0.005837789683965691,0.03060407631158072,0.02712307410533024,0.060305647437426224
BERW-HeteroRobust,42,200,200,0.04933522453672173,0.18673625736774296,0.1792415739959781,0.2731352537145433
BERW-HeteroRobust,43,200,200,0.021260756060815088,0.08032108356881713,0.07106167635396218,0.12548728591277258
BERW-HeteroRobust,44,200,200,0.034433832236355724,0.1326474069270625,0.1284392737902315,0.1845926063525624
BERW-HeteroRobust,45,200,200,0.0045680011427028325,0.08865439002591419,0.054315673313344956,0.22885982709650232
BERW-HeteroRobust,46,200,200,0.017706455424028655,0.04854045380953735,0.04765384763089177,0.07089414632491943
BERW-HeteroRobust,47,200,200,0.007301332425188965,0.02062212494183941,0.017712633745034453,0.03906229209317463
BERW-HeteroRobust,48,200,200,0.002130742012679393,0.05771757219653298,0.0584452392389568,0.08287083844396262
BERW-HeteroRobust,49,200,200,0.04726759858099627,0.1103556055375565,0.11013082771866049,0.16405714075845437
BERW-HeteroRobust,50,200,200,0.01994789084792622,0.04113390495101926,0.037138174578123566,0.06812239498233476
CMA-ES-sep,1,200,200,0.002639435194217066,0.024281940426434154,0.017502615469936256,0.05282741297568662
CMA-ES-sep,2,200,200,0.011100019607171998,0.03741087816394356,0.036345973267726,0.054467380482219475
CMA-ES-sep,3,200,200,0.11799962493167525,0.15236057164557779,0.1538457060846279,0.19095767722272416
CMA-ES-sep,4,200,200,0.0017675714333683448,0.01589324903152216,0.01276876834988693,0.031119317575026225
CMA-ES-sep,5,200,200,0.00028462975532564784,0.0065836861989274215,0.0042869574632660255,0.016036835215090865
CMA-ES-sep,6,200,200,0.00969110690279088,0.018465323775172283,0.017071034874422845,0.031530359392856186
CMA-ES-sep,7,200,200,0.00048431017638861536,0.021444294495929665,0.0115099167871574,0.059758585446737525
CMA-ES-sep,8,200,200,0.011680780678358232,0.04629574676028761,0.037585107112699884,0.08038273986198945
CMA-ES-sep,9,200,200,0.001205285991055734,0.007280314559387682,0.005795730705688253,0.014976379559079812
CMA-ES-sep,10,200,200,0.004312425276935146,0.07257499154494049,0.045384247388152485,0.19498910447542958
CMA-ES-sep,11,200,200,0.003935075265765531,0.03927270828163219,0.03054948392940126,0.09135482845392508
CMA-ES-sep,12,200,200,0.0014337855261453158,0.01009493333388909,0.007784800169140957,0.022496258511702002
CMA-ES-sep,13,200,200,0.03557470250041405,0.14852124459909133,0.13269444903640934,0.23164492579990517
CMA-ES-sep,14,200,200,0.0013319917103682367,0.03392558134727419,0.009351946506944174,0.12230209555152885
CMA-ES-sep,15,200,200,0.0036999619260110793,0.027028427038874744,0.01782339344291914,0.06474541797608528
CMA-ES-sep,16,200,200,0.0016313355511111214,0.03477374315524161,0.033374389445557276,0.05785356268165714
CMA-ES-sep,17,200,200,0.09993467164626398,0.17112100459010432,0.170352984190512,0.21105730809863574
CMA-ES-sep,18,200,200,0.0007458406541418175,0.009538728595708758,0.005699483608679254,0.026276329324534883
CMA-ES-sep,19,200,200,0.020058256410997545,0.09404168808106189,0.0905330341746769,0.15974565497357882
CMA-ES-sep,20,200,200,0.022286174997224194,0.05409392157014224,0.0509380840918701,0.0831640841479171
CMA-ES-sep,21,200,200,0.001271039646063977,0.005677085737765016,0.00442525995186077,0.012582458097648986
CMA-ES-sep,22,200,200,0.01758374922962869,0.0520704416891346,0.04701645360101617,0.08424667860272965
CMA-ES-sep,23,200,200,0.060452283175909435,0.12368903551624374,0.11786883485894212,0.18730575187694823
CMA-ES-sep,24,200,200,0.004081043643590763,0.07361317547062735,0.052119629121737246,0.18763574776749206
CMA-ES-sep,25,200,200,0.0024677313608177376,0.015065555184639916,0.013375355217856618,0.026294631363002204
CMA-ES-sep,26,200,200,0.014662671712526757,0.053392561685150886,0.05295080508616089,0.0705240595157002
CMA-ES-sep,27,200,200,0.0056631108529462135,0.047034123545588724,0.04203488983246262,0.08020458792778826
CMA-ES-sep,28,200,200,0.003519579372402295,0.024639198131532473,0.02399220520673371,0.03555598056424171
CMA-ES-sep,29,200,200,0.034042940554049286,0.09657308648814819,0.09966675004599394,0.12344466069490731
CMA-ES-sep,30,200,200,0.0016695661781318642,0.022010049553869936,0.017353122667949167,0.04797950215177303
CMA-ES-sep,31,200,200,0.08204274751085529,0.1766724823847907,0.1789004344313651,0.25980645120383655
CMA-ES-sep,32,200,200,0.006905997536133027,0.07689279976008187,0.06687191115685699,0.14266522188593236
CMA-ES-sep,33,200,200,0.007417682023850875,0.04238684478263728,0.03502577917210296,0.08260052181504988
CMA-ES-sep,34,200,200,0.0011239846121302442,0.0371528818816625,0.03120286810041229,0.07171596572422227
CMA-ES-sep,35,200,200,0.0025950627867652415,0.0164754778222158,0.009594837570689903,0.046553773044622174
CMA-ES-sep,36,200,200,0.032486018862859435,0.056293079023948256,0.0550298070187555,0.07334349477758037
CMA-ES-sep,37,200,200,0.03619504681546244,0.0920656163147455,0.09088559073744085,0.12913835869052953
CMA-ES-sep,38,200,200,0.0015536348860840624,0.03292322164221673,0.016670530044622718,0.08777807636247902
CMA-ES-sep,39,200,200,0.001174126086339484,0.010388818917665386,0.004423014409325792,0.03351145681519004
CMA-ES-sep,40,200,200,0.028308220790084375,0.08264622059677032,0.07385927856690064,0.15693379403816718
CMA-ES-sep,41,200,200,0.0006188351540055589,0.024338162897456585,0.018803013596746392,0.04905322290074797
CMA-ES-sep,42,200,200,0.06483400773883465,0.1850626713123364,0.17855598070062967,0.26511720430931307
CMA-ES-sep,43,200,200,0.025916507799253287,0.09002681460298784,0.07251534433855653,0.16810937005634521
CMA-ES-sep,44,200,200,0.03142899965663801,0.12613530046013416,0.11769843061261688,0.21935004299187805
CMA-ES-sep,45,200,200,0.007288442360397092,0.060493317324933994,0.03812326508021539,0.14994062015155515
CMA-ES-sep,46,200,200,0.0044321938625243975,0.048772555887048714,0.045416808170052184,0.07364731746964183
CMA-ES-sep,47,200,200,0.0018304198094128577,0.0440816380844184,0.011904172474284762,0.1588556920247765
CMA-ES-sep,48,200,200,0.0019066938269208513,0.07629063827458386,0.046113430587023524,0.19320178313782238
CMA-ES-sep,49,200,200,0.0016388389019518206,0.0901817326902846,0.08542424360936984,0.16283318141221909
CMA-ES-sep,50,200,200,0.006314155456577041,0.038371646683090885,0.03344132249015058,0.06905074697402847
ProbeSwitch-MR-Robust(t=0.12),1,200,200,0.0029360557441780906,0.021387060258560932,0.017691558980984463,0.041538575317467845
ProbeSwitch-MR-Robust(t=0.12),2,200,200,0.031062415931862628,0.055584618198713326,0.04254475308874059,0.11552818845656677
ProbeSwitch-MR-Robust(t=0.12),3,200,200,0.1180297512991649,0.15060583496066798,0.15191101943492435,0.19119437994304755
ProbeSwitch-MR-Robust(t=0.12),4,200,200,0.001955473219408925,0.017215720099574925,0.011754950686021982,0.03894227917517817
ProbeSwitch-MR-Robust(t=0.12),5,200,200,0.0009220302260328805,0.0070550169657993145,0.005944755383360444,0.015581168412380787
ProbeSwitch-MR-Robust(t=0.12),6,200,200,0.009156556463595455,0.018057404060015995,0.016665103421019924,0.02984272521179864
ProbeSwitch-MR-Robust(t=0.12),7,200,200,0.004322374761682161,0.01743272564955605,0.015416918591738863,0.03389491064390141
ProbeSwitch-MR-Robust(t=0.12),8,200,200,0.005816372822327911,0.043206074525111646,0.036956790782453515,0.07917198240943003
ProbeSwitch-MR-Robust(t=0.12),9,200,200,0.001631088802274991,0.006470447032376599,0.004826172945573586,0.015165279814008744
ProbeSwitch-MR-Robust(t=0.12),10,200,200,0.02944303322071497,0.052369639799504895,0.053444348214084884,0.06601833958902195
ProbeSwitch-MR-Robust(t=0.12),11,200,200,0.005905032137973455,0.05955408488087091,0.05265309354970338,0.1118387626264308
