Dimension,L (Trees),k (Lines),Mean Distance,Std Dev,Mean Time (s),Bias,Rel Bias (%),CV (σ/μ)
10,10,5,0.8019719243049621,0.06191015590478097,0.0007085084915161132,0.0020768523216248003,0.2582992950176857,0.07719741056825162
10,10,10,0.7324108302593231,0.09177059561704135,0.0006390094757080078,0.015052241086959794,2.0982868699357162,0.12529934269888982
10,10,50,0.5047465473413467,0.02929795506432741,0.0006498336791992187,0.01530624330043795,2.943209531007205,0.05804488454383419
10,10,100,0.41730862855911255,0.04623576210341298,0.0006841421127319336,0.0067376792430877686,1.588901758868895,0.11079512605108667
10,50,5,0.7812044560909271,0.03007233564758194,0.0006230592727661133,0.022844320535659768,2.8411610339740663,0.03849483373157016
10,50,10,0.7069007575511932,0.03853541908992125,0.0006140708923339844,0.010457831621170088,1.4578248283380257,0.05451319535066498
10,50,50,0.5200432300567627,0.015383052124463751,0.0006455421447753906,9.56058502199486e-06,0.0018383874087467876,0.029580333394177042
10,50,100,0.4233612984418869,0.026434614093350073,0.0008030891418457031,0.0006850093603134044,0.1615411684312866,0.06243984556604114
10,100,5,0.8027751564979553,0.023506951211208788,0.0006328821182250977,0.0012736201286316362,0.1584008539848977,0.029282110963368684
10,100,10,0.7154559373855591,0.020486035397858888,0.0006266117095947265,0.0019026517868041548,0.26523022314395056,0.02863353887692872
10,100,50,0.5114027827978134,0.022662248954843194,0.0007791757583618164,0.008650007843971297,1.6632941885181558,0.04431389448227322
10,100,100,0.43257365226745603,0.021959403359718285,0.0011207342147827148,0.008527344465255715,2.0109465188960827,0.050764542048763066
10,500,5,0.8005033791065216,0.018150633626486244,0.0006441593170166016,0.00354539752006533,0.44094308991304754,0.02267402499505373
10,500,10,0.7241976261138916,0.010381549606291498,0.0007340431213378907,0.00683903694152832,0.9533637771618109,0.014335243905727515
10,500,50,0.5125393986701965,0.011183875087432424,0.0021044731140136717,0.007513391971588179,1.4447364011480608,0.021820517830335433
10,500,100,0.4270510464906693,0.011147878800257763,0.003847622871398926,0.0030047386884689553,0.7085873955706128,0.02610432380828116
10,1000,5,0.8019431412220002,0.007823996661398961,0.0006800413131713868,0.0021056354045867476,0.26187906328531585,0.00975629849452514
10,1000,10,0.7258681118488312,0.0074399693451365325,0.0010257959365844727,0.008509522676467873,1.1862299838474855,0.010249753672449487
10,1000,50,0.5109136551618576,0.007288179198413873,0.0037946462631225585,0.009139135479927063,1.757347647081881,0.01426499198989891
10,1000,100,0.42615841031074525,0.005885521040280135,0.007425928115844726,0.002112102508544933,0.498082985203149,0.013810641531135202
10,5000,5,0.8037598669528961,0.004190312537379985,0.0021150588989257814,0.0002889096736907737,0.03593185912214228,0.005213388612280085
10,5000,10,0.7245476067066192,0.002610956066744414,0.0038318395614624023,0.007189017534255937,1.0021511755438948,0.003603567305414662
10,5000,50,0.5125418424606323,0.004176110418047854,0.01927914619445801,0.007510948181152388,1.4442664891545542,0.008147842911710406
10,5000,100,0.4260473757982254,0.001962842176087097,0.03832497596740723,0.0020010679960250632,0.47189845995746227,0.004607098382919492
