"altitude_t","temp_t","precip_t","cover.Artificial_t","cover.Forest_t","cover.Water_t","Alauda.arvensis_t","Carduelis.carduelis_t","Carduelis.chloris_t","Certhia.brachydactyla_t","Columba.palumbus_t","Corvus.corone_t","Cuculus.canorus_t","Cyanistes.caeruleus_t","Dendrocopos.major_t","Emberiza.citrinella_t","Erithacus.rubecula_t","Fringilla.coelebs_t","Garrulus.glandarius_t","Luscinia.megarhynchos_t","Parus.major_t","Passer.domesticus_t","Phoenicurus.ochruros_t","Phylloscopus.collybita_t","Pica.pica_t","Picus.viridis_t","Prunella.modularis_t","Sitta.europaea_t","Streptopelia.decaocto_t","Streptopelia.turtur_t","Sturnus.vulgaris_t","Sylvia.atricapilla_t","Sylvia.communis_t","Troglodytes.troglodytes_t","Turdus.merula_t","Turdus.philomelos_t"
NA,6.15130008692776e-38,1.96921321153547e-181,7.30995182672486e-22,1.16623142161672e-41,2.9231484775798e-11,0.000643481896499546,0.364600573943076,4.4274084132413e-19,0.00664573504429463,4.67673542409135e-10,0.011363192190648,0.146423817391242,0.958361001675809,2.1821850201197e-09,5.11527609862089e-13,0.000502938923877988,2.0790965828361e-07,3.87378898142419e-20,1.05746371043951e-05,0.00162049712329304,0.000126414724005868,1.7100556697706e-12,0.297596461215966,5.17029736897844e-05,0.188507657473411,4.35404950749238e-08,9.29346068990416e-08,3.80672864718986e-08,3.70786011985634e-18,1.85326058641511e-23,5.0402854983343e-07,9.26785566929082e-10,0.0195710843439709,0.159463713336751,1.44742030094323e-05
6.15130008693427e-38,NA,2.23071478003814e-17,1.01608797052168e-16,8.47219920530885e-13,9.54985993773747e-05,0.0908095004426157,1.96810755649701e-10,4.93677223349415e-09,0.039084754142429,0.162031195931837,0.773321822033492,0.902246297170571,0.712998407885937,0.222608787651568,1.39417231531692e-48,2.69523744946156e-16,5.147226309933e-26,1.9837230613438e-06,1.18398531861254e-76,5.22767027936239e-06,1.05763539061597e-05,0.000684612664900551,4.65222078784466e-17,1.03560179442205e-06,0.000299534415422874,2.90656950506079e-34,0.00169513588905254,9.31312583484438e-12,2.79954230883572e-15,4.06247068378761e-08,0.00345487651179943,0.410219019598002,2.90796232901865e-14,0.00377668603398378,8.57754394607841e-27
1.96921321153547e-181,2.23071478003661e-17,NA,1.09202667499287e-06,1.21563293704427e-38,2.66221608737359e-07,0.000173356644921653,0.265000297942493,1.22806074826726e-08,0.00121149626707501,4.50634003260181e-08,0.946272914499411,0.211332942099333,0.734370061999711,2.90299936020854e-12,3.67907190709993e-17,0.00069867555548304,3.4244911059101e-06,1.55622373267741e-16,4.36487040509001e-09,3.42655145267192e-11,0.022221338584059,7.05251897108499e-18,0.137046842454778,0.00492135584343658,0.648983286368122,2.05421923895954e-07,1.44388059262208e-12,7.06810744247723e-05,3.73104685978948e-19,5.46893815934037e-14,8.76548417914001e-16,1.19483912201292e-08,0.576406292746953,8.39337807482519e-05,2.22864742756364e-11
7.309951826727e-22,1.01608797052194e-16,1.09202667499304e-06,NA,5.97892047632949e-30,3.45222409473985e-19,0.445512576712969,8.88328568575425e-05,2.03331970040871e-29,4.08147143723991e-08,0.204012580359126,3.58648081397186e-05,4.33304954311164e-13,0.598489117225674,6.66857675624058e-07,2.43823618901376e-05,2.3967104434543e-07,1.68342605356494e-16,5.39748432463528e-17,0.00014324517493707,0.0306337871338872,1.23223266352247e-26,1.2677798931452e-09,5.49770227893351e-08,7.41832970284388e-28,0.39979514271766,0.00392424510159584,1.53175920915867e-07,1.07652635143533e-15,1.44046361551386e-08,3.29871514538143e-17,0.551289570993329,0.0431602433961465,0.0242579059710542,0.0144252757388098,3.67218103290434e-15
1.16623142161785e-41,8.47219920530704e-13,1.21563293704433e-38,5.97892047633071e-30,NA,0.00199580618542428,3.16980828968509e-23,1.07550430620812e-11,8.58455380645856e-27,2.50272425717637e-27,0.584813990727479,1.66422118897069e-09,8.37645821288693e-12,6.45248277454912e-06,5.96067657669771e-50,0.268350032988647,1.63025717220191e-38,2.39164302183704e-39,1.50178854359859e-23,5.72370417631153e-20,5.80640354625421e-13,2.09056800778879e-34,0.0917966864976601,6.42338048834229e-26,1.83558456902676e-27,0.670364275174195,0.0308148367378456,8.25458671839301e-50,1.15390416643616e-30,0.00482654782467645,2.42513487722739e-26,3.63403446159951e-07,3.23584537786917e-29,2.05345193385846e-15,0.427086075280638,4.41680574825877e-34
2.9231484775798e-11,9.54985993773719e-05,2.66221608737348e-07,3.4522240947393e-19,0.00199580618542417,NA,0.619545664983621,0.261408526133816,0.00119596458209488,0.087809832302167,0.359405669353594,0.0155541045642046,0.805766513384037,0.779389615162259,0.137579482936592,0.00053078392892205,0.550632950884061,0.0940592533036833,0.000224920555509691,0.0139883961390954,0.32830403630883,0.0680908244107274,0.708104430527057,0.419967984064823,0.0338016597438719,0.10686618098682,0.0193174161357085,0.0246809943975583,0.00688629042566802,0.605112991042079,0.000193337187822133,0.462972994140335,0.389159900931995,0.711549861004869,0.82118043615082,0.00539739026504834
0.000643481896499597,0.090809500442609,0.000173356644921652,0.445512576713015,3.16980828968622e-23,0.619545664983605,NA,0.0307195736430277,1.14648475298755e-07,2.67337657955774e-11,0.644744687982838,2.68386592161355e-08,0.00533540319795991,3.06134932071889e-07,1.92214914494273e-07,2.56820735924744e-29,6.1542957330632e-22,7.14708992279517e-10,5.80739161317982e-07,0.0358756988343899,1.02572771073963e-14,0.000405420813815995,0.141142036983953,6.529225420326e-05,0.0456782122402284,0.00464853243473387,0.000175807787626307,2.93704118038192e-14,1.96049307371605e-05,9.34772160839112e-06,0.000564108683715944,0.0102569591334234,6.25319162375785e-47,1.60345162401233e-09,0.00344388100831261,0.000234304385887697
0.364600573943157,1.96810755649775e-10,0.265000297942539,8.883285685761e-05,1.07550430620932e-11,0.261408526133842,0.0307195736430282,NA,7.1954448047016e-37,0.993314153176607,0.00851661294047134,2.02904426809803e-10,0.892262003239246,7.04264191887551e-10,0.439529512647135,0.067500384081402,0.409689761262813,0.00011071890192573,0.243298371950041,3.57237320122978e-11,7.00623112770305e-06,1.78420062329247e-47,6.18379762168314e-34,0.363783806067709,3.93150044118133e-15,1.58229498975214e-12,0.0747639889085648,0.00236894599420998,1.67596803555488e-33,0.129190023708373,1.55889424314489e-15,0.000505420366913528,2.43809823003947e-10,0.47200788763546,0.000790920068613358,0.0119237158286886
4.42740841324542e-19,4.93677223349526e-09,1.22806074826768e-08,2.03331970041248e-29,8.58455380647175e-27,0.00119596458209506,1.14648475298743e-07,7.19544480469443e-37,NA,0.261690108546563,2.4793786006879e-10,3.68794506818761e-12,0.00332514124061358,1.5245664319229e-10,0.832020587063569,0.0476429216150184,0.105676793949264,0.0354838615800317,0.00249568964454495,5.54406309991552e-05,2.350752274246e-06,6.44748992917096e-51,1.43808672635135e-27,0.502135245900017,5.91932548351393e-31,7.69348332007333e-13,1.46098260027503e-11,0.000137072816692623,6.09143081255022e-48,0.0667197645625685,8.61282040152305e-29,0.000564637932821129,3.10821466770618e-15,0.000478916225592917,3.86268346111134e-11,0.781728038314794
0.00664573504429439,0.0390847541424257,0.00121149626707473,4.08147143724045e-08,2.50272425717569e-27,0.087809832302167,2.67337657955783e-11,0.993314153176636,0.26169010854656,NA,1.59030379141201e-19,0.028181436876552,2.97308008655232e-12,1.01784951112947e-44,3.06978503821321e-41,0.0102979622495276,6.13023824997995e-36,1.71344053325119e-30,5.372745518456e-26,0.385315553244513,4.68797494331773e-60,0.00076585461203829,0.0049595308920861,2.54870363387391e-35,0.293604553355471,2.26578350517662e-22,0.0181569304193918,1.07314139753437e-77,0.0792759708175295,2.13227469298398e-09,0.727565571841524,5.69946566747772e-26,0.0735058421519036,2.00605585938722e-28,1.27883988371944e-08,1.15222071141576e-17
