init_top30,bo_top30
6.6,7.4
6.7,7.5
6.7,7.5
6.8,7.5
6.8,7.6
6.7,7.6
6.9,7.9
7.2,8.5
6.9,7.6
7.4,8.0
7.2,7.7
7.3,7.9
7.2,8.1
7.1,8.1
7.5,8.1
8.5,7.8
13.1,8.0
7.6,8.0
7.7,8.4
8.8,7.6
8.5,7.6
7.6,7.6
8.0,7.7
7.7,8.1
7.6,8.2
8.4,8.1
7.5,7.6
7.9,8.5
7.8,8.1
8.8,7.7
