Model,Agents,Sum_Sq,Sum_Abs
Baseline,20,1.9489184617996216,4.437140941619873
Low Noise,20,1.5574164390563965,3.766710042953491
Baseline,30,1.4716057777404785,4.56383752822876
Low Noise,30,1.3087002038955688,4.25476598739624
Baseline,40,1.5090376138687134,5.230504989624023
Low Noise,40,1.1866294145584106,4.708993911743164
Baseline,50,97.90199279785156,25.045936584472656
Low Noise,50,1.0871883630752563,5.107269287109375
Baseline,60,846.9821166992188,124.65116119384766
Low Noise,60,1.02801513671875,5.5229716300964355
Baseline,70,1771.5643310546875,223.84410095214844
Low Noise,70,0.996668815612793,5.934075832366943
Baseline,80,3027.997802734375,359.74285888671875
Low Noise,80,0.9837822914123535,6.357666969299316
Baseline,90,4729.900390625,517.8557739257812
Low Noise,90,0.988711416721344,6.820993900299072
Baseline,100,6536.91455078125,665.6513671875
Low Noise,100,1.00772225856781,7.300896167755127
Baseline,110,8528.5224609375,818.5697631835938
Low Noise,110,211.4671173095703,47.46720886230469
Baseline,120,10267.7548828125,953.658203125
Low Noise,120,1303.7530517578125,220.64837646484375
Baseline,130,12348.2080078125,1108.399169921875
Low Noise,130,2618.063232421875,386.9067077636719
Baseline,140,15103.388671875,1301.018798828125
Low Noise,140,4643.03955078125,599.4434814453125
Baseline,150,17390.1171875,1457.56298828125
Low Noise,150,6917.38818359375,790.3418579101562
Baseline,160,19719.27734375,1613.232177734375
Low Noise,160,9231.1572265625,964.37109375
Baseline,170,22063.75390625,1768.3973388671875
Low Noise,170,11988.2265625,1169.0113525390625
Baseline,180,24543.330078125,1927.9068603515625
Low Noise,180,14524.8388671875,1349.852783203125
Baseline,190,27229.62890625,2093.3515625
Low Noise,190,17057.591796875,1524.9190673828125
Baseline,200,30032.2109375,2258.2216796875
Low Noise,200,18737.087890625,1635.0953369140625
