M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,20485.739,20495.940,19996.333,17581.583,19791.337
128,29323.735,29405.524,28609.716,28165.295,28317.260
256,44886.821,45305.249,38522.147,39195.558,37429.556
512,48781.224,48660.371,47192.276,47961.304,47236.459
